model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
intfloat/multilingual-e5-large-instruct,1.92,999.0,560.0,250.0,514,5947.27,True,False,63.35,74.2,89.27,90.42,83.78,86.17,55.71,77.0,12.32,53.74,58.52,38.74,,,,,,,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
google/gemma-2-27b (few-shot),1.95,1.84,27227.0,256.0,8193,1530.93,True,False,64.15,76.14,42.58,43.06,40.43,40.42,51.59,72.57,42.41,68.76,80.21,58.55,66.84,22.18,57.29,67.76,53.73,63.55,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
pere/roberta-base-exp-32B,1.97,999.0,278.0,250.0,512,15102.57,True,False,52.19,65.6,90.6,87.83,86.76,83.48,54.98,75.67,58.33,77.88,41.75,29.17,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),1.97,2.51,12248.0,131.0,1024001,7094.98,True,False,60.64,73.91,70.14,51.03,68.74,51.48,35.59,61.96,29.22,60.98,76.01,49.87,64.61,16.1,39.07,53.89,37.95,51.35,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"gpt-4o-2024-05-13 (zero-shot, val)",1.98,1.44,,200.0,8191,636.59,True,False,36.27,35.73,77.72,57.89,71.7,50.78,71.7,85.59,58.79,76.83,72.82,40.95,62.76,10.95,69.22,76.95,76.4,82.27,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
google/gemma-2-9b (few-shot),1.98,2.03,9242.0,256.0,8193,2037.53,True,False,62.54,75.53,54.08,34.62,54.33,37.7,50.88,74.69,41.01,69.35,72.99,46.25,65.67,20.11,50.81,62.98,53.37,63.52,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"152334H/miqu-1-70b-sf (few-shot, val)",2.04,1.98,68977.0,32.0,32762,2126.22,True,False,60.58,70.33,66.75,58.61,66.81,57.71,47.53,72.24,17.14,51.14,72.51,41.92,64.64,16.59,51.01,63.2,58.23,67.46,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
timpal0l/sol (few-shot),2.17,2.07,10732.0,32.0,4096,3700.95,False,False,57.06,71.09,65.14,52.85,65.88,52.89,26.41,51.92,19.58,53.93,77.87,51.6,66.21,20.29,36.06,51.47,64.97,73.41,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
vesteinn/DanskBERT,2.17,999.0,124.0,50.0,512,15748.62,True,False,47.84,60.67,86.82,84.15,79.91,76.65,51.99,72.87,30.57,62.9,50.77,36.75,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-base,2.17,999.0,278.0,250.0,512,14965.0,True,False,54.61,67.19,88.26,89.24,81.37,83.89,50.35,73.06,22.15,58.2,45.47,31.77,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,2.2,999.0,369.0,64.0,512,6570.9,True,False,47.11,60.7,87.5,87.45,80.57,82.71,52.62,75.01,25.06,60.75,50.51,38.4,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Llama-2-70b-hf (few-shot, val)",2.2,2.11,68977.0,32.0,4094,1891.65,True,False,59.68,70.62,62.46,60.77,64.68,61.69,27.34,50.42,3.95,36.08,78.69,57.44,66.09,21.12,43.88,57.62,53.85,64.34,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
abhishek/autotrain-llama3-orpo-v2 (few-shot),2.22,2.77,8030.0,128.0,8190,8531.82,False,False,51.3,66.17,74.62,66.51,74.22,67.02,26.03,61.04,19.9,58.22,71.62,45.31,63.93,14.84,33.28,48.46,30.6,45.31,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0,12.8.0
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.22,2.45,8020.0,131.0,32768,929.75,True,False,54.49,69.23,69.85,59.43,68.83,59.51,28.55,61.53,17.47,52.6,71.05,43.55,64.05,16.34,34.93,50.67,49.83,61.44,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
microsoft/xlm-align-base,2.23,999.0,278.0,250.0,512,14744.17,True,False,54.46,68.25,90.07,87.56,85.65,82.4,12.16,50.55,8.99,48.57,64.35,49.24,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.1-8B (few-shot),2.23,2.71,8030.0,128.0,131072,2363.74,True,False,52.87,68.71,64.62,53.5,65.1,56.43,28.34,58.57,22.4,53.51,75.98,53.2,63.88,16.54,35.8,51.22,30.31,46.84,12.11.0,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
Nexusflow/Starling-LM-7B-beta (few-shot),2.24,2.47,7242.0,32.0,4096,1972.18,False,False,55.48,69.68,66.22,48.98,64.14,49.59,26.13,56.08,17.32,54.57,77.08,49.75,65.32,18.53,29.72,46.95,46.78,59.65,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,14.0.3
cardiffnlp/twitter-xlm-roberta-base,2.26,999.0,278.0,250.0,512,34475.2,True,False,48.34,60.68,87.7,85.32,81.41,77.41,55.3,75.77,37.46,67.68,35.93,24.49,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.27,2.77,8030.0,128.0,8192,1040.29,True,False,50.62,65.69,74.47,65.57,72.93,65.44,27.77,61.75,20.35,57.74,69.9,42.9,63.98,14.75,33.44,48.76,30.91,45.85,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
"gpt-4-1106-preview (zero-shot, val)",2.27,1.71,,100.0,8191,436.04,True,False,39.62,38.68,60.16,49.38,48.74,40.98,71.38,85.52,42.94,71.26,69.46,36.04,62.75,10.78,68.89,76.76,59.02,67.34,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",2.29,2.52,7242.0,32.0,32768,2856.11,False,True,58.28,69.79,63.33,53.24,68.84,53.85,18.65,45.34,10.72,43.91,70.76,44.39,65.94,19.92,26.61,44.8,46.64,59.84,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",2.29,2.52,7242.0,32.0,32768,2902.56,False,True,58.28,69.79,63.33,53.24,68.84,53.85,18.65,45.34,10.72,43.91,70.76,44.39,65.94,19.92,26.61,44.8,46.64,59.84,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
upstage/SOLAR-10.7B-v1.0 (few-shot),2.29,2.18,10732.0,32.0,4096,3780.42,True,False,55.33,69.71,68.11,57.57,68.19,56.9,10.15,36.27,7.51,35.89,80.42,55.33,65.51,19.63,35.57,51.45,62.76,71.77,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
google-bert/bert-base-multilingual-uncased,2.29,999.0,167.0,106.0,512,13992.5,True,False,37.28,48.69,82.9,79.06,77.33,72.83,49.41,73.96,43.58,71.2,54.01,40.35,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.31,2.44,8030.0,128.0,131072,1042.12,True,False,57.3,71.58,74.77,71.87,72.8,69.98,5.23,34.9,11.51,45.73,70.96,43.93,66.08,19.8,38.1,52.64,39.3,54.03,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
google-bert/bert-base-multilingual-cased,2.32,999.0,178.0,120.0,512,14083.03,True,False,35.87,48.94,88.72,85.49,83.08,79.36,44.22,70.31,39.55,68.65,53.62,40.55,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-25lang-cased,2.32,999.0,151.0,85.0,512,13908.28,True,False,36.21,49.48,87.99,84.84,83.1,79.18,46.43,71.65,39.82,68.68,53.12,40.01,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
jonfd/electra-small-nordic,2.33,999.0,22.0,96.0,128,5989.23,True,False,40.15,46.26,84.95,81.68,79.57,74.62,72.87,85.86,63.77,81.62,19.7,14.16,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
bineric/NorskGPT-Llama3-8b (few-shot),2.33,2.37,8030.0,128.0,8190,3694.76,False,False,48.4,61.42,66.94,60.25,67.69,61.57,24.26,57.31,18.43,52.28,74.57,46.8,65.84,19.08,33.55,49.43,47.32,59.11,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
four-two-labs/orpo-llama-3-swe (few-shot),2.33,2.83,8030.0,128.0,8192,4974.22,False,False,48.85,64.93,61.63,48.09,61.3,50.08,24.15,56.29,21.33,58.05,75.19,53.66,63.67,16.08,33.52,49.78,26.04,43.74,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot, val)",2.34,2.89,8030.0,128.0,8192,5018.29,False,True,52.9,65.38,64.51,51.06,65.66,53.9,29.34,59.36,17.42,52.01,67.16,38.49,64.12,15.41,25.77,43.4,31.8,46.8,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
ZurichNLP/unsup-simcse-xlm-roberta-base,2.35,999.0,278.0,250.0,512,34520.24,True,False,49.62,62.56,86.56,87.3,80.57,83.03,38.45,67.14,11.38,51.68,47.61,31.5,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
Geotrend/bert-base-en-no-cased,2.35,999.0,111.0,33.0,512,14080.79,True,False,34.97,48.21,89.07,85.89,82.69,79.22,39.58,67.91,31.27,62.81,55.17,41.89,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
skole-gpt-mixtral (few-shot),2.36,2.58,,32.0,32768,3582.66,False,False,52.09,65.72,62.52,49.42,61.55,47.53,21.99,58.21,16.84,51.76,72.6,47.3,64.7,17.1,39.99,54.9,32.16,48.12,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
bineric/NorskGPT-Mistral-7b (few-shot),2.36,2.41,7242.0,32.0,32768,2442.87,False,False,56.9,70.81,63.28,47.72,61.25,45.04,13.86,44.84,10.17,46.48,74.38,49.03,65.72,19.24,32.37,49.0,47.62,60.59,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.1,11.0.0,9.3.1,9.3.1,9.3.1
Geotrend/bert-base-en-fr-de-no-da-cased,2.36,999.0,118.0,42.0,512,13972.84,True,False,35.34,48.31,88.05,84.88,83.08,79.06,31.45,63.68,36.12,66.98,54.67,41.59,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Meta-Llama-3-8B (few-shot),2.37,2.85,8030.0,128.0,8192,1046.19,True,False,49.87,66.15,61.48,47.65,61.58,50.1,21.2,52.29,19.65,56.66,74.98,53.35,63.38,15.74,33.02,49.25,24.93,42.47,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
"RJuro/munin-neuralbeagle-7b (few-shot, val)",2.37,2.59,7242.0,32.0,32768,2492.75,False,True,55.61,68.27,61.18,56.36,65.16,55.74,20.84,49.36,9.12,43.06,69.13,42.92,65.99,19.46,27.77,45.43,39.67,54.26,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.38,1.8,,200.0,8191,908.12,True,False,39.82,37.7,60.43,37.82,55.59,32.2,54.84,74.79,33.8,62.11,70.12,36.55,62.77,10.94,56.96,67.11,68.7,75.86,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.3,14.0.3,14.0.3
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.39,2.66,68977.0,32.0,3841,1979.03,True,False,55.12,66.55,60.21,47.06,62.99,48.82,27.12,54.26,6.82,46.18,69.99,38.5,65.11,17.82,32.3,48.32,34.43,49.65,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"timpal0l/BeagleCatMunin2 (few-shot, val)",2.39,2.59,7242.0,32.0,32768,2477.24,False,True,58.69,70.83,61.17,54.24,65.44,54.34,15.03,40.22,5.95,39.18,69.53,42.42,66.08,20.15,27.31,45.04,41.63,56.02,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.5.2,9.3.1,9.3.1,9.3.1,9.3.1
