model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,hotter_and_colder_sentiment,mim_gold_ner,scala_is,nqii,rrn,arc_is,winogrande_is,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,speed_version
"claude-3-5-sonnet-20241022 (zero-shot, val)",1.75,3.71,N/A,N/A,200000,192.92,True,False,51.24,61.7,52.43,47.06,66.02,15.97,5.31,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
setu4993/LaBSE,1.76,999.0,471,501,512,25417.61,True,False,46.4,80.45,36.92,46.17,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
google/rembert,1.76,999.0,576,250,512,11735.9,True,False,36.87,78.05,48.29,52.42,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
FacebookAI/xlm-roberta-large,1.79,999.0,561,250,512,17896.69,True,False,48.41,82.83,22.78,55.29,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
NbAiLab/nb-roberta-base-scandi-1e4,1.82,999.0,278,250,512,15073.66,True,False,48.91,81.83,51.09,33.95,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
pere/roberta-base-exp-8,1.92,999.0,278,250,512,15112.46,True,False,46.87,78.58,47.36,33.05,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
jonfd/electra-small-nordic,2.06,999.0,22,96,128,5989.23,True,False,39.05,77.4,60.64,22.61,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-large,2.12,999.0,560,250,512,6731.95,True,False,48.52,78.43,10.78,54.2,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
pere/roberta-base-exp-32,2.14,999.0,278,250,512,15080.54,True,False,48.56,83.57,23.07,34.12,,,,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-large-instruct,2.14,999.0,560,250,514,5947.27,True,False,50.1,78.32,8.11,53.59,,,,13.3.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
