model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.18@@3.18,3.00@@3.00,3.46@@3.46,3.09@@3.09,1711376384.0,49152.0,8192.0,✓,✗,89.40 ± 0.91 / 94.62 ± 0.50@@89.39854130212396,35.20 ± 2.03 / 30.35 ± 1.94@@35.196352071240625,4.76 ± 1.49 / 41.50 ± 3.95@@4.764605376721623,44.34 ± 1.88 / 26.51 ± 1.27@@44.33697380961637,62.68 ± 1.20 / 16.26 ± 1.20@@62.68126625131117,9.18 ± 1.01 / 30.52 ± 0.84@@9.175353921512045,4.18 ± 1.31 / 26.63 ± 0.65@@4.17872310344307,26.02 ± 3.81 / 35.45 ± 3.98@@26.023558441509977,28.37 ± 4.77 / 29.26 ± 4.12@@28.372685509489465,-1.97 ± 1.28 / 41.26 ± 4.39@@-1.971877022386676,45.46 ± 2.39 / 32.71 ± 1.87@@45.457735155201945,63.76 ± 1.72 / 18.61 ± 1.73@@63.75576360151172,8.81 ± 0.90 / 31.18 ± 0.60@@8.807119696712421,-0.06 ± 1.36 / 25.92 ± 0.73@@-0.05773324883464145,25.68 ± 1.93 / 40.10 ± 2.54@@25.67582579175301,29.49 ± 5.46 / 29.22 ± 4.60@@29.485236054289665,1.83 ± 1.55 / 46.23 ± 3.83@@1.829943924435878,46.34 ± 3.04 / 27.94 ± 2.93@@46.337376011676945,60.48 ± 0.56 / 13.55 ± 1.21@@60.483670768589946,10.21 ± 0.64 / 31.00 ± 0.68@@10.211180775132604,5.17 ± 0.65 / 27.41 ± 0.60@@5.170114324118723,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.18@@3.18,3.12@@3.12,3.38@@3.38,3.05@@3.05,14030361600.0,131072.0,4096.0,✓,✗,82.50 ± 1.79 / 90.62 ± 1.09@@82.4984178936538,31.99 ± 3.92 / 28.10 ± 3.12@@31.98816304200832,4.89 ± 1.17 / 49.15 ± 1.13@@4.885375761600559,46.04 ± 2.19 / 27.99 ± 1.24@@46.040975975285605,63.06 ± 0.49 / 15.24 ± 0.57@@63.06223767634946,0.16 ± 1.50 / 23.79 ± 0.54@@0.16468789241931275,0.05 ± 1.18 / 25.49 ± 0.47@@0.04789839304102494,31.81 ± 4.37 / 42.00 ± 5.34@@31.805795945017877,28.35 ± 7.18 / 26.71 ± 4.26@@28.348142231322864,2.50 ± 1.49 / 36.52 ± 1.66@@2.4953174821336184,44.64 ± 2.19 / 33.44 ± 1.39@@44.63696813122887,63.42 ± 1.57 / 17.32 ± 1.61@@63.41638003286789,0.16 ± 1.39 / 24.45 ± 1.16@@0.1592416274050903,0.66 ± 0.92 / 26.27 ± 0.76@@0.6599682478126306,28.31 ± 1.76 / 39.78 ± 0.79@@28.308042267323124,44.28 ± 3.36 / 41.23 ± 2.84@@44.27697761245564,0.57 ± 1.25 / 39.80 ± 3.70@@0.5732591052231986,47.69 ± 2.62 / 28.80 ± 2.39@@47.68541581786737,60.11 ± 0.77 / 13.66 ± 0.77@@60.114376789861126,1.83 ± 0.92 / 25.79 ± 0.90@@1.8258151893273475,-0.69 ± 1.60 / 24.53 ± 0.69@@-0.6856444678042745,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.23@@3.23,3.22@@3.22,3.36@@3.36,3.12@@3.12,999885952.0,262144.0,32768.0,✓,✗,91.40 ± 0.92 / 95.66 ± 0.49@@91.40252486377216,29.63 ± 2.24 / 29.69 ± 2.26@@29.631695467241077,-0.50 ± 1.56 / 43.68 ± 3.15@@-0.4956901678032236,45.66 ± 2.87 / 27.19 ± 1.21@@45.662806478390614,57.49 ± 0.91 / 12.09 ± 0.66@@57.494430022197776,1.98 ± 1.18 / 24.04 ± 0.65@@1.983154006862033,-0.70 ± 0.85 / 25.30 ± 0.46@@-0.7013907881093076,40.85 ± 2.83 / 54.31 ± 3.98@@40.85022657957832,28.29 ± 5.05 / 25.99 ± 5.23@@28.288625696642296,0.88 ± 1.64 / 37.52 ± 1.87@@0.8820863137991279,44.51 ± 2.93 / 31.40 ± 4.00@@44.50811903063273,63.89 ± 1.01 / 18.25 ± 1.08@@63.89204037608579,0.31 ± 0.95 / 23.42 ± 0.59@@0.3117648957418082,0.43 ± 0.80 / 25.96 ± 0.64@@0.4291129095203914,32.73 ± 2.30 / 51.21 ± 2.55@@32.73085483659809,38.76 ± 5.11 / 36.88 ± 5.07@@38.75648219174088,-0.77 ± 1.67 / 44.32 ± 3.10@@-0.771605146706809,46.07 ± 2.79 / 25.45 ± 3.07@@46.0711016713773,55.35 ± 1.95 / 10.84 ± 1.04@@55.34922561622807,0.10 ± 1.19 / 22.09 ± 0.56@@0.1010127372964356,0.96 ± 0.99 / 25.39 ± 0.61@@0.9624943553918073,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.25@@3.25,3.25@@3.25,3.36@@3.36,3.15@@3.15,,128000.0,4096.0,✓,✗,67.54 ± 11.53 / 80.00 ± 8.65@@67.54353031454264,25.98 ± 2.34 / 25.71 ± 2.32@@25.97862201908091,1.17 ± 1.20 / 40.07 ± 4.64@@1.1670496942052757,52.01 ± 3.18 / 31.37 ± 1.63@@52.013086562341286,61.47 ± 1.12 / 15.35 ± 1.16@@61.470880190900054,-1.43 ± 1.24 / 23.32 ± 0.63@@-1.4301675237150944,-0.14 ± 1.00 / 24.88 ± 0.74@@-0.1352916879121072,25.75 ± 7.05 / 33.51 ± 6.23@@25.749291385910833,28.38 ± 6.31 / 27.33 ± 4.60@@28.384051429840362,1.23 ± 2.02 / 38.07 ± 3.27@@1.2338290373750531,52.23 ± 1.92 / 39.10 ± 1.02@@52.234160337560596,65.79 ± 0.38 / 21.02 ± 0.90@@65.78793089312967,0.34 ± 1.26 / 23.63 ± 0.66@@0.33892694398352263,-0.81 ± 1.33 / 25.13 ± 1.04@@-0.8085444992175348,25.26 ± 2.26 / 42.62 ± 3.30@@25.264893800983103,36.71 ± 1.85 / 37.96 ± 2.18@@36.70687414371459,1.14 ± 0.89 / 42.97 ± 4.70@@1.1369693486412837,51.26 ± 1.92 / 30.64 ± 1.94@@51.25952962173428,59.00 ± 1.03 / 13.50 ± 1.16@@58.99899371070205,-0.99 ± 0.79 / 21.98 ± 0.42@@-0.9897141661836705,-0.87 ± 0.98 / 24.33 ± 0.72@@-0.8718397907242412,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.30@@3.30,3.13@@3.13,3.53@@3.53,3.26@@3.26,8537680896.0,256000.0,8192.0,✗,✗,65.17 ± 12.78 / 78.04 ± 9.33@@65.16632791672656,46.91 ± 2.62 / 44.59 ± 2.81@@46.91151123990139,10.25 ± 1.27 / 47.25 ± 3.86@@10.253793489253734,20.68 ± 2.70 / 2.55 ± 1.04@@20.67531093240013,61.15 ± 0.70 / 12.94 ± 0.76@@61.1490439096815,8.02 ± 0.76 / 28.58 ± 1.28@@8.021481539737643,3.66 ± 1.61 / 26.78 ± 1.16@@3.658922490286265,23.25 ± 5.56 / 39.85 ± 6.24@@23.25031277951085,56.96 ± 2.73 / 47.35 ± 2.37@@56.9570888068209,6.05 ± 1.52 / 47.44 ± 3.02@@6.0470631137474795,15.36 ± 1.40 / 1.48 ± 0.50@@15.359849512141803,59.55 ± 1.00 / 10.35 ± 1.53@@59.55179827549728,7.90 ± 1.58 / 28.10 ± 1.79@@7.899239146310351,1.29 ± 1.05 / 26.01 ± 0.78@@1.2860751093273592,24.61 ± 4.61 / 37.35 ± 6.49@@24.60779657112942,39.38 ± 2.84 / 38.20 ± 2.49@@39.3809894947477,2.10 ± 1.97 / 38.15 ± 4.22@@2.1008392239793197,17.57 ± 1.70 / 1.30 ± 0.45@@17.566649067874803,59.77 ± 0.45 / 11.21 ± 0.48@@59.772775432647904,10.79 ± 1.39 / 29.45 ± 1.80@@10.786889640955717,2.35 ± 1.57 / 25.88 ± 0.72@@2.345361710367012,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,3.31@@3.31,3.37@@3.37,3.49@@3.49,3.07@@3.07,2779683840.0,51200.0,2048.0,✓,✗,7.56 ± 12.23 / 39.73 ± 8.97@@7.560898607426332,39.83 ± 1.81 / 38.37 ± 2.13@@39.833461355346486,3.19 ± 2.29 / 46.88 ± 3.35@@3.1917813903806143,55.92 ± 1.85 / 34.80 ± 0.85@@55.92357745367965,55.50 ± 3.42 / 14.14 ± 1.22@@55.502378444653,9.43 ± 0.94 / 30.02 ± 0.93@@9.427658504913133,4.63 ± 0.99 / 26.84 ± 0.72@@4.629060605114941,22.83 ± 5.49 / 39.45 ± 4.53@@22.828131606893916,29.42 ± 6.82 / 26.48 ± 5.44@@29.4204033274415,0.56 ± 1.03 / 46.16 ± 2.63@@0.5566927514445877,48.82 ± 1.07 / 35.39 ± 1.18@@48.81721978927236,61.34 ± 2.37 / 15.55 ± 1.79@@61.3443872913922,7.00 ± 1.26 / 28.24 ± 0.74@@6.996974262453841,0.59 ± 1.16 / 26.39 ± 0.79@@0.5868928251574772,27.95 ± 2.47 / 48.13 ± 2.93@@27.945530767698322,44.05 ± 3.37 / 42.20 ± 3.27@@44.045675271982255,-0.22 ± 1.70 / 40.73 ± 3.12@@-0.21536966141527497,35.75 ± 12.34 / 21.59 ± 7.96@@35.745470464140176,58.21 ± 0.66 / 12.48 ± 0.55@@58.212170854385484,9.94 ± 1.48 / 29.74 ± 1.17@@9.940849358803524,4.43 ± 0.96 / 27.28 ± 0.77@@4.430318172228265,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.32@@3.32,3.17@@3.17,3.63@@3.63,3.15@@3.15,1235814400.0,128256.0,131072.0,✓,✗,91.12 ± 0.79 / 95.52 ± 0.42@@91.12484439261104,30.94 ± 1.93 / 30.00 ± 1.55@@30.93968148641611,2.13 ± 1.75 / 47.90 ± 2.72@@2.1262016122097114,47.81 ± 3.15 / 28.32 ± 1.94@@47.807584273324636,58.55 ± 0.90 / 12.48 ± 0.86@@58.54892092989758,1.10 ± 0.90 / 25.32 ± 0.78@@1.0971203048680587,-0.42 ± 0.99 / 25.05 ± 0.89@@-0.41697843142911706,39.62 ± 3.51 / 56.28 ± 3.52@@39.62351066753238,13.18 ± 7.21 / 15.93 ± 6.38@@13.176498534552378,0.63 ± 2.00 / 44.12 ± 3.25@@0.6334844256921696,45.14 ± 3.41 / 31.68 ± 3.75@@45.141808968596465,59.09 ± 2.17 / 13.98 ± 1.88@@59.09299279337574,0.55 ± 1.17 / 25.04 ± 0.69@@0.5549338546391933,0.28 ± 1.00 / 26.24 ± 0.75@@0.2761908988246649,29.87 ± 3.29 / 45.04 ± 5.11@@29.873183357422832,30.76 ± 5.63 / 29.90 ± 5.02@@30.761699172833858,0.88 ± 0.85 / 36.25 ± 3.71@@0.8756156573883928,47.08 ± 4.66 / 26.49 ± 4.71@@47.08230578259311,57.15 ± 1.07 / 11.07 ± 1.56@@57.15274737427535,3.32 ± 0.54 / 26.02 ± 0.71@@3.321616672148437,1.55 ± 1.11 / 25.84 ± 0.78@@1.5507252799734421,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.32@@3.32,3.22@@3.22,3.40@@3.40,3.34@@3.34,1656850432.0,128000.0,4096.0,✓,✗,48.50 ± 13.72 / 65.80 ± 11.10@@48.50038281104913,24.44 ± 2.92 / 23.07 ± 2.83@@24.438033601089217,2.86 ± 1.39 / 40.64 ± 3.86@@2.8563683303594747,56.95 ± 2.28 / 31.82 ± 1.01@@56.95141983976936,65.72 ± 0.41 / 19.12 ± 0.72@@65.71633642393863,0.08 ± 0.68 / 24.53 ± 0.34@@0.08322406268239828,0.84 ± 0.75 / 25.20 ± 0.41@@0.8417874916143483,20.88 ± 3.11 / 39.60 ± 3.23@@20.875664232070378,21.76 ± 8.55 / 24.50 ± 4.43@@21.75745789465368,2.68 ± 1.34 / 45.51 ± 3.40@@2.6750861122852134,54.25 ± 0.83 / 38.31 ± 2.16@@54.25182988058259,64.86 ± 0.44 / 18.07 ± 0.76@@64.8637686438451,1.60 ± 1.14 / 25.52 ± 0.78@@1.6046670296511392,0.53 ± 1.02 / 26.41 ± 0.47@@0.5260237623899355,0.00 ± 0.00 / 15.63 ± 0.30@@0.0,35.24 ± 3.28 / 35.51 ± 2.74@@35.241778690141054,0.08 ± 1.45 / 38.20 ± 3.28@@0.08345051711738487,51.11 ± 1.81 / 28.58 ± 2.77@@51.10941001109031,61.35 ± 0.48 / 15.23 ± 1.08@@61.351428083580686,0.44 ± 1.26 / 24.95 ± 0.90@@0.44256318265797173,1.26 ± 1.17 / 25.52 ± 0.98@@1.2640413797629164,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot)</a>,📝,3.48@@3.48,3.25@@3.25,3.75@@3.75,3.45@@3.45,7241732096.0,32000.0,32768.0,✓,✗,64.51 ± 10.51 / 77.75 ± 8.17@@64.50774066868676,43.82 ± 1.87 / 36.94 ± 2.62@@43.81868722253181,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,24.62 ± 3.19 / 0.05 ± 0.03@@24.618917423934622,61.03 ± 1.11 / 13.40 ± 0.62@@61.02757741406094,3.64 ± 1.79 / 25.63 ± 0.66@@3.6414377758122147,0.47 ± 1.02 / 26.37 ± 0.86@@0.47060828503028024,3.54 ± 2.23 / 17.37 ± 0.80@@3.5354540726577075,56.62 ± 2.30 / 42.62 ± 2.48@@56.62016726995116,0.64 ± 1.41 / 35.75 ± 2.56@@0.64380430563164,20.14 ± 2.26 / 0.03 ± 0.02@@20.13595243316887,58.60 ± 5.82 / 12.63 ± 1.70@@58.60461209267669,0.83 ± 0.81 / 25.83 ± 0.83@@0.8278330746924394,-0.11 ± 0.65 / 24.99 ± 0.99@@-0.11213276899937484,9.77 ± 5.36 / 26.28 ± 4.45@@9.767996995406678,48.21 ± 2.38 / 41.15 ± 2.37@@48.211914078131315,1.23 ± 0.99 / 43.82 ± 3.07@@1.2268094679897894,22.48 ± 1.82 / 0.05 ± 0.03@@22.477830128122317,48.90 ± 5.64 / 7.21 ± 2.04@@48.898003650756436,1.40 ± 1.03 / 26.24 ± 0.74@@1.3980193589647527,-0.39 ± 0.80 / 25.32 ± 0.66@@-0.3893456864579202,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,3.56@@3.56,3.50@@3.50,3.74@@3.74,3.45@@3.45,361821120.0,49152.0,8192.0,✓,✗,55.10 ± 6.27 / 72.30 ± 5.09@@55.09887934154391,23.05 ± 1.57 / 22.01 ± 2.28@@23.05481052813158,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,31.88 ± 1.91 / 19.10 ± 0.88@@31.877141624303043,59.55 ± 1.13 / 13.63 ± 0.60@@59.546132043760736,-0.60 ± 1.15 / 23.53 ± 0.45@@-0.6025447888407959,0.02 ± 1.35 / 25.93 ± 0.56@@0.015777622475104114,19.57 ± 4.58 / 33.30 ± 4.30@@19.571647261481445,24.78 ± 3.22 / 24.01 ± 3.25@@24.78412497846992,0.50 ± 2.08 / 43.71 ± 3.29@@0.5014205560425194,26.62 ± 2.25 / 18.66 ± 2.02@@26.6197199478176,60.17 ± 2.43 / 14.32 ± 1.23@@60.17139529823907,-1.51 ± 1.09 / 23.15 ± 0.67@@-1.5085519099607,-0.39 ± 0.72 / 25.64 ± 0.51@@-0.39168432133360953,8.48 ± 4.14 / 24.97 ± 3.67@@8.479113420902845,33.13 ± 2.81 / 33.76 ± 3.04@@33.1257247393274,0.72 ± 1.35 / 33.77 ± 0.40@@0.7223053188893453,33.28 ± 2.64 / 19.73 ± 1.82@@33.280005945027284,56.81 ± 1.18 / 12.23 ± 0.54@@56.80576682287211,0.52 ± 1.26 / 22.44 ± 0.58@@0.5211775561854198,-1.00 ± 1.39 / 24.49 ± 0.72@@-1.0037287311021215,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.57@@3.57,3.57@@3.57,3.71@@3.71,3.43@@3.43,619570176.0,151936.0,32768.0,✗,✗,12.08 ± 5.70 / 37.07 ± 3.12@@12.075431613847135,27.47 ± 2.54 / 27.32 ± 2.51@@27.465446545471895,-0.32 ± 0.62 / 33.36 ± 0.27@@-0.316956872569649,44.28 ± 1.15 / 25.50 ± 0.65@@44.27933759477436,62.94 ± 0.15 / 14.43 ± 0.33@@62.93585691426416,0.60 ± 1.01 / 25.23 ± 0.72@@0.5962678316119021,0.97 ± 1.49 / 26.47 ± 1.02@@0.9691585284296448,0.55 ± 0.72 / 16.64 ± 0.34@@0.5504817895747843,31.82 ± 2.67 / 31.77 ± 2.37@@31.824549089027904,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,40.64 ± 0.52 / 28.75 ± 1.11@@40.636790477817314,62.11 ± 0.70 / 12.88 ± 0.60@@62.10535486738081,0.56 ± 0.68 / 26.27 ± 0.61@@0.5625363694980305,0.82 ± 0.75 / 25.56 ± 0.84@@0.8241520765740168,0.00 ± 0.00 / 15.63 ± 0.30@@0.0,36.84 ± 2.78 / 35.20 ± 2.81@@36.836034588109136,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,44.87 ± 1.15 / 25.43 ± 1.78@@44.87152473277065,59.21 ± 0.31 / 10.98 ± 0.40@@59.21029720833758,-0.26 ± 0.87 / 25.79 ± 0.69@@-0.2614133600741663,-0.29 ± 0.72 / 25.66 ± 0.34@@-0.2882207326840552,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.59@@3.59,3.43@@3.43,3.86@@3.86,3.47@@3.47,68977172480.0,32032.0,8192.0,✗,✗,33.97 ± 10.35 / 54.85 ± 8.69@@33.97129558561782,58.55 ± 2.37 / 52.42 ± 2.70@@58.547668364272035,7.78 ± 3.01 / 46.90 ± 4.67@@7.775879037368395,13.78 ± 3.47 / 0.86 ± 0.25@@13.777260021561492,51.11 ± 0.12 / 1.29 ± 0.05@@51.106024451437406,5.12 ± 2.09 / 25.59 ± 1.24@@5.123657037059119,4.21 ± 1.68 / 26.00 ± 0.57@@4.21277559211386,21.29 ± 8.73 / 34.10 ± 8.90@@21.287421278179632,72.48 ± 1.80 / 60.09 ± 2.61@@72.48176783107807,1.23 ± 1.70 / 35.27 ± 1.64@@1.2253828764186643,2.67 ± 1.72 / 1.30 ± 0.99@@2.6688586672169565,51.49 ± 0.45 / 1.67 ± 0.64@@51.49178629842937,1.32 ± 2.33 / 23.68 ± 0.82@@1.3227484304987795,0.00 ± 0.00 / 26.00 ± 0.69@@0.0,8.86 ± 4.00 / 25.35 ± 4.55@@8.857516998659788,65.78 ± 1.42 / 58.72 ± 1.26@@65.78079033244296,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,4.91 ± 2.98 / 0.03 ± 0.03@@4.90722144335291,48.46 ± 0.47 / 0.55 ± 0.04@@48.45555498235626,2.54 ± 1.01 / 25.99 ± 0.79@@2.5434094490920303,2.16 ± 1.42 / 25.86 ± 0.70@@2.1649905110240337,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
