model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.35@@2.35,3880099328.0,,131072.0,✓,✗,64.57 ± 1.07 / 68.45 ± 0.73@@64.57444005035413,64.51 ± 1.91 / 58.99 ± 1.33@@64.5075908283409,39.21 ± 0.93 / 68.54 ± 0.39@@39.20845179493181,72.90 ± 1.07 / 50.16 ± 1.47@@72.90089297194204,67.22 ± 0.10 / 19.97 ± 0.22@@67.21985135955038,35.12 ± 0.69 / 50.42 ± 0.59@@35.11826930158631,26.77 ± 2.85 / 42.94 ± 2.76@@26.772421553347563,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-2-2b-it'>google/gemma-2-2b-it (few-shot)</a>,📝,2.35@@2.35,2614341888.0,256000.0,8192.0,✓,✗,67.90 ± 1.02 / 70.04 ± 0.95@@67.90454230203247,48.76 ± 1.45 / 43.38 ± 1.22@@48.75984880169445,32.64 ± 1.31 / 65.15 ± 0.69@@32.63736939752654,80.55 ± 0.67 / 61.51 ± 1.13@@80.55075549330152,67.73 ± 0.08 / 20.42 ± 0.15@@67.72761911590351,37.78 ± 0.75 / 53.39 ± 0.56@@37.77868002404097,39.96 ± 1.56 / 53.94 ± 1.29@@39.95622757960254,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401
<a href='https://huggingface.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf (few-shot)</a>,📝,2.36@@2.36,68976653312.0,32000.0,4096.0,✓,✗,67.09 ± 1.11 / 69.78 ± 0.93@@67.09273133029777,70.65 ± 0.84 / 56.88 ± 1.20@@70.64938215328564,40.89 ± 1.68 / 65.80 ± 1.89@@40.88886352696842,77.57 ± 0.63 / 55.72 ± 1.16@@77.57478347269303,68.81 ± 0.05 / 22.01 ± 0.11@@68.80539340694668,20.20 ± 4.04 / 35.95 ± 3.72@@20.196533047783365,9.77 ± 2.92 / 27.69 ± 1.82@@9.771913348628695,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/google/gemma-7b'>google/gemma-7b (few-shot)</a>,🧠,2.38@@2.38,8537680896.0,256000.0,8192.0,✓,✗,67.79 ± 0.58 / 63.26 ± 1.33@@67.79095121870586,43.04 ± 5.15 / 39.21 ± 4.08@@43.03719154114739,34.79 ± 2.01 / 66.37 ± 0.93@@34.794894230762516,82.31 ± 2.31 / 70.33 ± 3.60@@82.30840966773495,69.03 ± 0.67 / 23.95 ± 0.56@@69.02653021315928,46.10 ± 1.03 / 57.24 ± 1.02@@46.09600029745079,20.02 ± 1.96 / 33.52 ± 1.43@@20.022911565402975,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1 (few-shot)</a>,📝,2.39@@2.39,7241732096.0,32000.0,4096.0,✓,✗,59.49 ± 2.14 / 68.62 ± 1.49@@59.493666584245354,59.12 ± 1.83 / 49.44 ± 2.16@@59.11621268580115,37.63 ± 1.23 / 66.54 ± 1.21@@37.63216871148626,80.59 ± 0.74 / 65.32 ± 1.16@@80.59322232628931,69.05 ± 0.10 / 22.10 ± 0.14@@69.05046107625822,30.79 ± 0.74 / 47.66 ± 0.54@@30.789782982011765,26.96 ± 0.58 / 42.92 ± 0.39@@26.956644855505075,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
danish-foundation-models/munin-7b-v0.1dev0 (few-shot)</a>,🧠,2.40@@2.40,7241732096.0,32000.0,8192.0,✓,✗,66.04 ± 1.68 / 65.21 ± 1.48@@66.04253015320045,56.38 ± 2.95 / 50.80 ± 2.82@@56.3827372096713,22.15 ± 3.57 / 57.71 ± 4.24@@22.15012488968077,83.70 ± 0.93 / 71.32 ± 1.41@@83.70326603419146,68.13 ± 0.68 / 23.08 ± 0.59@@68.12938139672042,35.47 ± 1.23 / 50.47 ± 0.94@@35.467149310280114,29.25 ± 3.05 / 44.01 ± 2.75@@29.253054033688308,12.5.0@@120500,12.5.2@@120502,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500,12.5.0@@120500
<a href='https://huggingface.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base (few-shot)</a>,🧠,2.43@@2.43,33715603456.0,49152.0,8192.0,✓,✗,63.99 ± 0.53 / 57.90 ± 0.61@@63.9925581520876,69.47 ± 2.42 / 67.26 ± 1.86@@69.46685445744791,22.17 ± 2.72 / 56.24 ± 3.34@@22.168589125333895,86.96 ± 1.44 / 78.45 ± 1.96@@86.964463072551,67.47 ± 0.58 / 23.53 ± 0.47@@67.46630372988875,26.14 ± 0.99 / 44.53 ± 0.73@@26.1351437454667,14.41 ± 1.44 / 34.92 ± 1.02@@14.413606670983336,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,2.43@@2.43,33715603456.0,49152.0,8192.0,✓,✗,62.49 ± 0.79 / 57.27 ± 0.59@@62.48675002043609,69.43 ± 3.11 / 66.60 ± 2.12@@69.42856792197087,24.28 ± 2.40 / 59.34 ± 1.96@@24.276894536880096,84.50 ± 0.95 / 74.08 ± 1.29@@84.49713404631223,69.09 ± 0.10 / 24.32 ± 0.24@@69.09104551799828,26.06 ± 0.91 / 43.60 ± 0.75@@26.057597102930018,16.24 ± 1.41 / 34.13 ± 1.00@@16.23573639486998,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2 (few-shot)</a>,📝,2.44@@2.44,7241732096.0,32000.0,32768.0,✗,✗,57.16 ± 1.62 / 66.43 ± 1.55@@57.16473577529371,59.09 ± 1.46 / 49.93 ± 2.20@@59.08882137680671,33.59 ± 1.83 / 66.29 ± 1.34@@33.59034027679876,65.38 ± 3.37 / 38.59 ± 4.56@@65.37860754666664,68.65 ± 0.07 / 20.46 ± 0.26@@68.65056896582246,38.19 ± 0.82 / 52.56 ± 0.70@@38.18796489454947,31.22 ± 1.95 / 46.33 ± 1.47@@31.221034155935484,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.44@@2.44,9152319488.0,128000.0,4096.0,✓,✗,62.99 ± 2.77 / 65.72 ± 2.04@@62.992289277889654,51.39 ± 2.64 / 43.89 ± 2.17@@51.39275034617744,28.47 ± 2.03 / 63.39 ± 1.05@@28.467630889185553,85.65 ± 1.47 / 75.57 ± 2.37@@85.64648570738498,66.72 ± 1.08 / 23.24 ± 0.76@@66.71618740729173,37.20 ± 1.32 / 52.32 ± 0.95@@37.203584810437434,23.42 ± 1.96 / 37.98 ± 1.12@@23.42470391182548,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/tiiuae/Falcon3-3B-Base'>tiiuae/Falcon3-3B-Base (few-shot)</a>,🧠,2.45@@2.45,3227655168.0,131072.0,32768.0,✓,✗,62.52 ± 0.91 / 62.22 ± 1.19@@62.5248393999681,60.64 ± 1.81 / 53.60 ± 1.65@@60.64417965867479,24.41 ± 1.77 / 59.92 ± 1.84@@24.409126837866662,80.77 ± 1.94 / 69.00 ± 2.43@@80.77297627670643,67.68 ± 0.34 / 23.22 ± 0.46@@67.67746262965375,36.04 ± 0.63 / 51.69 ± 0.46@@36.04413423198519,27.03 ± 1.92 / 43.74 ± 1.72@@27.03281443326857,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.45@@2.45,4300079472.0,262144.0,,✓,✗,63.98 ± 1.87 / 66.21 ± 1.75@@63.98333297891624,48.35 ± 4.51 / 44.70 ± 4.22@@48.3516225370875,27.80 ± 3.10 / 62.08 ± 2.26@@27.795329599571428,81.68 ± 1.56 / 67.89 ± 1.89@@81.67515208276868,68.12 ± 0.56 / 22.25 ± 0.70@@68.1234712897276,44.24 ± 0.62 / 57.79 ± 0.55@@44.236998790889274,21.32 ± 2.19 / 37.72 ± 1.83@@21.317393976749084,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base'>ibm-granite/granite-8b-code-base (few-shot)</a>,🧠,2.46@@2.46,8054910976.0,49152.0,4096.0,✓,✗,62.31 ± 1.79 / 67.31 ± 0.86@@62.31469771871365,72.64 ± 0.61 / 67.38 ± 0.91@@72.63939169032145,22.38 ± 2.05 / 59.67 ± 1.50@@22.381267423469126,81.40 ± 2.25 / 69.84 ± 3.57@@81.40288224532561,67.71 ± 0.62 / 23.43 ± 0.95@@67.71202771058597,25.41 ± 0.75 / 44.10 ± 0.58@@25.40777888673722,16.50 ± 1.79 / 36.76 ± 1.44@@16.50315023721246,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf (few-shot)</a>,📝,2.47@@2.47,6738417664.0,32000.0,4096.0,✓,✗,61.46 ± 1.11 / 66.71 ± 0.33@@61.46245792491124,57.07 ± 0.91 / 45.67 ± 0.94@@57.072415671465436,26.89 ± 1.61 / 60.48 ± 1.59@@26.89294060901269,74.22 ± 0.51 / 56.47 ± 0.66@@74.21848037485218,69.95 ± 0.32 / 25.22 ± 0.33@@69.94596993055893,30.47 ± 0.70 / 46.82 ± 0.55@@30.47289279549137,30.18 ± 1.87 / 45.85 ± 1.98@@30.183776236668535,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,12.4.0@@120400,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf (few-shot)</a>,🧠,2.48@@2.48,13015866880.0,32000.0,4096.0,✓,✗,58.02 ± 2.77 / 66.97 ± 1.97@@58.02425662684219,58.83 ± 3.58 / 54.67 ± 2.73@@58.82517486248797,27.11 ± 4.08 / 61.07 ± 3.37@@27.10725957147358,84.65 ± 1.89 / 73.76 ± 2.40@@84.6454764052324,68.17 ± 0.59 / 22.45 ± 0.49@@68.168678428774,32.26 ± 0.81 / 49.17 ± 0.70@@32.263898839596784,14.18 ± 2.25 / 34.75 ± 1.60@@14.177250817040065,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,2.48@@2.48,7768117248.0,256000.0,8192.0,✓,✗,64.28 ± 1.43 / 69.42 ± 0.78@@64.28147454848941,62.61 ± 2.07 / 53.63 ± 1.44@@62.6059155291732,23.40 ± 2.48 / 59.03 ± 2.06@@23.397897199128685,82.12 ± 0.59 / 70.10 ± 0.81@@82.12276558107985,69.00 ± 0.18 / 24.93 ± 0.23@@69.00401168197277,28.16 ± 1.10 / 43.89 ± 0.93@@28.157840919531395,15.73 ± 1.86 / 35.17 ± 1.83@@15.731577998854213,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/ibm-granite/granite-7b-instruct'>ibm-granite/granite-7b-instruct (few-shot)</a>,📝,2.49@@2.49,6738481152.0,32008.0,4096.0,✓,✗,65.98 ± 1.15 / 64.68 ± 2.08@@65.9763633748915,53.21 ± 1.85 / 45.68 ± 2.60@@53.20972859314108,7.26 ± 2.04 / 52.39 ± 1.92@@7.26318314787362,79.37 ± 1.16 / 64.71 ± 1.95@@79.36847477398331,68.81 ± 0.21 / 24.11 ± 0.23@@68.80547166030738,36.50 ± 1.02 / 52.05 ± 0.77@@36.49952770796096,46.95 ± 1.41 / 59.90 ± 1.18@@46.95301175843964,13.0.0@@130000,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B (few-shot)</a>,🧠,2.50@@2.50,3212749824.0,128256.0,131073.0,✓,✗,63.29 ± 1.29 / 67.82 ± 0.74@@63.2915653102533,59.09 ± 1.44 / 52.03 ± 1.96@@59.09419685229056,13.50 ± 4.14 / 50.33 ± 5.61@@13.495867873796835,81.12 ± 1.18 / 68.15 ± 2.21@@81.12054306542535,67.73 ± 0.51 / 22.02 ± 0.74@@67.72689293895382,40.10 ± 0.68 / 54.53 ± 0.48@@40.1020671792351,20.88 ± 2.25 / 39.75 ± 1.62@@20.882293282158454,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k (few-shot)</a>,📝,2.52@@2.52,8054910976.0,49152.0,4096.0,✓,✗,64.42 ± 0.86 / 59.88 ± 0.60@@64.4153980321382,71.86 ± 1.32 / 67.24 ± 0.83@@71.8630918462712,21.74 ± 2.63 / 59.80 ± 1.68@@21.744999109582626,79.41 ± 1.54 / 68.44 ± 2.06@@79.40586356592013,68.98 ± 0.12 / 23.48 ± 0.38@@68.97716659295838,18.65 ± 1.35 / 37.41 ± 0.94@@18.650857334909926,10.66 ± 0.90 / 30.54 ± 0.76@@10.657288169543891,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf (few-shot)</a>,📝,2.57@@2.57,6738417664.0,32000.0,4096.0,✓,✗,65.16 ± 1.21 / 66.86 ± 1.32@@65.16482215014223,55.27 ± 2.79 / 50.25 ± 2.12@@55.27164512578102,20.43 ± 3.69 / 55.98 ± 4.88@@20.425542062338938,81.43 ± 1.73 / 69.82 ± 2.49@@81.43487632995763,68.82 ± 0.54 / 23.58 ± 0.59@@68.82349239996984,25.98 ± 0.90 / 42.52 ± 0.62@@25.977680592988673,11.77 ± 1.81 / 31.25 ± 1.99@@11.774817538682145,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501,12.0.0@@120000,9.2.0@@90200,9.2.0@@90200
<a href='https://huggingface.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b (few-shot)</a>,🧠,2.57@@2.57,1644515328.0,100352.0,4096.0,✓,✗,64.69 ± 1.33 / 57.60 ± 0.63@@64.68630771900081,47.50 ± 1.70 / 41.85 ± 1.68@@47.4991591289172,8.01 ± 1.97 / 51.78 ± 1.65@@8.00996309230845,80.90 ± 0.72 / 71.81 ± 1.05@@80.90104561031691,69.71 ± 0.11 / 27.72 ± 0.26@@69.70799655042356,18.92 ± 0.73 / 38.74 ± 0.53@@18.91785197182996,54.53 ± 0.89 / 65.79 ± 0.65@@54.5291256857119,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k (few-shot)</a>,🧠,2.57@@2.57,8054910976.0,49152.0,4096.0,✓,✗,59.57 ± 1.22 / 66.02 ± 1.11@@59.573550106017,73.13 ± 1.65 / 69.14 ± 1.09@@73.13451085907879,20.66 ± 2.00 / 58.51 ± 2.41@@20.659476704258665,80.13 ± 3.07 / 68.87 ± 4.69@@80.13480057912508,68.20 ± 0.27 / 23.96 ± 0.42@@68.19539035910566,17.94 ± 0.79 / 38.53 ± 0.61@@17.935150588390265,9.58 ± 0.86 / 30.46 ± 0.51@@9.584438735007872,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base (few-shot)</a>,🧠,2.58@@2.58,20066993152.0,49152.0,8192.0,✓,✗,61.14 ± 0.94 / 61.13 ± 0.90@@61.143256876403655,68.93 ± 2.31 / 64.80 ± 1.29@@68.92703689292944,19.91 ± 1.82 / 58.96 ± 1.42@@19.91150277163366,85.84 ± 1.45 / 76.55 ± 2.19@@85.84126233627752,67.45 ± 0.61 / 23.66 ± 0.74@@67.44680331466952,21.03 ± 1.32 / 40.38 ± 1.01@@21.031371994247046,7.98 ± 1.02 / 29.89 ± 0.71@@7.981085733705948,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5 (few-shot)</a>,🧠,2.60@@2.60,7241732096.0,32000.0,4096.0,✓,✗,61.82 ± 2.10 / 67.23 ± 1.16@@61.82412268522545,53.83 ± 5.60 / 50.02 ± 5.07@@53.826700875018396,19.74 ± 2.54 / 58.62 ± 1.27@@19.735847621966947,83.13 ± 2.33 / 73.09 ± 2.85@@83.13119662956782,68.57 ± 0.51 / 23.19 ± 0.31@@68.56856147045619,27.59 ± 0.54 / 43.82 ± 0.65@@27.58974951086882,11.48 ± 1.69 / 31.40 ± 1.51@@11.483698698678921,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,2.62@@2.62,11429893120.0,51200.0,1024000.0,✓,✗,65.88 ± 1.38 / 66.32 ± 1.39@@65.87504913620637,64.14 ± 3.49 / 59.98 ± 2.77@@64.14102822356888,7.99 ± 1.59 / 41.63 ± 2.67@@7.985476698178562,83.60 ± 1.49 / 72.79 ± 2.05@@83.60129550629293,68.18 ± 0.32 / 20.32 ± 0.17@@68.17608079014462,22.32 ± 1.11 / 41.74 ± 0.79@@22.317096099680526,10.51 ± 1.23 / 31.70 ± 0.85@@10.50785202730982,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct (few-shot)</a>,📝,2.62@@2.62,3374295552.0,49155.0,4096.0,✓,✗,66.79 ± 1.37 / 69.10 ± 1.05@@66.78762801135856,50.54 ± 2.60 / 45.25 ± 1.81@@50.53605153871021,15.00 ± 1.45 / 56.60 ± 1.20@@15.002207397307155,81.60 ± 0.74 / 68.44 ± 1.03@@81.59791579662823,68.46 ± 0.17 / 21.63 ± 0.38@@68.45636162805022,26.26 ± 1.49 / 44.00 ± 1.13@@26.25616815148516,20.76 ± 1.16 / 35.40 ± 1.32@@20.76449238560337,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf (few-shot)</a>,📝,2.63@@2.63,13015866880.0,32000.0,4096.0,✓,✗,61.93 ± 1.07 / 68.19 ± 0.60@@61.930170859941015,63.00 ± 1.15 / 51.31 ± 1.60@@63.000940528088265,31.05 ± 2.02 / 63.82 ± 0.85@@31.048901632796316,76.04 ± 1.03 / 58.93 ± 1.35@@76.03522279168705,64.64 ± 1.38 / 17.67 ± 1.47@@64.63758841025992,16.24 ± 2.36 / 33.60 ± 1.57@@16.2410878497596,6.80 ± 1.46 / 27.89 ± 1.23@@6.798680836767068,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B (few-shot)</a>,📝,2.65@@2.65,14167290880.0,152064.0,32768.0,✓,✗,52.89 ± 0.97 / 63.99 ± 0.82@@52.89217345199605,65.21 ± 0.81 / 43.95 ± 0.58@@65.21074212798828,21.88 ± 1.09 / 54.64 ± 0.94@@21.88368818667186,20.92 ± 0.22 / 0.00 ± 0.00@@20.922054930990164,66.70 ± 0.05 / 16.97 ± 0.06@@66.69722687860485,50.84 ± 0.82 / 62.78 ± 0.60@@50.840890403714155,64.26 ± 0.84 / 72.01 ± 0.77@@64.25769351833807,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/allenai/OLMo-1.7-7B-hf'>allenai/OLMo-1.7-7B-hf (few-shot)</a>,🧠,2.65@@2.65,6888095744.0,50304.0,4096.0,✓,✗,66.43 ± 0.78 / 57.25 ± 0.33@@66.42988655164156,41.02 ± 3.86 / 40.03 ± 2.56@@41.020480830653774,5.17 ± 1.55 / 37.03 ± 2.40@@5.172215551765887,85.31 ± 0.82 / 76.04 ± 0.97@@85.30992316107896,70.28 ± 0.06 / 28.85 ± 0.17@@70.28039154654834,34.92 ± 0.75 / 50.82 ± 0.73@@34.92371152688343,18.73 ± 1.32 / 34.76 ± 0.91@@18.728820398502922,12.10.4@@121004,12.10.5@@121005,12.10.4@@121004,12.10.5@@121005,12.10.5@@121005,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B (few-shot)</a>,📝,2.71@@2.71,7615616512.0,152064.0,4096.0,✓,✗,57.13 ± 1.88 / 64.48 ± 1.17@@57.130734467155385,57.13 ± 3.16 / 46.11 ± 2.18@@57.12806384971698,29.99 ± 2.01 / 64.25 ± 1.13@@29.99394288056386,35.84 ± 6.89 / 12.08 ± 7.69@@35.84450430930544,66.62 ± 0.46 / 19.36 ± 0.58@@66.61900125109241,42.37 ± 1.39 / 55.35 ± 1.18@@42.36575624593164,28.96 ± 2.55 / 45.11 ± 2.05@@28.957321650707822,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,2.72@@2.72,751632384.0,151936.0,40960.0,✓,✗,51.38 ± 0.76 / 57.53 ± 0.77@@51.37560228011927,53.93 ± 1.38 / 44.94 ± 2.37@@53.9335696360871,20.66 ± 1.80 / 60.22 ± 0.91@@20.663982097491758,70.62 ± 0.87 / 56.59 ± 1.03@@70.62134988748545,67.40 ± 0.13 / 19.66 ± 0.13@@67.40386290039169,28.72 ± 4.75 / 45.59 ± 3.57@@28.72408941279304,20.42 ± 0.58 / 39.44 ± 0.56@@20.420918890740943,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/ibm-granite/granite-7b-base'>ibm-granite/granite-7b-base (few-shot)</a>,🧠,2.73@@2.73,6738415616.0,32000.0,2048.0,✓,✗,66.41 ± 0.85 / 65.96 ± 2.20@@66.41077940032125,47.76 ± 2.72 / 44.84 ± 2.71@@47.7605290452345,5.76 ± 1.50 / 50.36 ± 2.34@@5.764535472744324,81.54 ± 1.06 / 70.34 ± 1.81@@81.5380989237767,65.88 ± 1.55 / 19.75 ± 1.04@@65.88074081213563,29.83 ± 1.09 / 47.45 ± 0.69@@29.83065323044795,18.44 ± 2.21 / 36.96 ± 2.10@@18.436474338528768,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct (few-shot)</a>,📝,2.75@@2.75,7771262976.0,96640.0,8192.0,✓,✗,52.34 ± 2.19 / 63.47 ± 1.56@@52.34393264535881,63.49 ± 1.26 / 54.75 ± 1.78@@63.49251548262779,19.08 ± 2.52 / 54.94 ± 3.78@@19.078729040385568,74.20 ± 2.23 / 56.73 ± 3.83@@74.2027040534953,68.15 ± 0.27 / 21.16 ± 0.67@@68.15206283601583,15.73 ± 2.83 / 35.33 ± 2.23@@15.725332971883105,9.46 ± 1.29 / 31.36 ± 1.30@@9.459565786627877,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B (few-shot)</a>,📝,2.75@@2.75,1836828672.0,151936.0,32768.0,✓,✗,64.34 ± 1.18 / 62.90 ± 1.36@@64.33643964108185,37.22 ± 3.24 / 34.07 ± 3.11@@37.22371507373219,15.30 ± 1.17 / 55.67 ± 1.16@@15.298859903744649,75.79 ± 0.97 / 64.41 ± 1.29@@75.79274879895051,68.15 ± 0.13 / 22.11 ± 0.19@@68.14803956265678,27.24 ± 1.14 / 44.95 ± 0.84@@27.24044232383685,22.84 ± 1.16 / 41.75 ± 0.99@@22.8416984548214,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
