model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.55@@1.55,70553706496.0,128256.0,8192.0,✓,✗,69.73 ± 1.07 / 72.22 ± 0.67@@69.72575394057311,80.76 ± 0.92 / 75.73 ± 0.43@@80.7640473462989,51.54 ± 1.94 / 74.39 ± 1.17@@51.53588310748708,80.76 ± 0.62 / 58.29 ± 1.37@@80.76194699654113,69.12 ± 0.05 / 23.57 ± 0.30@@69.11915420001606,72.26 ± 0.61 / 79.18 ± 0.46@@72.26261937036033,80.79 ± 1.09 / 85.46 ± 0.86@@80.78675839613541,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.55@@1.55,32763876352.0,152064.0,40960.0,✓,✗,70.14 ± 0.43 / 68.32 ± 0.88@@70.14157698072879,84.23 ± 0.96 / 75.06 ± 1.76@@84.2280847436597,45.75 ± 0.96 / 68.23 ± 0.78@@45.753435562886125,81.82 ± 0.60 / 66.71 ± 1.05@@81.82009240562843,67.05 ± 0.07 / 16.94 ± 0.15@@67.04620295728091,83.69 ± 0.65 / 87.79 ± 0.48@@83.69041536762482,80.61 ± 1.11 / 85.27 ± 0.87@@80.60655902402688,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (few-shot, val)</a>",📝,1.55@@1.55,,256128.0,1048576.0,✓,✗,69.58 ± 1.76 / 74.23 ± 1.47@@69.58494145575803,84.87 ± 1.13 / 82.61 ± 1.53@@84.86963155816,45.92 ± 5.75 / 72.18 ± 3.06@@45.91742010010981,80.43 ± 1.55 / 54.66 ± 3.12@@80.42933648364031,68.83 ± 0.17 / 22.78 ± 0.38@@68.83212565910071,74.14 ± 1.99 / 80.66 ± 1.45@@74.13830020055963,83.37 ± 2.33 / 87.30 ± 1.81@@83.37397215232045,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.56@@1.56,70553706496.0,128256.0,8192.0,✓,✗,69.13 ± 0.76 / 68.29 ± 0.97@@69.12996954809951,82.88 ± 1.45 / 80.30 ± 1.26@@82.87692434282577,54.25 ± 2.67 / 76.03 ± 1.77@@54.2512783086188,88.09 ± 1.11 / 77.58 ± 1.77@@88.08623931407149,68.98 ± 0.48 / 22.15 ± 1.09@@68.98308034396905,68.66 ± 1.52 / 76.40 ± 1.16@@68.65846525497446,67.55 ± 3.66 / 74.84 ± 2.99@@67.55099965173751,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.58@@1.58,30532122624.0,151936.0,40960.0,✓,✗,66.56 ± 1.03 / 70.61 ± 1.00@@66.56443978623528,83.77 ± 0.99 / 76.45 ± 0.85@@83.77097999115541,45.82 ± 1.50 / 68.54 ± 0.92@@45.815258212966086,84.51 ± 0.58 / 69.56 ± 1.06@@84.51225634111412,67.71 ± 0.07 / 19.10 ± 0.16@@67.7055997774005,81.00 ± 0.62 / 85.77 ± 0.46@@81.00129755207487,75.75 ± 0.61 / 81.71 ± 0.46@@75.74600802351023,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.58@@1.58,,200019.0,8191.0,✓,✗,63.46 ± 1.00 / 69.35 ± 1.28@@63.45718851243698,81.23 ± 1.31 / 72.72 ± 1.69@@81.22618244708747,46.45 ± 4.58 / 72.89 ± 2.30@@46.45475359459428,81.53 ± 0.66 / 57.64 ± 1.26@@81.52521414461937,68.71 ± 0.14 / 20.56 ± 0.22@@68.70558684924617,81.20 ± 2.32 / 85.94 ± 1.72@@81.2032196819691,85.48 ± 2.07 / 88.91 ± 1.59@@85.48038596406158,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.59@@1.59,,256128.0,1048576.0,✓,✗,64.26 ± 2.09 / 65.10 ± 1.48@@64.25768835958746,82.02 ± 1.19 / 62.05 ± 1.35@@82.02195658343167,46.70 ± 5.69 / 72.60 ± 2.91@@46.69644728676481,80.85 ± 0.74 / 59.75 ± 1.47@@80.85272622362224,67.99 ± 0.16 / 20.00 ± 0.29@@67.99358203075826,86.75 ± 1.71 / 90.04 ± 1.31@@86.74608516781822,77.22 ± 1.92 / 82.54 ± 1.45@@77.21657970751814,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.59@@1.59,32296476672.0,256000.0,8192.0,✗,✗,69.07 ± 0.80 / 69.02 ± 0.69@@69.06587925651186,76.30 ± 1.03 / 65.73 ± 1.70@@76.29852159289763,45.14 ± 1.30 / 71.80 ± 0.68@@45.13807364825341,84.60 ± 0.69 / 68.71 ± 1.43@@84.59974706316748,73.15 ± 0.19 / 31.91 ± 0.18@@73.14825276640477,64.67 ± 0.77 / 73.38 ± 0.58@@64.67309786771465,84.30 ± 0.79 / 88.14 ± 0.60@@84.29562186091614,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (few-shot, val)</a>",📝,1.60@@1.60,,256128.0,1048576.0,✓,✗,69.14 ± 2.64 / 71.11 ± 2.13@@69.14479812999885,78.95 ± 1.55 / 73.42 ± 2.28@@78.94916248535822,48.93 ± 5.16 / 73.53 ± 2.92@@48.931754254100554,80.24 ± 0.88 / 58.11 ± 1.53@@80.24360073262366,67.74 ± 0.14 / 20.95 ± 0.27@@67.74105715099722,74.12 ± 3.05 / 80.62 ± 2.26@@74.12417698323621,83.20 ± 2.09 / 87.23 ± 1.62@@83.19816739745332,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.60@@1.60,,,200000.0,✓,✗,65.04 ± 1.82 / 68.83 ± 1.18@@65.04106231832824,79.10 ± 1.58 / 59.69 ± 1.35@@79.1039607245828,49.92 ± 3.94 / 72.62 ± 2.09@@49.92250759354778,79.28 ± 0.88 / 58.94 ± 1.00@@79.2760370634231,67.30 ± 0.14 / 18.74 ± 0.20@@67.29775982676074,91.06 ± 0.87 / 93.28 ± 0.63@@91.05971926790441,71.14 ± 2.00 / 78.12 ± 1.48@@71.13944472674902,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
