model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.16@@2.16,8030261248.0,128256.0,131072.0,✓,✗,89.98 ± 0.64 / 94.92 ± 0.35@@89.97950669599874,61.68 ± 1.94 / 42.64 ± 1.85@@61.681794879665134,36.14 ± 1.51 / 64.97 ± 1.71@@36.135390912506004,68.14 ± 0.60 / 38.60 ± 1.20@@68.14402942962741,67.43 ± 0.17 / 18.92 ± 0.26@@67.43451342219487,37.21 ± 0.80 / 52.83 ± 0.61@@37.20742251644854,42.80 ± 1.49 / 57.01 ± 1.17@@42.79768546235746,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.16@@2.16,,,1047576.0,✓,✗,81.18 ± 2.36 / 90.15 ± 1.30@@81.17774012408019,45.97 ± 3.15 / 39.57 ± 2.13@@45.965932792248864,55.28 ± 2.69 / 77.27 ± 1.37@@55.2832141023368,68.19 ± 0.82 / 40.91 ± 1.06@@68.18659751096246,64.50 ± 0.11 / 12.82 ± 0.16@@64.49947244254872,53.80 ± 3.23 / 64.96 ± 2.41@@53.79821754194827,42.37 ± 2.89 / 55.86 ± 2.19@@42.371077257625004,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.16@@2.16,8019808256.0,131072.0,32768.0,✓,✗,88.96 ± 0.79 / 94.44 ± 0.42@@88.95813964294558,63.30 ± 2.36 / 39.20 ± 2.16@@63.30438132122783,32.20 ± 0.77 / 65.67 ± 0.69@@32.204180613450426,74.66 ± 0.75 / 59.91 ± 0.63@@74.66470850372079,65.60 ± 0.14 / 15.53 ± 0.18@@65.60275464042206,33.02 ± 0.79 / 49.45 ± 0.61@@33.023609209433104,44.88 ± 2.56 / 57.56 ± 2.18@@44.87643843826613,15.7.0.dev0@@150700,14.1.2@@140102,14.1.2@@140102,14.2.0.dev0@@140200,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,📝,2.18@@2.18,8030326784.0,128264.0,131072.0,✓,✗,91.36 ± 0.64 / 95.61 ± 0.34@@91.36474921758983,60.49 ± 1.42 / 43.84 ± 0.80@@60.4856932817013,39.38 ± 2.59 / 61.23 ± 2.49@@39.379136223688995,68.89 ± 1.38 / 45.04 ± 1.56@@68.89154872308724,67.59 ± 0.28 / 18.20 ± 0.45@@67.59210317773977,35.58 ± 0.51 / 51.23 ± 0.43@@35.582614378618494,39.41 ± 1.80 / 53.70 ± 1.49@@39.409098500207826,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.20@@2.20,8030261248.0,128256.0,8192.0,✓,✗,89.15 ± 1.32 / 94.41 ± 0.73@@89.15283441206954,68.72 ± 1.81 / 54.89 ± 2.10@@68.72299111873397,32.91 ± 2.56 / 64.93 ± 1.97@@32.90870744469777,67.12 ± 0.59 / 39.33 ± 0.95@@67.12105733006248,67.62 ± 0.82 / 18.19 ± 1.14@@67.61581254773773,36.18 ± 1.31 / 51.68 ± 1.05@@36.180467076603776,33.91 ± 1.71 / 48.01 ± 1.47@@33.91033845702422,15.7.0.dev0@@150700,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.20@@2.20,8170835968.0,49152.0,4096.0,✓,✗,87.95 ± 1.67 / 93.67 ± 0.95@@87.95181615962848,52.47 ± 2.00 / 42.03 ± 1.86@@52.47243923896706,43.39 ± 3.04 / 69.23 ± 2.57@@43.38939580892009,78.32 ± 1.47 / 64.38 ± 0.92@@78.3199611109276,66.46 ± 0.75 / 19.42 ± 1.23@@66.4619887349545,34.34 ± 0.87 / 50.51 ± 0.72@@34.34191302893769,31.85 ± 1.59 / 48.01 ± 1.12@@31.85488402597748,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.21@@2.21,8030261248.0,128256.0,131072.0,✓,✗,91.63 ± 0.24 / 95.72 ± 0.13@@91.63262923014966,65.87 ± 1.90 / 46.02 ± 1.99@@65.87441419381655,31.90 ± 4.02 / 56.86 ± 4.61@@31.90373107029614,77.35 ± 1.66 / 62.80 ± 1.04@@77.35310923320459,65.74 ± 0.81 / 20.37 ± 1.30@@65.74350070237415,36.04 ± 0.86 / 51.88 ± 0.66@@36.04104543613823,25.83 ± 2.09 / 43.58 ± 1.76@@25.82732703083569,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,14.3.0@@140300,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.21@@2.21,8030261248.0,128256.0,131072.0,✓,✗,88.40 ± 0.95 / 94.09 ± 0.51@@88.40003010752821,63.11 ± 2.19 / 37.95 ± 1.55@@63.113066427478934,34.85 ± 2.73 / 65.34 ± 2.41@@34.845843100571315,71.55 ± 0.93 / 51.20 ± 1.55@@71.54543377643499,67.55 ± 0.28 / 18.47 ± 0.51@@67.54702900536358,34.00 ± 1.15 / 50.00 ± 0.89@@34.00102942000811,34.08 ± 2.42 / 49.06 ± 2.20@@34.08340433267217,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,2.21@@2.21,8414105600.0,131072.0,8192.0,✓,✗,87.58 ± 1.69 / 93.48 ± 0.97@@87.58112228937534,66.29 ± 2.06 / 47.69 ± 2.04@@66.29346208261181,31.39 ± 1.27 / 63.48 ± 1.67@@31.39208057906614,79.21 ± 1.17 / 65.97 ± 0.83@@79.20929246606674,64.10 ± 0.62 / 17.65 ± 0.69@@64.10083848881186,37.55 ± 1.03 / 52.98 ± 0.83@@37.547116513839384,29.69 ± 2.55 / 44.05 ± 2.51@@29.694041502666124,15.7.0.dev0@@150700,14.1.1@@140101,14.1.1@@140101,14.3.0@@140300,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.22@@2.22,7241732096.0,32000.0,4096.0,✗,✗,84.72 ± 1.30 / 91.85 ± 0.77@@84.72115013118572,64.21 ± 3.23 / 46.00 ± 2.16@@64.21168880701087,28.59 ± 2.48 / 61.30 ± 3.20@@28.590952296043532,71.37 ± 1.13 / 50.63 ± 0.99@@71.37006088215931,68.08 ± 1.07 / 19.02 ± 1.25@@68.08477172380663,34.73 ± 1.02 / 50.90 ± 0.78@@34.725975700540076,37.65 ± 1.74 / 52.33 ± 1.37@@37.646497486642666,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta (few-shot)</a>,📝,2.24@@2.24,7241748480.0,32002.0,4096.0,✗,✗,85.60 ± 1.25 / 92.35 ± 0.73@@85.59830191037419,63.01 ± 2.00 / 33.76 ± 1.86@@63.012389177769926,39.20 ± 1.25 / 68.05 ± 1.27@@39.20367924433561,66.93 ± 3.57 / 39.70 ± 4.32@@66.92786405874315,64.41 ± 0.66 / 14.57 ± 0.60@@64.41484074894106,32.99 ± 1.00 / 49.58 ± 0.76@@32.989819561309375,42.49 ± 1.27 / 55.95 ± 0.90@@42.48713276307668,15.7.0.dev0@@150700,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.25@@2.25,8030261248.0,128256.0,8192.0,✓,✗,91.87 ± 0.21 / 95.86 ± 0.11@@91.87362273936796,62.26 ± 2.20 / 42.41 ± 2.02@@62.26459021823446,30.30 ± 3.94 / 62.28 ± 2.89@@30.301285835140106,76.66 ± 1.92 / 62.76 ± 1.52@@76.65614292770971,65.17 ± 1.24 / 18.63 ± 1.85@@65.17278118750255,36.38 ± 0.86 / 52.08 ± 0.66@@36.384315366892515,28.33 ± 2.31 / 45.29 ± 1.78@@28.33008894706405,15.7.0.dev0@@150700,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.26@@2.26,9152319488.0,128000.0,4096.0,✓,✗,86.93 ± 3.74 / 93.12 ± 2.22@@86.92502796917427,55.96 ± 2.14 / 34.41 ± 1.67@@55.96005798553908,35.34 ± 2.44 / 65.91 ± 2.33@@35.34229643726389,79.92 ± 1.20 / 67.95 ± 1.14@@79.92168318212289,67.89 ± 1.05 / 21.86 ± 1.72@@67.89071164406778,35.52 ± 0.78 / 51.48 ± 0.58@@35.51769168419271,22.96 ± 2.05 / 39.68 ± 1.99@@22.955323039600817,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.34@@2.34,4300079472.0,262144.0,,✓,✗,83.25 ± 1.12 / 91.29 ± 0.68@@83.25179132790016,52.23 ± 2.15 / 42.12 ± 2.26@@52.2319014514914,37.12 ± 1.07 / 67.85 ± 0.95@@37.12439714121082,66.96 ± 0.89 / 44.12 ± 2.12@@66.96477608384143,66.27 ± 0.17 / 16.71 ± 0.28@@66.27153198132874,36.70 ± 1.00 / 52.22 ± 0.75@@36.70277419981359,33.82 ± 0.74 / 49.52 ± 0.74@@33.81769851113892,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,📝,2.34@@2.34,9152319488.0,128000.0,4096.0,✗,✗,89.05 ± 1.06 / 94.44 ± 0.58@@89.05254980860764,56.24 ± 1.98 / 30.62 ± 2.25@@56.23702425821983,37.38 ± 4.42 / 61.36 ± 5.00@@37.37521420185058,70.44 ± 2.16 / 57.85 ± 1.91@@70.43591759041654,63.88 ± 0.28 / 14.05 ± 0.24@@63.877236280386576,34.79 ± 1.19 / 50.59 ± 0.94@@34.78943235108526,25.03 ± 2.39 / 40.97 ± 2.75@@25.026485420845994,15.7.0.dev0@@150700,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.35@@2.35,3606752256.0,128256.0,131072.0,✓,✗,87.30 ± 0.82 / 93.53 ± 0.47@@87.30373575444472,49.47 ± 2.13 / 39.70 ± 2.03@@49.46773185622295,31.80 ± 2.01 / 60.14 ± 2.71@@31.801346229241396,67.59 ± 1.66 / 53.67 ± 1.69@@67.5943160999514,65.42 ± 0.09 / 16.17 ± 0.21@@65.4224221118784,34.15 ± 1.17 / 50.42 ± 0.92@@34.14708107322087,38.25 ± 1.15 / 53.15 ± 0.97@@38.250318050066696,15.7.0.dev0@@150700,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M (few-shot)</a>,📝,2.37@@2.37,4299915632.0,262144.0,128000.0,✓,✗,85.05 ± 1.27 / 92.31 ± 0.77@@85.0519060635476,61.04 ± 1.81 / 43.56 ± 2.40@@61.04489061954963,32.42 ± 1.54 / 65.65 ± 0.84@@32.41720378825618,64.58 ± 1.41 / 42.71 ± 2.43@@64.57864092814395,66.15 ± 0.26 / 17.31 ± 0.43@@66.15483636720455,31.78 ± 0.85 / 48.57 ± 0.66@@31.775421197816723,23.07 ± 1.35 / 41.57 ± 1.12@@23.072494884075194,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/ReBatch/Llama-3-8B-dutch'>ReBatch/Llama-3-8B-dutch (few-shot)</a>,🧠,2.39@@2.39,8030277632.0,128258.0,8445.0,✗,✗,91.69 ± 0.81 / 95.82 ± 0.43@@91.69012988043919,60.14 ± 2.00 / 44.91 ± 2.19@@60.13720216338017,15.67 ± 3.75 / 40.14 ± 2.65@@15.674560724745348,71.98 ± 2.28 / 58.63 ± 2.03@@71.97989705827838,64.49 ± 1.40 / 18.40 ± 1.70@@64.49182734155329,36.13 ± 1.24 / 51.76 ± 0.92@@36.132309053887305,28.25 ± 2.23 / 44.23 ± 2.03@@28.24662935083267,15.7.0.dev0@@150700,12.7.0@@120700,12.7.0@@120700,14.3.0@@140300,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/alpindale/Mistral-7B-v0.2-hf'>alpindale/Mistral-7B-v0.2-hf (few-shot)</a>,🧠,2.40@@2.40,7241732096.0,32000.0,32768.0,✓,✗,90.25 ± 0.99 / 94.96 ± 0.56@@90.24734068301707,56.76 ± 1.52 / 42.03 ± 1.98@@56.758916201287704,23.55 ± 2.76 / 59.14 ± 3.18@@23.545637726026506,76.73 ± 1.59 / 62.98 ± 1.18@@76.72807462931937,64.33 ± 0.72 / 17.66 ± 0.87@@64.33499385850155,34.92 ± 1.07 / 51.02 ± 0.85@@34.91588481126201,23.87 ± 1.80 / 42.03 ± 1.58@@23.86794371644381,15.7.0.dev0@@150700,12.5.2@@120502,12.5.2@@120502,14.3.0@@140300,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16'>robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16 (few-shot)</a>,📝,2.41@@2.41,7718948864.0,151646.0,32768.0,✗,✗,89.05 ± 0.89 / 94.47 ± 0.46@@89.04945724088972,56.83 ± 2.31 / 46.81 ± 2.87@@56.82788520356918,23.58 ± 2.69 / 50.85 ± 3.74@@23.580553311087126,67.70 ± 0.88 / 43.32 ± 2.07@@67.7028888098761,65.06 ± 1.20 / 18.45 ± 1.09@@65.05846860716701,33.73 ± 0.75 / 50.05 ± 0.57@@33.73422944774543,29.29 ± 1.83 / 45.90 ± 1.77@@29.289335325981963,15.7.0.dev0@@150700,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.42@@2.42,8170848256.0,49155.0,4096.0,✓,✗,88.08 ± 1.20 / 93.92 ± 0.67@@88.08445735330118,49.04 ± 1.67 / 34.09 ± 1.59@@49.041230781711285,29.42 ± 1.44 / 63.58 ± 1.04@@29.422384590075122,74.83 ± 1.29 / 60.62 ± 1.21@@74.82741809518114,62.34 ± 3.24 / 18.49 ± 1.19@@62.338426502537914,34.69 ± 0.59 / 50.59 ± 0.56@@34.685635878319424,31.36 ± 1.90 / 46.78 ± 1.51@@31.36435339557296,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Instruct'>tiiuae/Falcon3-7B-Instruct (few-shot)</a>,📝,2.43@@2.43,7455550464.0,131072.0,32768.0,✓,✗,87.70 ± 0.97 / 93.76 ± 0.52@@87.69754205379836,58.58 ± 1.70 / 49.83 ± 1.39@@58.581890536219504,24.34 ± 1.54 / 61.66 ± 0.97@@24.340162923436957,72.78 ± 0.76 / 56.76 ± 0.88@@72.7770599297094,65.16 ± 1.01 / 16.13 ± 1.02@@65.15905408043182,28.81 ± 0.78 / 46.49 ± 0.62@@28.812712166989062,25.51 ± 0.87 / 43.86 ± 0.71@@25.505564839177286,15.7.2.dev0@@150702,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/tiiuae/falcon-11B'>tiiuae/falcon-11B (few-shot)</a>,📝,2.46@@2.46,11102822400.0,65024.0,8192.0,✓,✗,90.49 ± 0.68 / 95.23 ± 0.34@@90.4946121434191,56.80 ± 3.16 / 39.87 ± 2.21@@56.80468452022005,38.24 ± 4.33 / 65.38 ± 4.96@@38.238298346735924,51.44 ± 8.68 / 36.43 ± 9.62@@51.43761181175783,64.15 ± 1.75 / 15.44 ± 1.77@@64.14908327991725,27.80 ± 0.63 / 45.26 ± 0.51@@27.800515807694058,25.79 ± 1.38 / 41.98 ± 1.36@@25.78773518307047,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.47@@2.47,3880099328.0,,131072.0,✓,✗,83.19 ± 1.32 / 91.24 ± 0.79@@83.1856384886231,57.88 ± 2.01 / 39.73 ± 1.97@@57.876914155081984,34.02 ± 1.86 / 63.79 ± 2.03@@34.01902298761152,64.91 ± 1.14 / 44.76 ± 1.62@@64.91222695570197,66.10 ± 0.23 / 17.09 ± 0.38@@66.09976268897299,29.30 ± 0.87 / 45.65 ± 0.78@@29.30165356103712,15.13 ± 1.97 / 33.73 ± 1.67@@15.127006180095698,15.7.2@@150702,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-7b'>google/gemma-7b (few-shot)</a>,🧠,2.47@@2.47,8537680896.0,256000.0,8192.0,✓,✗,88.26 ± 1.73 / 93.82 ± 0.99@@88.26035194292186,47.92 ± 3.06 / 36.28 ± 1.63@@47.921582850716504,19.47 ± 3.12 / 43.32 ± 3.02@@19.46969585863561,77.24 ± 1.55 / 62.77 ± 1.22@@77.24364343658198,65.30 ± 0.73 / 19.30 ± 1.17@@65.30313747847686,38.48 ± 0.66 / 51.57 ± 0.73@@38.48009916880081,16.46 ± 2.29 / 30.76 ± 1.80@@16.457842517446878,15.7.0.dev0@@150700,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1 (few-shot)</a>,🧠,2.50@@2.50,7241732096.0,32000.0,4096.0,✓,✗,88.02 ± 1.59 / 93.67 ± 0.91@@88.02157112586798,57.99 ± 3.09 / 42.58 ± 2.64@@57.98883329739803,19.29 ± 3.69 / 53.97 ± 4.78@@19.288774643944397,77.54 ± 1.47 / 63.90 ± 1.27@@77.54033471200003,64.25 ± 0.94 / 17.60 ± 1.37@@64.25001062947558,28.47 ± 0.78 / 46.16 ± 0.66@@28.47383194587449,11.69 ± 1.99 / 32.97 ± 1.29@@11.693885722148567,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ChocoLlama/Llama-3-ChocoLlama-8B-instruct'>ChocoLlama/Llama-3-ChocoLlama-8B-instruct (few-shot)</a>,📝,2.50@@2.50,8030261248.0,128256.0,8192.0,✗,✗,89.99 ± 0.85 / 94.96 ± 0.44@@89.98779315309324,55.86 ± 2.11 / 35.88 ± 1.28@@55.86273271576927,26.55 ± 1.73 / 57.29 ± 2.89@@26.54916823543917,68.10 ± 1.62 / 50.91 ± 1.35@@68.09809047716399,66.74 ± 0.45 / 17.99 ± 0.53@@66.74253997640335,27.51 ± 1.17 / 44.54 ± 0.83@@27.507195373563302,12.79 ± 2.75 / 32.41 ± 2.01@@12.785028988208005,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B (few-shot)</a>,🧠,2.50@@2.50,13716198400.0,100352.0,4096.0,✓,✗,87.72 ± 1.05 / 93.53 ± 0.60@@87.72475817734656,53.97 ± 2.20 / 47.52 ± 2.43@@53.97064165763512,13.40 ± 2.47 / 41.89 ± 2.86@@13.398178614071089,82.49 ± 0.51 / 67.35 ± 1.53@@82.48709922809209,65.71 ± 0.45 / 22.19 ± 1.00@@65.71391925521311,27.38 ± 0.65 / 45.39 ± 0.50@@27.380827670284365,18.05 ± 1.11 / 38.05 ± 0.93@@18.048523677464587,15.7.0.dev0@@150700,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3 (few-shot)</a>,🧠,2.51@@2.51,7248023552.0,32768.0,32768.0,✓,✗,90.50 ± 1.02 / 95.10 ± 0.57@@90.50215663790213,59.30 ± 2.01 / 44.29 ± 2.40@@59.29753219633059,17.72 ± 3.60 / 53.01 ± 5.07@@17.715130878042945,76.70 ± 1.59 / 62.97 ± 1.16@@76.699698255587,64.10 ± 0.81 / 17.37 ± 1.30@@64.10395617669565,28.19 ± 1.19 / 45.94 ± 0.92@@28.193746770147936,12.82 ± 2.13 / 33.12 ± 1.20@@12.823526728571233,15.7.0.dev0@@150700,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,📝,2.51@@2.51,8414105600.0,131072.0,8192.0,✓,✗,86.63 ± 1.20 / 93.01 ± 0.70@@86.63198943884412,60.11 ± 1.96 / 37.17 ± 1.69@@60.11184560759184,32.68 ± 1.80 / 64.15 ± 1.14@@32.684246338583264,21.73 ± 1.12 / 0.02 ± 0.02@@21.733768135597376,64.01 ± 0.11 / 11.65 ± 0.13@@64.00898493666318,41.00 ± 1.29 / 55.62 ± 0.95@@41.0048765006428,39.20 ± 2.23 / 53.01 ± 1.79@@39.196913001331495,15.7.0.dev0@@150700,14.1.1@@140101,14.1.1@@140101,14.2.0.dev0@@140200,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/ChocoLlama/Llama-3-ChocoLlama-8B-base'>ChocoLlama/Llama-3-ChocoLlama-8B-base (few-shot)</a>,🧠,2.51@@2.51,,128256.0,8192.0,✓,✗,81.50 ± 4.08 / 89.74 ± 2.54@@81.49686864581965,53.64 ± 3.48 / 42.81 ± 2.59@@53.63889634373906,30.31 ± 4.31 / 59.20 ± 5.32@@30.31358040537463,74.32 ± 2.49 / 60.37 ± 1.76@@74.3228881649869,61.83 ± 1.22 / 17.45 ± 1.13@@61.826555113875656,31.39 ± 1.15 / 48.33 ± 0.86@@31.38799819525262,16.31 ± 2.20 / 34.68 ± 1.79@@16.30662712956169,15.7.1.dev0@@150701,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.51@@2.51,2031739904.0,151936.0,40960.0,✓,✗,80.96 ± 1.42 / 90.19 ± 0.87@@80.95548870173211,38.81 ± 2.26 / 30.46 ± 2.17@@38.807988314312844,33.19 ± 1.77 / 65.98 ± 0.94@@33.187482886666366,63.13 ± 0.83 / 48.72 ± 0.79@@63.1337589222628,64.63 ± 0.18 / 13.38 ± 0.28@@64.63374312486849,48.44 ± 1.68 / 61.24 ± 1.28@@48.44389791246691,23.30 ± 1.37 / 42.00 ± 0.99@@23.2968552165644,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,📝,2.52@@2.52,46997647360.0,67993.0,32768.0,✓,✗,44.97 ± 18.95 / 64.27 ± 13.61@@44.9691875081961,62.81 ± 3.06 / 43.07 ± 2.90@@62.80936705584048,28.57 ± 2.14 / 60.59 ± 2.37@@28.565009888664328,66.14 ± 2.59 / 42.46 ± 4.16@@66.13714279081888,65.35 ± 0.98 / 18.66 ± 0.83@@65.35262754521682,39.53 ± 0.99 / 54.24 ± 0.73@@39.529336757261774,26.71 ± 3.11 / 44.58 ± 2.46@@26.710230213728863,15.7.0.dev0@@150700,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B (few-shot)</a>,📝,2.53@@2.53,14167290880.0,152064.0,32768.0,✓,✗,87.51 ± 0.85 / 93.71 ± 0.44@@87.51178119278968,57.49 ± 2.55 / 33.67 ± 1.15@@57.489088608517406,36.57 ± 1.43 / 63.17 ± 1.37@@36.57020435250297,20.73 ± 0.81 / 0.05 ± 0.03@@20.732643005427185,63.60 ± 0.14 / 11.62 ± 0.18@@63.60026588692562,41.25 ± 1.21 / 55.82 ± 0.88@@41.25199914756217,37.06 ± 1.43 / 51.87 ± 1.11@@37.05863800346571,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
