model,rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_mcc,angry_tweets_macro_f1,dansk_micro_f1_no_misc,dansk_micro_f1,scala_da_mcc,scala_da_macro_f1,scandiqa_da_f1,scandiqa_da_em,swerec_mcc,swerec_macro_f1,suc3_micro_f1_no_misc,suc3_micro_f1,scala_sv_mcc,scala_sv_macro_f1,scandiqa_sv_f1,scandiqa_sv_em,norec_mcc,norec_macro_f1,norne_nb_micro_f1_no_misc,norne_nb_micro_f1,norne_nn_micro_f1_no_misc,norne_nn_micro_f1,scala_nb_mcc,scala_nb_macro_f1,scala_nn_mcc,scala_nn_macro_f1,norquad_f1,norquad_em,hotter_and_colder_sentiment_mcc,hotter_and_colder_sentiment_macro_f1,mim_gold_ner_micro_f1_no_misc,mim_gold_ner_micro_f1,scala_is_mcc,scala_is_macro_f1,nqii_f1,nqii_em,fosent_mcc,fosent_macro_f1,fone_micro_f1_no_misc,fone_micro_f1,scala_fo_mcc,scala_fo_macro_f1,foqa_f1,foqa_em,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,sb10k_mcc,sb10k_macro_f1,germeval_micro_f1_no_misc,germeval_micro_f1,scala_de_mcc,scala_de_macro_f1,germanquad_f1,germanquad_em,sst5_mcc,sst5_macro_f1,conll_en_micro_f1_no_misc,conll_en_micro_f1,scala_en_mcc,scala_en_macro_f1,squad_f1,squad_em,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,sst5_version,conll_en_version,scala_en_version,squad_version
Geotrend/distilbert-base-25lang-cased,2.86,109.0,85.0,512,26098.8,True,False,31.81,53.25,58.44,55.32,34.13,65.98,32.18,27.6,60.69,56.69,70.56,64.49,30.83,63.39,36.45,31.41,33.19,46.63,83.59,80.55,80.29,76.08,32.6,65.19,24.97,61.39,30.69,19.93,29.56,50.69,65.76,68.15,2.08,48.68,30.96,6.81,3.9,25.25,83.21,83.81,2.37,48.46,2.54,1.35,7.45,29.7,75.02,81.57,45.28,71.89,27.86,20.18,41.51,60.79,72.97,71.83,45.39,71.6,6.88,1.89,36.77,45.15,87.08,87.08,37.1,67.2,37.98,26.99,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.86,8055.0,49.0,4096,5616.81,True,False,37.11,56.47,45.9,33.0,11.7,50.31,55.71,50.11,73.93,73.97,52.85,35.11,8.27,43.29,54.5,48.49,40.71,59.35,66.91,54.98,62.82,53.14,9.5,46.31,6.74,42.1,55.3,32.83,2.54,17.05,43.2,32.1,0.0,33.69,38.21,14.28,21.59,40.68,60.46,58.29,0.51,36.2,49.02,33.54,12.38,29.91,60.72,45.52,10.96,47.97,61.75,51.2,43.62,59.82,54.45,42.36,15.24,55.49,51.82,26.0,61.61,67.09,72.59,65.83,18.37,56.26,78.95,66.68,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
occiglot/occiglot-7b-eu5 (few-shot),2.87,7242.0,32.0,32768,2219.46,True,False,44.62,62.62,37.93,29.5,0.28,33.48,62.89,58.05,76.56,78.16,49.02,41.69,2.18,36.26,63.65,58.98,44.95,61.88,45.28,41.73,46.0,42.96,0.0,33.41,0.0,33.86,66.65,43.88,16.23,35.37,40.08,37.15,1.59,39.93,39.67,15.98,10.39,30.73,58.67,58.47,0.0,33.26,55.82,40.95,7.41,26.93,51.31,42.95,13.04,53.54,69.67,59.28,47.3,62.28,51.39,44.47,21.83,57.05,60.39,31.55,63.32,68.5,55.37,51.08,18.92,57.96,83.46,72.38,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,14.1.2,12.5.2,12.1.0,12.1.0,14.1.2,12.5.2,12.1.0,13.0.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.5.2,12.1.0,12.1.0
meta-llama/Llama-2-7b-chat-hf (few-shot),2.92,6738.0,32.0,4096,2643.05,False,False,44.88,62.35,35.44,24.63,9.74,47.42,61.34,55.04,66.18,72.0,39.72,29.85,6.74,45.55,60.9,54.05,41.56,57.09,44.99,38.59,49.09,39.09,3.04,36.81,4.03,40.55,61.99,33.77,13.59,36.87,41.1,40.54,-1.07,44.83,39.51,16.13,13.24,38.49,59.77,56.97,-0.54,36.94,46.21,31.87,10.07,35.66,50.23,37.12,14.73,54.59,66.24,53.42,46.52,63.64,50.09,38.59,15.23,55.08,56.07,25.54,62.23,68.09,62.53,53.42,22.71,60.79,80.79,64.45,9.3.1,9.3.1,9.3.1,12.4.0,9.3.1,9.3.1,9.3.1,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,13.3.0,9.3.1,9.3.1,12.4.0,13.3.0,9.3.1,9.3.1,13.0.0,9.3.1,9.3.1,9.3.1,12.4.0,12.9.0,12.9.0,12.10.0,12.10.0,9.3.1,9.3.1,9.3.1,12.4.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.11,3374.0,49.0,4096,10246.27,True,False,31.44,48.96,37.37,26.81,5.27,40.63,55.05,48.41,68.96,72.76,40.68,24.33,4.77,43.64,56.63,49.73,32.29,51.91,44.89,34.93,48.08,34.39,7.49,47.79,4.65,45.75,47.59,26.37,5.07,27.01,23.14,23.09,0.18,33.93,36.1,14.15,7.44,28.9,45.56,42.78,0.92,40.29,31.49,20.82,9.45,39.66,49.25,36.48,11.87,47.32,67.04,54.2,48.28,64.07,47.31,31.36,14.08,52.67,55.92,28.37,65.92,70.47,52.79,43.45,16.74,55.45,80.88,64.92,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.12,6738.0,32.0,4096,6275.17,True,False,29.32,41.08,28.18,24.25,2.9,37.93,62.92,56.48,75.64,76.06,41.49,38.09,0.66,33.73,63.85,57.48,32.67,44.37,36.96,34.68,39.38,37.06,2.18,38.05,5.33,44.3,67.75,45.23,18.33,30.21,31.81,29.47,3.63,44.49,46.83,16.72,14.19,28.15,40.18,39.95,0.31,41.35,60.78,41.6,8.77,25.31,36.61,31.91,3.52,35.34,70.33,59.51,26.39,36.06,32.33,30.2,1.44,33.6,54.13,28.15,64.82,67.11,47.2,44.0,7.57,45.83,83.56,73.88,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/quora-distilbert-multilingual,3.16,135.0,120.0,512,26458.45,True,False,36.6,56.93,54.48,52.85,8.84,51.76,19.76,13.97,68.36,63.94,65.5,59.72,14.81,55.5,22.88,16.11,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,33.1,52.77,63.36,65.24,1.02,47.05,27.44,6.48,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,23.25,44.88,67.89,74.48,21.36,59.5,9.94,4.5,49.66,66.33,64.12,62.5,0.58,49.27,0.36,0.05,50.69,50.9,81.71,82.33,2.16,49.99,11.99,4.19,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-3b-code-base-2k (few-shot),3.21,3483.0,49.0,2048,2731.51,True,False,35.47,52.7,38.62,27.71,5.07,43.91,50.96,45.21,70.61,60.47,51.76,41.73,6.24,46.34,50.56,44.67,23.83,45.39,53.93,48.95,54.04,49.74,3.91,42.54,1.55,40.63,12.14,2.37,4.29,23.24,38.52,28.84,0.0,33.69,36.06,12.94,0.16,14.73,60.88,60.02,-0.35,34.5,29.79,18.54,12.39,30.05,50.88,39.51,3.31,37.97,58.85,48.44,41.72,60.45,49.38,42.66,7.67,46.66,30.21,13.7,61.2,61.92,60.64,55.14,7.63,46.39,80.15,69.83,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.22,3483.0,49.0,2048,9058.91,True,False,31.54,50.61,37.21,27.74,6.3,49.09,51.51,44.86,65.67,64.0,50.1,42.8,4.55,45.11,49.35,42.83,26.21,43.33,53.78,49.41,55.14,51.07,3.9,43.86,2.42,41.58,45.77,24.86,0.6,16.42,33.57,33.47,0.0,33.69,33.54,11.27,3.8,28.41,56.88,57.68,-0.21,34.2,24.11,13.72,10.15,22.01,48.53,38.2,4.88,38.78,56.09,45.38,35.17,51.15,49.16,40.34,9.79,50.77,45.9,22.48,59.01,62.37,58.3,53.45,10.33,53.28,75.93,65.04,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.25,135.0,120.0,512,33753.4,True,False,36.6,56.93,54.48,52.85,8.84,51.76,21.36,15.42,68.33,64.03,65.5,59.72,14.81,55.5,22.88,16.11,44.59,59.87,77.81,74.83,72.22,68.32,8.98,52.49,5.72,50.4,0.0,0.0,33.1,52.77,59.15,61.27,0.8,45.59,28.02,6.14,9.77,32.64,82.91,83.43,1.67,46.2,0.0,0.0,17.4,39.25,65.04,70.94,-0.95,49.0,9.5,3.94,49.69,66.32,63.78,62.34,0.74,48.97,0.2,0.02,50.69,50.9,81.71,82.33,2.16,49.99,11.93,4.16,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.25,118.0,250.0,512,29200.68,True,False,44.48,63.11,56.75,53.43,26.74,62.19,25.53,17.89,72.19,67.88,66.5,59.99,28.75,63.3,23.08,15.91,47.53,62.73,78.31,74.65,72.13,67.28,26.92,61.93,14.63,56.24,0.0,0.0,31.32,51.09,62.44,64.98,1.91,46.54,27.48,3.69,6.35,29.58,82.24,82.84,2.84,50.47,0.0,0.0,0.0,24.33,59.61,67.02,-0.04,48.65,9.04,3.28,54.99,70.0,60.54,59.68,0.52,49.4,7.76,0.8,53.1,51.88,77.5,78.82,-0.35,48.74,9.98,3.13,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
dbmdz/bert-base-historic-multilingual-cased,3.26,111.0,32.0,512,20046.97,True,False,24.17,43.75,47.61,45.91,8.14,51.78,30.51,25.19,64.25,63.62,68.83,63.29,28.62,59.33,34.26,28.78,25.68,41.65,68.63,64.83,67.7,63.7,6.73,48.2,3.35,47.52,34.64,22.57,24.79,45.25,56.62,59.34,-1.21,47.43,29.08,6.01,0.9,26.49,80.45,81.32,2.52,47.78,1.12,0.58,9.29,30.73,56.69,68.42,3.02,50.08,31.59,22.14,37.77,58.2,65.35,63.62,16.07,54.09,16.63,5.67,12.42,33.8,77.64,79.56,13.65,53.84,45.71,33.29,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
EuropeanParliament/EUBERT,3.38,94.0,66.0,512,20070.41,True,False,27.33,49.78,41.09,40.4,21.58,59.41,26.68,20.68,59.0,56.25,38.36,37.63,19.4,58.63,26.64,19.23,19.81,40.9,49.92,49.17,44.37,43.43,8.64,53.17,3.11,50.44,26.33,15.89,36.28,56.0,29.71,28.69,2.71,49.68,27.51,6.5,0.94,23.64,59.5,58.98,3.25,49.77,10.14,5.56,14.86,35.33,49.54,50.44,27.9,62.47,29.4,20.65,40.29,59.76,49.95,49.1,25.88,61.54,8.94,2.59,17.53,38.67,71.43,71.51,23.93,59.48,42.98,31.01,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),3.38,7453.0,251.0,4096,1253.66,False,False,21.93,31.67,34.66,21.37,1.5,33.84,60.53,52.36,51.8,57.15,35.02,17.87,6.15,36.62,60.0,50.85,16.02,30.81,37.36,24.19,42.83,28.06,-0.08,33.74,2.29,35.36,56.15,31.6,4.3,19.35,28.74,19.43,0.06,34.2,45.55,17.41,16.72,41.68,46.64,35.58,-1.54,36.21,38.94,18.69,4.25,18.15,39.24,24.25,11.48,52.86,65.58,54.18,23.6,34.73,39.39,23.55,7.68,36.93,52.63,25.3,27.52,31.81,50.73,38.64,2.96,35.23,76.38,63.42,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.4,3374.0,49.0,4096,10504.04,True,False,6.85,19.42,31.8,23.06,0.97,36.48,55.19,49.83,57.18,62.72,36.01,24.61,1.52,38.3,56.97,51.04,31.9,53.03,40.08,33.17,43.96,32.96,-0.07,35.01,1.27,38.1,43.13,23.32,0.65,18.97,18.07,18.73,-0.72,33.96,30.66,12.27,5.4,17.9,41.27,40.85,-0.2,43.01,29.77,19.69,9.91,35.24,42.52,33.08,0.69,36.1,66.87,56.95,31.86,42.96,40.61,28.49,5.36,37.83,47.72,25.99,66.65,65.72,49.44,39.69,12.56,54.2,75.62,63.29,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,14.1.2,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.46,1657.0,128.0,4096,15008.58,True,False,37.92,46.23,19.61,17.44,2.81,38.15,56.82,50.05,72.24,68.89,27.41,24.45,0.13,36.22,56.59,49.77,30.63,37.24,31.43,30.82,36.92,37.8,0.98,42.0,1.67,34.92,55.11,33.24,6.83,31.41,13.29,14.72,0.92,42.09,24.16,7.49,4.25,26.21,33.53,35.41,-2.32,45.19,25.07,15.41,7.03,34.16,32.45,30.83,5.58,44.79,61.82,51.18,43.18,58.22,28.49,24.73,2.92,44.65,48.47,23.26,58.61,62.78,37.47,32.39,5.3,46.95,74.41,63.26,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.51,1711.0,49.0,8192,15970.88,True,False,18.49,35.29,29.44,20.31,1.73,38.18,50.4,44.39,64.46,69.83,37.37,26.31,4.49,46.63,49.57,43.92,24.05,40.36,37.6,29.3,38.38,30.13,3.56,38.6,2.61,38.57,25.34,13.58,6.86,23.96,26.23,23.26,2.69,45.61,28.57,10.84,3.94,30.51,40.28,42.15,-0.26,38.29,17.52,10.68,1.56,28.78,31.84,28.66,5.05,43.99,48.56,40.55,27.03,42.8,32.54,26.92,8.95,51.86,39.18,18.38,66.78,61.52,47.58,39.52,20.53,58.47,69.96,58.07,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/distiluse-base-multilingual-cased-v1,3.52,135.0,120.0,512,34041.87,True,False,27.78,49.38,46.78,44.41,3.04,46.85,23.22,15.52,60.06,55.65,49.86,44.53,3.18,48.38,23.46,16.08,25.98,40.58,60.76,58.35,59.62,55.9,2.65,48.09,3.47,48.98,0.82,0.2,35.18,55.52,45.47,47.67,1.14,48.47,21.45,1.63,9.82,36.4,75.63,76.23,3.65,48.34,0.0,0.0,17.82,37.11,58.67,68.27,9.27,52.04,8.02,2.17,51.7,67.81,28.29,27.54,2.12,49.13,0.69,0.03,36.75,47.8,71.33,73.43,0.24,47.55,9.37,1.3,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),3.55,7453.0,251.0,4096,1437.66,True,False,13.77,23.78,29.49,21.57,0.0,33.49,59.23,51.53,20.2,21.73,37.17,25.25,6.13,39.55,56.9,46.66,10.69,26.94,34.78,27.42,39.0,31.27,6.17,50.5,5.9,49.15,55.3,31.25,-0.79,26.06,26.58,22.13,0.63,43.8,44.23,15.14,16.03,39.68,39.78,31.09,-0.48,33.39,38.93,20.04,0.78,8.63,42.35,29.29,-0.02,38.46,59.25,47.61,10.59,21.22,38.81,27.14,0.91,33.45,48.13,22.54,23.69,25.98,44.48,36.31,8.52,51.57,71.38,56.97,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
sentence-transformers/distiluse-base-multilingual-cased,3.59,135.0,120.0,512,19205.51,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.49,8.25,63.04,56.5,51.67,53.62,2.32,48.77,17.75,8.93,32.83,43.32,63.79,67.14,60.96,64.65,1.09,48.72,0.18,47.3,0.0,0.0,33.35,53.45,47.62,50.59,2.64,49.47,12.2,1.27,10.41,34.36,77.16,78.0,4.09,47.26,0.0,0.0,9.66,31.17,56.98,66.91,19.37,56.74,7.91,3.11,48.71,65.32,40.2,40.33,5.53,51.1,1.12,0.06,36.22,45.8,71.9,74.21,0.47,48.67,8.5,2.44,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
sentence-transformers/distiluse-base-multilingual-cased-v2,3.64,135.0,120.0,512,33246.61,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.4,8.22,62.71,57.24,51.67,53.62,2.32,48.77,17.62,8.76,32.83,43.32,63.79,67.14,60.96,64.65,1.09,48.72,0.18,47.3,0.0,0.0,34.19,53.26,48.62,51.75,2.64,49.47,12.16,1.22,9.59,32.95,77.0,77.85,4.09,47.26,0.0,0.0,2.7,26.12,49.82,62.06,6.6,50.71,6.8,2.13,49.38,66.1,41.82,42.03,4.77,49.48,0.92,0.05,36.22,45.8,71.9,74.21,0.47,48.67,8.51,2.4,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.65,1711.0,49.0,8192,16248.88,True,False,9.93,23.57,24.47,18.7,1.22,35.31,47.54,42.09,68.31,72.51,35.96,26.41,3.61,49.47,49.32,43.26,23.25,36.07,26.7,24.56,28.23,28.27,-0.47,33.93,0.26,33.32,26.51,13.4,10.09,29.11,20.5,18.93,0.83,45.84,28.36,10.84,0.77,23.56,27.91,30.98,-0.48,33.97,26.11,16.56,4.6,29.94,22.84,25.11,2.55,40.88,48.35,40.33,19.69,29.0,28.67,25.27,5.07,47.6,38.33,18.43,62.32,67.09,41.57,37.51,8.04,48.16,67.43,56.01,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,14.1.2,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
PleIAs/Pleias-1.2b-Preview (few-shot),3.79,1195.0,66.0,2048,10756.07,True,False,28.95,48.32,28.3,22.93,0.2,34.12,43.32,36.39,39.68,47.78,36.29,31.64,0.96,36.56,38.42,32.64,19.42,26.64,38.96,36.82,40.42,38.81,-0.13,33.43,0.77,33.8,8.66,4.7,0.53,20.28,22.56,22.69,-0.26,33.59,31.39,11.77,-1.72,16.58,38.91,39.53,0.66,33.6,7.41,4.82,4.99,29.17,38.22,35.62,1.85,40.34,36.19,27.77,21.76,39.73,34.68,30.0,0.85,38.42,30.11,14.3,47.89,56.99,40.45,37.9,0.28,44.4,35.6,26.77,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.0.4,14.1.2,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4,14.1.2,14.0.4
3ebdola/Dialectal-Arabic-XLM-R-Base,3.88,278.0,250.0,512,12782.54,True,False,22.07,44.7,36.51,36.31,1.63,45.36,9.48,3.09,44.95,48.17,42.78,40.46,1.43,48.66,16.77,8.71,12.69,32.23,55.55,52.52,53.53,50.23,2.79,47.71,1.66,46.6,0.6,0.0,20.94,42.72,46.95,50.04,1.4,48.02,28.8,10.48,1.49,20.15,73.34,74.24,0.97,44.25,0.01,0.0,8.39,30.69,44.46,60.04,2.07,48.42,9.24,4.3,32.66,53.17,30.18,29.11,2.1,47.1,4.04,0.46,1.92,28.84,68.25,70.44,1.08,47.42,10.0,2.79,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,12.6.1,12.6.1,12.6.1,12.6.1
