model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
"meta-llama/Llama-2-70b-hf (few-shot, val)",1.79,1.62,68977.0,32.0,4096,1891.65,True,False,60.98,68.64,72.38,66.44,43.12,70.12,86.22,74.5,71.63,26.83,54.29,65.78,74.35,80.47,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
google/gemma-2-9b-it (few-shot),1.8,1.53,9242.0,256.0,8193,2062.05,True,False,68.4,71.79,58.07,51.39,51.58,74.57,81.91,62.03,69.72,25.66,63.99,72.84,75.87,81.61,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),1.81,1.75,8030.0,128.0,131073,1042.12,True,False,68.12,72.48,76.95,72.47,34.34,65.84,76.21,47.88,69.57,26.3,56.62,67.29,69.03,76.69,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
"152334H/miqu-1-70b-sf (few-shot, val)",1.81,1.44,68977.0,32.0,32764,2126.22,True,False,62.99,69.81,71.83,65.37,39.97,69.38,80.97,64.42,71.27,25.32,64.27,73.2,77.6,82.85,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
skole-gpt-mixtral (few-shot),1.82,1.75,,32.0,32768,3582.66,False,False,68.55,69.63,67.43,60.4,39.75,69.19,82.86,65.93,70.9,25.88,59.14,69.28,57.88,67.75,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),1.82,1.77,8171.0,49.0,4096,5090.05,True,False,68.55,72.5,62.84,56.61,41.05,69.78,83.31,66.25,69.36,25.91,53.62,65.0,71.0,77.45,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
setu4993/LaBSE,1.83,999.0,471.0,501.0,512,25417.61,True,False,52.93,58.98,90.33,90.31,50.7,74.17,65.07,53.77,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.7.0
google-bert/bert-base-uncased,1.84,999.0,109.0,31.0,512,10296.07,True,False,54.01,54.63,87.62,86.68,56.97,77.43,53.78,42.37,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),1.85,1.93,8030.0,128.0,8192,1040.29,True,False,67.64,71.04,75.02,69.47,32.29,64.85,79.1,54.84,69.28,25.48,53.77,64.91,57.64,67.29,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
mistralai/Ministral-8B-Instruct-2410 (few-shot),1.87,1.69,8020.0,131.0,32768,929.75,True,False,63.46,69.49,72.4,65.83,35.86,65.2,83.97,68.42,69.38,24.96,53.42,64.98,78.36,83.62,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16 (few-shot),1.9,2.02,7719.0,152.0,32768,2413.24,False,False,63.1,70.11,67.52,59.09,37.75,67.53,82.23,64.88,68.45,21.67,47.66,60.75,63.35,72.16,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
01-ai/Yi-1.5-6B (few-shot),1.9,1.99,6061.0,64.0,4097,2867.41,True,False,68.74,58.25,55.51,50.61,40.81,69.94,84.5,72.33,67.71,23.57,48.36,61.21,68.5,76.04,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-expanse-8b (few-shot),1.91,1.56,8028.0,256.0,8192,5581.05,False,False,68.71,68.49,66.61,47.49,34.72,66.8,80.48,57.9,71.92,29.79,56.93,67.67,74.42,80.74,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-23-8B (few-shot),1.91,1.97,8028.0,256.0,8192,5607.73,False,False,69.68,67.92,61.14,53.13,32.57,65.57,87.24,75.82,68.14,25.56,40.73,54.65,79.38,84.41,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2-9b (few-shot),1.92,1.74,9242.0,256.0,8193,2037.53,True,False,68.91,70.46,50.9,44.74,43.79,71.1,84.25,69.17,69.67,25.26,61.34,70.95,62.23,70.69,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
senseable/WestLake-7B-v2 (few-shot),1.93,1.83,7242.0,32.0,32768,5992.97,False,False,67.78,72.29,70.62,58.92,30.99,62.2,76.72,49.56,70.76,24.95,44.11,57.76,69.2,76.75,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
meta-llama/Llama-3.1-8B (few-shot),1.93,2.15,8030.0,128.0,131073,2363.74,True,False,66.76,68.58,69.86,62.68,30.96,61.29,84.24,71.39,67.93,22.0,52.47,64.25,43.95,57.04,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
FacebookAI/xlm-roberta-large,1.94,999.0,560.0,250.0,512,17896.69,True,False,41.97,50.33,89.81,89.25,35.55,63.79,79.18,68.88,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
google/electra-large-discriminator,1.94,999.0,335.0,31.0,512,4699.85,True,False,48.08,53.81,67.87,67.3,55.46,75.8,81.84,70.66,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"VAGOsolutions/SauerkrautLM-7b-HerO (few-shot, val)",1.95,1.77,7242.0,32.0,32768,2476.59,False,True,68.63,73.31,69.26,57.48,29.87,63.64,80.4,60.92,70.2,26.15,49.51,61.84,71.47,78.36,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",1.95,1.87,68977.0,32.0,4096,1979.03,True,False,63.76,71.14,72.8,64.88,28.37,62.85,81.8,64.7,71.04,25.68,47.0,60.12,61.56,70.27,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
microsoft/Phi-3-mini-4k-instruct (few-shot),1.98,1.66,3821.0,32.0,4096,5224.17,True,False,63.66,70.6,66.13,53.55,34.07,66.51,83.46,68.1,69.32,24.97,59.24,69.46,74.58,80.88,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
ibm-granite/granite-3.0-8b-base (few-shot),1.98,1.78,8171.0,49.0,4097,5116.13,True,False,68.88,70.64,53.37,49.01,37.17,67.71,83.72,69.02,68.38,24.5,51.0,62.95,78.18,83.3,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-v0.1 (few-shot),1.98,2.26,7242.0,32.0,32768,1445.59,True,False,68.17,70.74,63.4,56.92,30.92,63.79,84.54,73.45,69.11,23.7,47.74,60.63,34.96,49.62,9.1.2,9.1.2,9.1.2,12.5.1,11.0.0,9.2.0,9.2.0,14.0.3
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.01,2.18,3213.0,128.0,131073,10423.76,False,False,66.0,70.47,68.44,56.8,32.04,65.62,75.26,49.54,69.23,24.84,45.5,58.96,46.5,59.43,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Meta-Llama-3-8B (few-shot),2.02,2.19,8030.0,128.0,8192,1046.19,True,False,64.3,69.26,66.31,58.68,28.18,58.97,82.95,70.38,67.9,21.54,52.54,64.26,41.19,54.78,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
mistralai/Mistral-7B-v0.3 (few-shot),2.02,2.26,7248.0,33.0,32768,1364.05,True,False,67.29,70.81,61.02,55.65,30.1,62.99,84.31,73.59,69.04,23.86,47.63,60.45,35.63,49.72,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,14.0.3
alpindale/Mistral-7B-v0.2-hf (few-shot),2.02,2.26,7242.0,32.0,32768,1841.12,True,False,67.1,70.66,61.02,55.57,29.82,62.86,84.26,73.5,69.02,23.87,47.13,60.08,35.88,49.95,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
ibm-granite/granite-3.0-2b-instruct (few-shot),2.02,2.18,2634.0,49.0,4097,10193.87,True,False,67.54,66.16,61.97,54.58,31.7,65.43,78.74,59.78,68.61,24.36,39.82,54.59,57.51,67.67,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
occiglot/occiglot-7b-de-en-instruct (few-shot),2.05,2.3,7242.0,32.0,32768,1584.3,False,False,66.54,69.26,60.9,53.69,23.6,57.65,87.25,75.14,68.96,25.6,42.53,56.25,41.79,54.82,12.3.1,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
"mlabonne/NeuralBeagle14-7B (few-shot, val)",2.06,1.75,7242.0,32.0,8192,2549.38,False,True,63.85,72.4,69.16,57.28,28.4,62.7,76.37,52.69,70.55,26.32,51.74,63.44,71.96,78.87,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"gpt-4-1106-preview (zero-shot, val)",2.06,1.31,,100.0,8191,436.04,True,False,65.24,72.51,42.4,34.09,44.59,71.93,82.84,62.94,68.33,20.27,78.8,84.14,82.6,86.6,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
