model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
KennethEnevoldsen/dfm-sentence-encoder-large-2,1.76,999.0,355,50,512,6568.66,True,False,55.12,75.3,76.34,50.82,,,,,74.67,71.86,62.77,50.58,,,,58.73,86.78,83.28,70.73,59.58,71.02,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-0613 (few-shot, val)",1.84,5.24,N/A,100,8192,597.21,True,False,59.97,64.94,71.56,68.46,66.76,94.93,93.98,81.64,79.19,76.86,80.93,65.15,67.83,72.53,85.67,72.72,81.16,75.75,77.3,57.18,75.24,65.92,68.77,88.3,0.0.0,0.0.0,0.0.0,12.9.0,12.6.1,10.0.1,10.0.1,9.1.2,0.0.0,0.0.0,0.0.0,12.9.0,9.3.2,9.3.2,9.3.2,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.9.0,9.3.2,9.3.2,9.3.2,12.5.3
AI-Sweden-Models/roberta-large-1160k,1.88,999.0,355,50,512,14014.08,True,False,51.2,74.16,73.87,55.06,,,,,77.25,82.65,77.9,55.64,,,,60.11,92.01,87.17,72.85,65.56,75.42,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,12.10.0
ltg/norbert3-large,1.9,999.0,354,50,508,5048.17,True,False,48.29,73.62,71.55,53.54,,,,,75.32,79.01,69.11,54.15,,,,64.62,93.12,89.39,77.97,76.3,79.64,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
AI-Sweden-Models/roberta-large-1350k,1.91,999.0,355,50,512,5743.56,True,False,49.94,75.22,72.59,54.79,,,,,77.37,82.97,73.81,55.34,,,,58.77,92.49,87.22,76.3,64.11,75.73,,,,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,10.0.1
KennethEnevoldsen/dfm-sentence-encoder-large-1,2.04,999.0,355,50,512,6245.47,True,False,53.85,74.99,75.71,50.4,,,,,74.92,71.65,63.43,51.94,,,,59.61,86.39,83.22,67.88,62.44,70.77,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-roberta-base-scandi,2.07,999.0,278,250,512,15078.99,True,False,52.08,73.28,67.99,37.27,,,,,76.21,80.02,71.92,38.58,,,,59.98,92.24,87.58,70.18,70.81,58.3,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-roberta-base-scandi-1e4,2.08,999.0,278,250,512,15073.66,True,False,51.7,72.16,62.03,35.36,,,,,76.2,79.9,73.62,37.12,,,,59.84,92.09,86.85,73.33,71.06,57.42,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KennethEnevoldsen/dfm-sentence-encoder-medium-3,2.15,999.0,178,120,512,14050.48,True,False,47.55,71.21,68.72,43.9,,,,,71.16,81.35,63.89,42.09,,,,59.1,91.17,87.3,74.32,72.94,45.46,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-bert-base,2.15,999.0,178,120,512,14050.04,True,False,46.32,70.36,66.41,41.53,,,,,71.21,80.38,64.03,39.61,,,,60.84,93.01,88.43,73.89,72.1,45.28,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"152334H/miqu-1-70b-sf (few-shot, val)",2.16,1.23,68977,32,32764,2126.22,True,False,55.11,56.96,42.64,64.12,66.8,83.94,73.32,60.52,75.25,62.96,53.28,65.04,67.6,53.56,59.7,60.58,66.75,66.81,47.53,17.14,72.51,64.64,51.01,58.23,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
google/rembert,2.16,999.0,576,250,256,11735.9,True,False,50.19,70.19,69.72,44.44,,,,,75.99,78.23,72.17,51.05,,,,54.19,88.7,86.11,69.83,54.84,71.29,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"gpt-4-1106-preview (few-shot, val)",2.2,5.24,N/A,100,128000,575.52,True,False,61.62,66.8,66.84,68.83,66.21,95.21,97.19,78.74,77.59,74.45,71.35,66.76,66.08,71.32,84.09,62.55,77.48,78.7,74.45,56.31,73.39,63.6,70.84,86.3,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.5.3
NbAiLab/nb-sbert-base,2.21,999.0,178,120,512,17756.84,True,False,47.83,70.12,63.25,41.01,,,,,71.05,80.26,62.49,38.28,,,,60.57,90.96,87.34,72.11,70.2,40.55,,,,12.10.5,12.10.5,12.10.5,12.10.5,0.0.0,0.0.0,0.0.0,0.0.0,12.10.5,12.10.5,12.10.5,12.10.5,0.0.0,0.0.0,0.0.0,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,0.0.0,0.0.0,0.0.0,12.10.5
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),2.21,1.16,8030,128,8192,4314.43,False,False,54.96,58.6,70.55,65.86,66.99,80.95,76.88,73.73,81.73,88.78,75.83,65.9,66.96,41.07,75.73,38.52,85.07,81.43,0.0,0.0,66.67,65.02,41.57,72.25,12.10.4,13.0.0,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4
danish-foundation-models/encoder-large-v1,2.29,999.0,355,50,512,6670.77,True,False,51.42,74.6,76.11,53.06,,,,,75.11,74.18,64.11,52.4,,,,55.59,88.66,84.59,71.43,53.3,72.48,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
intfloat/multilingual-e5-large,2.31,999.0,560,250,512,6731.95,True,False,55.07,69.5,57.67,52.84,,,,,79.65,80.36,63.15,53.49,,,,61.52,89.86,84.32,62.34,34.88,70.46,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
ltg/norbert3-base,2.38,999.0,124,50,508,11405.28,True,False,43.94,73.26,51.62,45.68,,,,,71.05,78.21,56.02,47.31,,,,59.73,92.36,88.49,74.4,68.85,72.51,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
FacebookAI/xlm-roberta-large,2.39,999.0,560,250,512,17896.69,True,False,48.33,72.74,57.3,49.29,,,,,76.63,80.33,49.72,52.21,,,,50.25,91.66,86.19,55.51,43.89,72.69,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
"meta-llama/Meta-Llama-3-70B (few-shot, val)",2.45,5.24,70554,128,8192,311.65,True,False,60.19,63.62,50.07,66.71,67.33,83.94,78.83,60.69,78.61,74.61,63.2,66.85,67.6,61.55,66.21,66.74,75.31,75.94,59.82,47.56,82.3,65.78,62.45,65.29,12.6.1,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"gpt-4o-2024-05-13 (few-shot, val)",2.46,5.24,N/A,200,128000,916.47,True,False,49.42,71.15,64.59,67.87,66.03,96.41,97.68,85.96,77.16,76.66,68.99,67.71,66.0,70.7,86.3,66.66,79.07,81.56,64.53,54.7,74.52,63.25,73.81,89.91,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.2,12.10.0,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0,12.10.0,12.10.2,12.10.2,12.10.0
google/gemma-2-27b-it (few-shot),2.52,5.24,27227,256,8193,1516.14,True,False,59.06,59.94,58.57,65.6,68.12,85.2,84.02,71.26,80.73,62.59,61.37,66.73,65.54,58.15,68.94,67.14,67.35,66.61,64.66,52.49,73.41,66.24,58.34,70.87,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,2.54,999.0,369,64,512,6570.9,True,False,41.53,67.4,41.62,42.46,,,,,77.43,80.65,76.56,46.79,,,,47.11,87.5,80.57,52.62,25.06,50.51,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-2-9b-it (few-shot),2.63,5.24,9242,256,8193,2062.05,True,False,52.26,49.05,58.38,64.41,67.67,80.62,75.37,66.17,78.51,52.5,61.28,64.6,66.3,51.58,66.61,61.06,61.82,60.41,62.46,52.99,70.14,65.94,49.45,67.96,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
gpt-3.5-turbo-0613 (few-shot),2.65,999.0,N/A,100,4096,837.06,True,False,51.8,59.4,54.22,65.84,,82.18,79.12,,77.5,71.43,55.99,64.95,,,,57.64,74.92,75.34,49.93,34.22,71.71,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,10.0.1,10.0.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.3
facebook/xlm-v-base,2.66,999.0,778,902,512,25396.22,True,False,31.86,71.42,52.95,40.58,,,,,73.43,68.39,45.09,43.73,,,,17.93,89.99,78.6,43.46,10.97,59.8,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
AI-Nordics/bert-large-swedish-cased,2.66,999.0,335,31,512,7199.47,True,False,38.46,60.66,32.29,43.21,,,,,77.47,78.61,72.87,49.29,,,,38.44,83.32,77.97,37.54,23.1,51.67,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-large-swedish-cased-165k,2.67,999.0,370,64,512,7137.91,True,False,41.02,58.5,27.1,45.72,,,,,78.0,81.05,76.79,51.7,,,,39.53,85.99,79.47,27.39,23.56,51.83,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-3.5-turbo-0613 (few-shot, val)",2.67,5.24,N/A,100,4095,920.94,True,False,52.52,61.31,57.63,65.51,66.38,81.95,77.66,62.21,72.77,73.04,58.06,66.84,66.92,40.73,50.51,58.88,77.7,73.92,54.29,32.82,73.47,64.18,40.26,59.02,12.9.0,12.9.0,12.9.0,12.9.0,12.6.1,10.0.1,10.0.1,12.9.0,0.0.0,0.0.0,0.0.0,12.9.0,11.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.9.0,11.0.0,0.0.0,0.0.0,12.5.3
cardiffnlp/twitter-xlm-roberta-base,2.7,999.0,278,250,512,34475.2,True,False,45.3,70.1,51.74,27.76,,,,,70.69,72.49,56.6,37.63,,,,48.34,87.7,81.41,55.3,37.46,35.93,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
intfloat/multilingual-e5-large-instruct,2.7,999.0,560,250,514,5947.27,True,False,55.45,69.86,31.14,52.75,,,,,79.48,79.5,53.01,53.19,,,,63.35,89.27,83.78,55.71,12.32,58.52,,,,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,0.0.0,0.0.0,13.0.0
KB/bert-base-swedish-cased,2.71,999.0,125,50,512,16181.26,True,False,33.28,61.74,33.15,33.03,,,,,75.58,81.95,78.86,43.79,,,,38.7,85.91,79.67,39.13,24.13,27.73,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
KBLab/megatron-bert-large-swedish-cased-110k,2.72,999.0,370,64,512,7074.64,True,False,39.2,60.18,26.68,44.87,,,,,78.45,80.39,76.28,50.85,,,,39.15,84.03,77.98,21.39,17.1,47.41,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"RJuro/munin-neuralbeagle-7b (few-shot, val)",2.72,4.2,7242,32,32768,2492.75,False,True,54.91,51.44,22.77,64.01,68.06,74.24,70.86,41.49,77.13,62.96,15.73,65.06,67.58,32.54,34.94,55.61,61.18,65.16,20.84,9.12,69.13,65.99,27.77,39.67,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
"meta-llama/Llama-2-70b-hf (few-shot, val)",2.73,5.24,68977,32,4096,1891.65,True,False,53.24,58.06,39.71,67.47,67.39,84.43,71.35,54.31,75.46,64.76,43.27,66.95,68.43,46.16,50.41,59.68,62.46,64.68,27.34,3.95,78.69,66.09,43.88,53.85,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
KBLab/bert-base-swedish-cased,2.73,999.0,125,50,512,16164.04,True,False,33.31,61.74,33.35,33.03,,,,,75.73,81.23,78.6,43.79,,,,38.17,85.33,79.44,39.49,22.17,27.73,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",2.73,5.24,70554,128,8192,1672.52,True,False,53.09,63.1,40.98,63.12,67.76,85.18,79.22,70.19,53.56,77.06,47.5,60.96,68.25,61.31,66.73,59.29,80.5,76.47,47.28,32.76,71.6,65.7,63.58,63.41,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
google/gemma-2-9b (few-shot),2.74,5.24,9242,256,8193,2037.53,True,False,38.84,44.16,43.42,66.24,67.46,81.68,77.77,50.04,80.55,50.43,50.86,65.35,65.63,52.06,49.8,62.54,54.08,54.33,50.88,41.01,72.99,65.67,50.81,53.37,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Geotrend/bert-base-en-fr-de-no-da-cased,2.78,999.0,118,42,512,13972.84,True,False,34.78,63.38,41.08,44.89,,,,,61.6,76.55,37.44,43.87,,,,35.34,88.05,83.08,31.45,36.12,54.67,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/mdeberta-v3-base,2.78,999.0,279,251,512,20637.23,True,False,43.38,72.9,67.05,47.97,,,,,75.24,78.84,72.3,50.62,,,,53.69,91.9,86.81,70.55,61.21,63.72,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
bineric/NorskGPT-Llama3-8b (few-shot),2.78,5.24,8030,128,8192,3694.76,False,False,42.13,51.4,3.91,66.28,66.7,65.15,57.36,44.55,76.06,63.19,5.34,66.0,66.25,36.23,43.6,48.4,66.94,67.69,24.26,18.43,74.57,65.84,33.55,47.32,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
meta-llama/Llama-3.1-8B (few-shot),2.79,5.24,8030,128,131073,2363.74,True,False,49.71,47.68,25.48,65.79,64.74,57.6,65.98,28.65,79.96,63.85,31.7,65.24,65.07,37.48,31.27,52.87,64.62,65.1,28.34,22.4,75.98,63.88,35.8,30.31,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,12.11.0,12.11.0,12.11.0,12.11.0,12.11.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.1
KBLab/megatron-bert-base-swedish-cased-600k,2.79,999.0,135,64,512,15725.82,True,False,39.4,57.97,23.5,36.99,,,,,76.09,78.91,70.08,47.18,,,,40.2,82.2,76.64,24.45,19.18,42.59,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/bert-base-en-no-cased,2.79,999.0,111,33,512,14080.79,True,False,33.91,62.66,40.96,44.63,,,,,61.8,75.33,36.62,44.71,,,,34.97,89.07,82.69,39.58,31.27,55.17,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.8,5.24,8030,128,131073,1042.12,True,False,51.3,57.19,10.31,60.46,67.38,61.78,66.61,39.62,80.46,71.52,12.29,62.08,66.27,39.4,38.88,57.3,74.77,72.8,5.23,11.51,70.96,66.08,38.1,39.3,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,14.0.2
Geotrend/bert-base-25lang-cased,2.81,999.0,151,85,512,13908.28,True,False,32.88,62.53,29.01,44.11,,,,,62.5,75.62,38.18,45.91,,,,36.21,87.99,83.1,46.43,39.82,53.12,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
four-two-labs/orpo-llama-3-swe (few-shot),2.81,5.24,8030,128,8192,4974.22,False,False,51.73,46.75,24.73,65.74,65.21,55.72,61.59,25.43,79.74,60.93,26.02,65.92,64.99,36.35,27.22,48.85,61.63,61.3,24.15,21.33,75.19,63.67,33.52,26.04,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
Geotrend/bert-base-en-da-cased,2.84,999.0,111,33,512,14061.58,True,False,33.67,62.57,35.79,43.26,,,,,61.89,74.88,40.22,44.78,,,,35.16,88.55,83.09,31.82,32.94,52.33,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4o-mini-2024-07-18 (few-shot, val)",2.84,5.24,N/A,200,8191,784.26,True,False,56.91,59.96,67.13,33.63,65.32,91.7,88.38,71.08,77.69,62.45,68.93,31.14,66.04,55.8,63.61,67.45,72.74,69.17,74.27,54.83,43.45,63.0,59.93,76.01,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
