model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,mmlu_no,hellaswag_no,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,speed_version
pere/roberta-base-exp-32B,4.07,999.0,278,250,512,15102.57,True,False,47.83,71.81,54.99,34.74,,,,,73.27,77.97,47.19,36.17,,,,52.19,90.6,86.76,54.98,58.33,41.75,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"mlabonne/AlphaMonarch-7B (few-shot, val)",4.07,5.24,7242,32,8192,5340.04,False,True,49.11,52.72,16.09,56.13,66.62,60.03,59.83,40.4,67.03,60.53,15.1,53.5,67.94,27.51,42.29,48.8,61.9,66.92,19.53,9.83,62.04,64.72,28.18,36.2,12.5.2,12.5.2,12.5.2,12.5.2,12.6.1,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),4.08,5.25,7242,32,32768,5053.68,True,False,47.82,42.43,16.51,62.2,65.43,50.76,50.82,14.47,80.14,44.14,34.23,62.52,65.15,33.24,25.5,49.05,48.97,51.52,14.37,9.96,68.49,63.32,25.07,15.56,12.5.3,12.5.3,12.5.3,12.5.3,12.6.1,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
microsoft/infoxlm-base,4.08,999.0,278,250,512,34735.22,True,False,46.78,69.78,11.27,33.33,,,,,71.48,79.43,7.26,38.23,,,,44.42,90.14,84.12,11.2,7.12,62.39,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.7.0
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),4.1,5.24,7242,32,32768,2517.83,False,False,47.58,46.11,18.41,60.8,65.65,41.77,35.86,11.59,55.84,54.38,16.05,61.85,64.9,22.36,12.52,38.81,57.01,56.77,14.16,9.29,59.21,62.13,17.08,10.52,9.2.0,9.2.0,9.2.0,12.4.0,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0,9.2.0,9.2.0,12.4.0,12.4.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,9.2.0,12.4.0,12.4.0,9.2.0,9.2.0,9.2.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),4.11,5.24,7242,32,32768,633.64,False,False,44.49,37.93,14.09,58.78,65.8,45.07,35.36,14.85,73.33,45.01,11.59,59.29,63.1,24.03,15.37,43.65,50.08,51.27,14.09,8.28,63.67,62.39,20.44,15.87,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0
utter-project/EuroLLM-9B-Instruct (few-shot),4.12,5.25,9152,128,4096,5762.51,False,False,53.97,34.0,32.21,63.73,67.55,80.75,74.77,36.86,76.02,40.59,33.98,63.97,66.33,40.09,36.27,52.62,40.91,42.91,9.7,11.98,72.71,65.77,36.97,37.64,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
occiglot/occiglot-7b-eu5-instruct (few-shot),4.13,5.24,7242,32,32768,2087.8,False,False,42.31,40.19,1.14,63.95,66.68,44.3,48.76,15.44,71.73,47.67,7.9,64.48,65.07,25.52,14.06,44.46,45.5,45.96,0.0,0.0,74.97,63.95,20.61,16.18,12.2.0,12.5.2,12.3.1,12.4.0,12.6.1,12.3.1,12.3.1,12.3.1,12.2.0,12.5.2,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.2.0,12.5.2,12.5.2,12.3.1,12.3.1,12.4.0,12.4.0,12.3.1,12.3.1,12.3.1
norallm/normistral-7b-warm-instruct (few-shot),4.14,5.24,N/A,33,2048,6193.5,True,False,47.48,39.83,4.55,57.45,66.17,10.83,14.66,2.71,63.64,51.45,5.8,57.09,62.18,4.88,4.63,37.98,46.49,51.46,7.86,7.23,59.27,64.52,5.22,9.32,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
occiglot/occiglot-7b-eu5 (few-shot),4.14,5.24,7242,32,32768,2219.46,True,False,44.62,37.93,0.28,62.89,66.05,38.54,45.89,12.38,76.56,49.02,2.18,63.65,64.42,23.68,14.05,44.95,45.28,46.0,0.0,0.0,66.65,63.26,20.87,13.1,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.2.0,12.1.0,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,12.1.0,12.5.2,12.5.2,12.1.0,12.1.0,12.1.0,12.1.0,12.1.0,12.2.0,12.2.0
