generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
🔍,<a href='https://huggingface.co/danish-foundation-models/encoder-medium-v1'>danish-foundation-models/encoder-medium-v1</a>,2.81@@2.81,2.40@@2.40,2.99@@2.99,3.05@@3.05,110619651.0,32000.0,512.0,✓,✗,39.91 ± 1.78 / 58.47 ± 2.16@@39.907137026177686,63.42 ± 1.89 / 58.69 ± 2.54@@63.42064814894688,51.01 ± 10.50 / 74.54 ± 5.83@@51.01397764155821,31.49 ± 1.94 / 25.76 ± 2.11@@31.49013989805254,36.56 ± 1.53 / 51.54 ± 2.45@@36.55807097099616,68.66 ± 1.05 / 65.08 ± 1.07@@68.65797356255929,61.77 ± 2.03 / 57.87 ± 2.08@@61.76817731291604,31.23 ± 6.86 / 63.55 ± 5.48@@31.225876247515828,5.40 ± 4.63 / 44.64 ± 6.37@@5.403525694013869,34.52 ± 1.15 / 22.56 ± 0.95@@34.51755519385148,58.70 ± 2.54 / 58.15 ± 3.35@@58.69915743001456,49.62 ± 2.01 / 46.05 ± 2.11@@49.615466730211494,2.23 ± 2.12 / 46.43 ± 4.85@@2.2299719313455633,30.80 ± 0.81 / 25.45 ± 0.75@@30.799416444023592,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,2.81@@2.81,2.83@@2.83,2.97@@2.97,2.63@@2.63,21944195.0,96105.0,128.0,✓,✗,40.54 ± 1.23 / 60.37 ± 0.98@@40.53915250999037,61.47 ± 2.67 / 57.02 ± 2.06@@61.47013671937756,25.25 ± 11.39 / 59.16 ± 8.11@@25.248334236327096,21.56 ± 1.91 / 18.53 ± 1.56@@21.56475633019735,42.08 ± 1.34 / 51.74 ± 3.61@@42.08387224475196,83.78 ± 1.46 / 84.27 ± 1.06@@83.78024868834892,78.51 ± 1.30 / 80.95 ± 1.05@@78.50628667884808,28.90 ± 12.16 / 58.57 ± 8.12@@28.89744288772973,14.69 ± 7.27 / 52.36 ± 6.90@@14.690045020433514,3.41 ± 3.62 / 2.56 ± 2.58@@3.406546409694927,66.29 ± 1.24 / 63.15 ± 2.95@@66.28593861438188,70.41 ± 1.79 / 70.54 ± 1.53@@70.40603090198846,29.61 ± 10.36 / 62.97 ± 5.40@@29.61416493637471,16.24 ± 4.17 / 14.25 ± 3.62@@16.237534796333016,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
🧠,<a href='https://huggingface.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B (few-shot)</a>,2.81@@2.81,3.17@@3.17,3.08@@3.08,2.18@@2.18,13716198400.0,100352.0,4096.0,✓,✗,17.43 ± 2.50 / 26.76 ± 2.05@@17.430285764601397,41.47 ± 0.58 / 29.16 ± 2.23@@41.474435725604984,4.29 ± 2.56 / 36.22 ± 2.68@@4.29269712643003,64.40 ± 0.55 / 58.49 ± 0.53@@64.39538811703702,29.49 ± 0.82 / 36.81 ± 0.39@@29.485171509034082,57.07 ± 1.88 / 47.86 ± 3.83@@57.0711408718244,52.69 ± 2.68 / 45.59 ± 2.43@@52.69040755320705,0.78 ± 1.01 / 33.40 ± 0.27@@0.7812600404354131,0.00 ± 0.00 / 32.97 ± 0.25@@0.0,72.21 ± 1.87 / 48.38 ± 2.72@@72.21226778108756,79.09 ± 1.05 / 74.67 ± 2.62@@79.09382273352537,53.50 ± 2.54 / 41.03 ± 4.75@@53.49828335079998,11.89 ± 2.82 / 46.76 ± 4.16@@11.893218094555474,64.13 ± 0.49 / 57.94 ± 0.54@@64.12754835085858,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
📝,<a href='https://huggingface.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct (few-shot)</a>,2.83@@2.83,2.85@@2.85,3.07@@3.07,2.57@@2.57,3821079552.0,32064.0,4096.0,✓,✗,42.60 ± 1.06 / 61.52 ± 0.75@@42.598257553600746,41.37 ± 2.50 / 24.64 ± 2.50@@41.373630718412464,6.52 ± 1.34 / 45.01 ± 2.64@@6.519271048417144,57.75 ± 0.64 / 50.57 ± 1.03@@57.75074479431803,37.18 ± 1.30 / 55.44 ± 1.46@@37.17736308217597,56.33 ± 1.63 / 36.68 ± 3.27@@56.32711642666093,54.68 ± 1.29 / 37.85 ± 3.79@@54.68466927971127,6.76 ± 2.81 / 41.69 ± 2.82@@6.757813113678764,6.79 ± 1.51 / 45.45 ± 3.51@@6.7873138024975646,52.56 ± 2.38 / 30.11 ± 2.09@@52.55847694986538,67.17 ± 1.93 / 70.99 ± 1.64@@67.17263896110153,46.15 ± 2.77 / 24.28 ± 3.74@@46.15463325974514,5.30 ± 1.62 / 47.01 ± 3.23@@5.299821304564861,57.49 ± 0.81 / 51.12 ± 1.02@@57.48925970855386,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
🔍,<a href='https://huggingface.co/jonfd/electra-small-nordic'>jonfd/electra-small-nordic</a>,2.83@@2.83,2.59@@2.59,3.63@@3.63,2.26@@2.26,21944195.0,96105.0,128.0,✓,✗,34.43 ± 4.13 / 51.90 ± 6.17@@34.42673891256402,65.40 ± 2.02 / 60.53 ± 1.65@@65.40252649764324,67.27 ± 1.04 / 83.37 ± 0.64@@67.26979324608654,7.09 ± 3.29 / 6.60 ± 2.98@@7.086473465794067,15.88 ± 6.31 / 30.75 ± 4.87@@15.883866007518247,14.20 ± 11.86 / 14.72 ± 12.38@@14.199715806241544,23.63 ± 11.97 / 24.36 ± 12.74@@23.62714055620187,65.36 ± 1.61 / 81.17 ± 0.84@@65.36368216539621,54.95 ± 1.03 / 76.22 ± 0.53@@54.9536583862003,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,66.42 ± 0.72 / 57.57 ± 1.23@@66.41765279523581,71.07 ± 1.59 / 65.46 ± 1.28@@71.06723132387486,69.19 ± 0.66 / 84.26 ± 0.36@@69.18636764018856,13.02 ± 5.55 / 11.85 ± 4.94@@13.023487980332305,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🧠,<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B (few-shot)</a>,2.83@@2.83,2.88@@2.88,3.06@@3.06,2.57@@2.57,7536586752.0,67993.0,4096.0,✓,✗,48.39 ± 0.66 / 64.51 ± 1.38@@48.38961494472434,21.47 ± 3.87 / 16.98 ± 3.19@@21.471078773493367,12.46 ± 2.22 / 52.33 ± 3.21@@12.46192732048093,58.49 ± 1.58 / 52.51 ± 1.57@@58.490508062443304,49.00 ± 3.88 / 65.98 ± 2.95@@49.00158064857729,21.09 ± 6.44 / 20.45 ± 2.65@@21.0894961650699,26.31 ± 4.64 / 26.42 ± 2.98@@26.310542027871676,7.15 ± 2.14 / 40.83 ± 3.95@@7.1495869106174865,7.98 ± 2.64 / 45.21 ± 4.95@@7.977124333180504,68.04 ± 5.37 / 47.70 ± 5.32@@68.04214510030667,80.26 ± 0.89 / 77.89 ± 0.89@@80.2578441281419,23.88 ± 7.28 / 17.99 ± 3.56@@23.877135495507385,13.50 ± 2.27 / 52.55 ± 2.86@@13.50301758102417,60.74 ± 0.89 / 55.02 ± 0.96@@60.73874609815367,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
📝,<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2-instruct'>timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot)</a>,2.84@@2.84,2.87@@2.87,3.41@@3.41,2.26@@2.26,7241732096.0,32000.0,32768.0,✓,✗,40.65 ± 2.10 / 57.47 ± 2.56@@40.64663894649693,37.02 ± 5.66 / 27.64 ± 3.92@@37.015602964525726,7.48 ± 2.51 / 46.56 ± 4.52@@7.482169238641282,59.07 ± 0.65 / 52.71 ± 0.70@@59.072573727404986,32.19 ± 2.52 / 43.19 ± 4.63@@32.190166889382915,50.34 ± 3.17 / 45.09 ± 2.65@@50.342007075908626,52.06 ± 2.41 / 46.88 ± 2.39@@52.05966259850763,-0.22 ± 0.43 / 33.41 ± 0.30@@-0.21887682828821772,0.00 ± 0.00 / 33.86 ± 0.33@@0.0,40.19 ± 1.13 / 20.57 ± 0.64@@40.18826168590614,77.06 ± 1.82 / 79.02 ± 1.37@@77.064971244647,46.74 ± 4.30 / 33.57 ± 4.51@@46.73653761230197,14.00 ± 1.59 / 53.89 ± 3.10@@14.002537573191947,63.45 ± 0.49 / 56.74 ± 0.52@@63.44935301027273,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.4.0@@120400,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.4.0@@120400,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.4.0@@120400
🔍,<a href='https://huggingface.co/Maltehb/danish-bert-botxo'>Maltehb/danish-bert-botxo</a>,2.84@@2.84,2.32@@2.32,3.17@@3.17,3.03@@3.03,110619651.0,32000.0,512.0,✓,✗,43.79 ± 1.76 / 62.26 ± 1.35@@43.789729129520644,66.71 ± 1.80 / 61.55 ± 1.75@@66.71032508167183,45.96 ± 2.91 / 69.62 ± 1.72@@45.96271651497087,32.91 ± 2.60 / 26.29 ± 2.34@@32.913282034753365,40.65 ± 1.63 / 55.20 ± 2.63@@40.64755539853451,72.62 ± 0.81 / 69.33 ± 0.93@@72.62288400666655,58.73 ± 1.81 / 55.12 ± 1.67@@58.731663198363826,29.47 ± 2.30 / 62.25 ± 1.69@@29.46781938869681,12.95 ± 3.01 / 55.31 ± 1.87@@12.954818301923563,2.56 ± 2.15 / 0.91 ± 0.93@@2.564763684978275,57.42 ± 1.88 / 56.53 ± 1.66@@57.416066196442536,50.29 ± 1.22 / 47.15 ± 1.18@@50.29446719346793,4.94 ± 1.62 / 51.57 ± 1.19@@4.944586850093042,30.28 ± 1.18 / 24.16 ± 1.28@@30.278493774920342,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,2.87@@2.87,2.71@@2.71,3.15@@3.15,2.76@@2.76,124647939.0,50265.0,512.0,✓,✗,43.90 ± 1.50 / 62.31 ± 0.96@@43.90127905758495,63.84 ± 1.73 / 59.85 ± 1.44@@63.844379874078406,17.16 ± 13.94 / 56.47 ± 7.34@@17.159354302939754,31.50 ± 1.03 / 26.94 ± 1.16@@31.502256025790114,32.29 ± 9.23 / 49.08 ± 8.36@@32.28845820052227,76.14 ± 2.58 / 72.24 ± 2.54@@76.14344332091049,72.88 ± 1.50 / 68.61 ± 1.62@@72.88205653795985,0.45 ± 1.61 / 49.14 ± 1.42@@0.4452113965013419,-0.08 ± 1.79 / 45.89 ± 3.49@@-0.08284001274206897,36.47 ± 2.77 / 23.91 ± 2.24@@36.47247338753466,64.02 ± 2.78 / 62.27 ± 4.19@@64.02264977387271,65.95 ± 1.70 / 60.53 ± 1.38@@65.95414464542243,0.80 ± 0.78 / 47.24 ± 3.43@@0.8023623184386779,33.13 ± 0.88 / 28.46 ± 0.90@@33.13322966729852,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
📝,<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,2.87@@2.87,2.86@@2.86,3.02@@3.02,2.74@@2.74,8414105600.0,131072.0,8192.0,✓,✗,47.95 ± 1.37 / 64.82 ± 0.89@@47.95204919534145,49.01 ± 1.94 / 29.13 ± 2.09@@49.008430203559236,32.89 ± 1.40 / 66.18 ± 0.64@@32.889801464770756,17.81 ± 0.42 / 0.00 ± 0.00@@17.805638360757523,34.35 ± 0.92 / 37.57 ± 0.55@@34.35067657555319,63.70 ± 0.98 / 39.82 ± 2.02@@63.69557648347908,62.53 ± 1.64 / 40.20 ± 2.22@@62.529659879082075,31.53 ± 1.91 / 64.14 ± 1.52@@31.525353902380193,22.71 ± 2.23 / 57.77 ± 2.48@@22.70687113418457,26.09 ± 1.72 / 0.06 ± 0.04@@26.09162741888564,78.68 ± 0.89 / 78.07 ± 0.97@@78.6785890526025,48.51 ± 1.91 / 24.61 ± 1.44@@48.514007550454444,29.18 ± 2.29 / 63.69 ± 1.55@@29.17973094396271,16.78 ± 0.35 / 0.00 ± 0.00@@16.784517862315344,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
🧠,<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b'>AI-Sweden-Models/gpt-sw3-40b (few-shot)</a>,2.87@@2.87,2.84@@2.84,3.28@@3.28,2.50@@2.50,39926513664.0,64000.0,2048.0,✓,✗,47.81 ± 1.32 / 64.26 ± 1.28@@47.81192725681386,26.57 ± 5.22 / 17.35 ± 2.79@@26.565099726991402,11.13 ± 2.06 / 51.34 ± 3.02@@11.130953199220237,60.13 ± 0.69 / 53.78 ± 0.70@@60.13219931195097,31.05 ± 7.03 / 45.69 ± 8.29@@31.05262683544924,24.07 ± 5.59 / 19.09 ± 2.55@@24.07168569768483,26.67 ± 6.24 / 21.18 ± 2.80@@26.667367646405438,10.80 ± 1.96 / 52.29 ± 2.55@@10.79816428085952,8.89 ± 2.52 / 47.62 ± 4.31@@8.892878649266702,71.66 ± 3.34 / 48.78 ± 3.64@@71.65927531589722,80.44 ± 0.54 / 77.81 ± 1.18@@80.4388078761186,32.00 ± 3.27 / 17.02 ± 2.03@@31.998615105971712,10.73 ± 2.53 / 51.37 ± 4.05@@10.731693939376466,60.53 ± 0.78 / 53.80 ± 0.86@@60.52651798674945,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
🔍,<a href='https://huggingface.co/birgermoell/roberta-swedish-scandi'>birgermoell/roberta-swedish-scandi</a>,2.88@@2.88,3.17@@3.17,3.40@@3.40,2.08@@2.08,124647939.0,50265.0,512.0,✓,✗,33.51 ± 1.46 / 54.93 ± 1.21@@33.51471540546126,49.22 ± 1.85 / 47.83 ± 1.59@@49.21617711769935,12.08 ± 8.71 / 54.24 ± 4.71@@12.079024095265005,28.88 ± 1.71 / 24.49 ± 1.67@@28.878197593060786,29.68 ± 1.91 / 43.64 ± 2.18@@29.67918170877251,72.74 ± 2.03 / 69.79 ± 2.34@@72.73654235546364,69.74 ± 1.81 / 65.59 ± 2.06@@69.73995738597768,15.83 ± 10.06 / 55.51 ± 5.25@@15.830736552470784,8.70 ± 4.78 / 52.69 ± 2.75@@8.69772913903083,1.93 ± 2.12 / 1.04 ± 1.17@@1.930602712735611,69.96 ± 1.75 / 68.67 ± 3.21@@69.95841519031679,68.55 ± 3.16 / 62.00 ± 2.58@@68.54986517931242,52.88 ± 14.23 / 75.25 ± 7.45@@52.87553445625346,32.49 ± 1.27 / 27.99 ± 1.23@@32.48968955495764,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/ltg/norbert3-xs'>ltg/norbert3-xs</a>,2.88@@2.88,3.05@@3.05,2.68@@2.68,2.89@@2.89,14972355.0,50000.0,508.0,✓,✗,39.16 ± 1.75 / 58.91 ± 1.21@@39.1641313374263,59.94 ± 2.06 / 58.86 ± 1.85@@59.93528223640385,2.16 ± 1.61 / 48.93 ± 2.35@@2.160490638049111,28.57 ± 1.42 / 24.69 ± 1.58@@28.574276266903116,49.92 ± 1.44 / 63.75 ± 1.45@@49.922047770095105,87.63 ± 0.64 / 84.17 ± 0.81@@87.62631383523116,80.19 ± 2.00 / 75.70 ± 2.31@@80.1875138226453,7.93 ± 4.24 / 50.87 ± 2.29@@7.926831274511883,5.06 ± 0.83 / 51.44 ± 1.05@@5.061934216103568,34.67 ± 8.87 / 22.46 ± 5.97@@34.66582303345716,59.27 ± 2.14 / 55.26 ± 1.73@@59.26509257201551,67.53 ± 1.66 / 62.96 ± 1.62@@67.52817885482096,2.83 ± 2.01 / 49.25 ± 1.48@@2.8302625685865856,27.79 ± 2.63 / 24.11 ± 2.76@@27.788466446285717,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/microsoft/infoxlm-base'>microsoft/infoxlm-base</a>,2.89@@2.89,2.62@@2.62,3.70@@3.70,2.36@@2.36,278045955.0,250002.0,512.0,✓,✗,46.78 ± 1.57 / 64.46 ± 1.17@@46.78029685773307,69.78 ± 1.59 / 65.83 ± 2.08@@69.77507638476497,11.27 ± 2.21 / 51.47 ± 2.07@@11.267791797872984,33.33 ± 4.10 / 28.28 ± 4.63@@33.33297361142694,18.06 ± 12.33 / 33.00 ± 7.87@@18.059959584965963,81.60 ± 1.77 / 83.89 ± 1.50@@81.59783323439436,78.80 ± 0.38 / 81.73 ± 0.45@@78.8044422671137,1.15 ± 2.73 / 44.68 ± 4.44@@1.1527021481625626,-1.15 ± 2.22 / 43.36 ± 4.11@@-1.1512436977162173,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,71.48 ± 2.63 / 65.72 ± 4.78@@71.47848646168381,79.43 ± 1.07 / 74.17 ± 1.10@@79.43430462633805,7.26 ± 2.18 / 45.42 ± 4.53@@7.255962308991748,38.23 ± 1.57 / 33.72 ± 1.71@@38.22771407712508,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/Addedk/mbert-swedish-distilled-cased'>Addedk/mbert-swedish-distilled-cased</a>,2.89@@2.89,3.12@@3.12,3.05@@3.05,2.49@@2.49,135328515.0,119547.0,512.0,✓,✗,31.16 ± 2.06 / 52.25 ± 2.48@@31.155336610163705,56.36 ± 1.95 / 53.98 ± 1.92@@56.35747436273738,21.08 ± 2.54 / 56.96 ± 2.74@@21.078654108207544,23.61 ± 2.07 / 19.63 ± 2.13@@23.612821963786825,30.38 ± 2.29 / 42.84 ± 2.38@@30.375276442296812,82.98 ± 1.32 / 79.80 ± 1.69@@82.97920156596858,76.65 ± 1.24 / 72.29 ± 1.44@@76.65209126071231,21.99 ± 6.74 / 54.54 ± 7.12@@21.985428067299978,19.06 ± 4.26 / 56.45 ± 5.24@@19.06320161122429,15.24 ± 8.64 / 9.47 ± 5.36@@15.242997661684281,62.10 ± 1.18 / 60.27 ± 2.82@@62.09777153012992,73.41 ± 1.54 / 66.98 ± 1.68@@73.41169419068788,34.86 ± 1.29 / 66.98 ± 0.77@@34.85503799049918,21.09 ± 3.18 / 18.10 ± 2.67@@21.089522871056275,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🧠,<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b (few-shot)</a>,2.89@@2.89,3.05@@3.05,3.08@@3.08,2.52@@2.52,20918423552.0,64000.0,2048.0,✓,✗,33.08 ± 4.83 / 44.20 ± 5.71@@33.0807953349296,27.71 ± 2.95 / 18.26 ± 1.89@@27.7133933935882,12.35 ± 2.37 / 48.32 ± 4.86@@12.346608923942197,60.16 ± 0.52 / 53.38 ± 0.71@@60.156048616763925,34.75 ± 1.68 / 43.12 ± 2.35@@34.747878470919055,39.29 ± 3.14 / 30.53 ± 2.28@@39.285495834118656,36.01 ± 2.76 / 30.60 ± 1.97@@36.01152785137268,13.86 ± 3.09 / 50.46 ± 4.53@@13.85660974602421,12.32 ± 2.38 / 49.73 ± 4.79@@12.319344805067065,65.28 ± 3.34 / 42.63 ± 3.67@@65.27971518466939,79.12 ± 1.56 / 79.29 ± 1.53@@79.12356773481687,30.44 ± 3.18 / 20.24 ± 2.36@@30.43840998339478,12.09 ± 3.01 / 48.66 ± 3.76@@12.094738940488178,59.95 ± 0.62 / 53.32 ± 0.72@@59.948289237099345,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
🔍,<a href='https://huggingface.co/sarnikowski/electra-small-discriminator-da-256-cased'>sarnikowski/electra-small-discriminator-da-256-cased</a>,2.89@@2.89,2.58@@2.58,3.15@@3.15,2.94@@2.94,13354115.0,28995.0,512.0,✓,✗,24.38 ± 1.74 / 40.85 ± 3.07@@24.38385390889007,60.63 ± 1.32 / 56.90 ± 1.49@@60.62910374272571,68.58 ± 1.38 / 84.12 ± 0.69@@68.58318611345044,27.53 ± 0.88 / 21.03 ± 1.09@@27.533168644731056,29.97 ± 0.99 / 42.12 ± 0.47@@29.966442772837876,73.15 ± 1.21 / 70.05 ± 1.16@@73.14901995121927,66.34 ± 1.25 / 62.07 ± 1.31@@66.33778708578252,40.79 ± 2.06 / 69.48 ± 1.44@@40.79254112463984,25.08 ± 1.86 / 61.74 ± 0.81@@25.07911368337667,3.62 ± 3.99 / 1.93 ± 2.05@@3.6178136274624983,57.93 ± 1.56 / 53.71 ± 0.61@@57.9276482402441,52.79 ± 1.21 / 48.47 ± 0.71@@52.79247978591235,14.72 ± 2.01 / 55.92 ± 1.11@@14.722011070332227,26.37 ± 0.75 / 20.54 ± 0.97@@26.372726690951993,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
📝,<a href='https://huggingface.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat (few-shot)</a>,2.89@@2.89,2.87@@2.87,3.15@@3.15,2.66@@2.66,3950369280.0,151936.0,32768.0,✗,✗,42.04 ± 1.42 / 60.76 ± 1.41@@42.038961134882314,35.96 ± 2.61 / 28.58 ± 2.58@@35.95587069587734,8.65 ± 1.52 / 49.56 ± 3.60@@8.649975795750278,59.73 ± 0.86 / 53.68 ± 0.94@@59.72676927573254,32.70 ± 1.59 / 45.73 ± 2.82@@32.700467367576216,44.83 ± 1.58 / 40.11 ± 2.00@@44.82674371684558,46.29 ± 1.65 / 41.63 ± 3.45@@46.288355884504654,3.57 ± 1.55 / 37.05 ± 2.34@@3.5719227886204,1.61 ± 2.11 / 37.85 ± 3.99@@1.6058656209806288,67.11 ± 2.50 / 42.55 ± 3.36@@67.11360941393411,64.08 ± 2.44 / 69.62 ± 1.29@@64.07681108705738,40.19 ± 2.97 / 31.88 ± 4.51@@40.18545563643075,5.43 ± 2.02 / 38.32 ± 2.54@@5.431508955205109,59.57 ± 0.97 / 53.21 ± 1.08@@59.569826162786875,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.5.2@@120502,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.5.2@@120502,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.5.2@@120502
