model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
ibm-granite/granite-3.0-8b-instruct (few-shot),2.54,2.84,8171.0,49.0,4096,5090.05,True,False,49.31,66.02,44.92,32.65,10.14,44.99,63.24,57.34,66.02,20.91,33.71,49.7,43.55,62.5,21.34,39.77,76.78,78.27,44.94,35.67,16.96,55.03,63.13,56.83,65.09,19.37,26.57,44.19,24.62,42.11,51.36,66.19,53.79,46.58,56.13,47.13,6.83,38.36,8.09,41.05,73.03,48.01,62.4,13.68,24.55,42.12,26.71,44.15,9.95,30.2,42.67,35.4,1.11,34.61,49.58,22.25,63.81,16.07,5.12,27.91,0.89,53.27,28.33,49.72,59.96,58.61,2.24,41.32,57.16,39.52,13.37,36.94,53.62,40.51,23.47,60.17,72.98,61.2,62.34,18.49,34.69,50.59,31.36,46.78,55.48,69.91,54.68,46.36,26.89,62.51,62.3,31.27,66.33,20.58,33.98,50.12,34.59,49.13,68.55,72.5,62.84,56.61,41.05,69.78,83.31,66.25,69.36,25.91,53.62,65.0,71.0,77.45,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
CohereForAI/aya-23-8B (few-shot),2.54,2.77,8028.0,256.0,8192,5607.73,False,False,47.16,63.47,47.08,32.34,8.41,37.31,63.96,58.83,65.03,20.21,36.64,49.92,39.24,59.45,27.29,45.01,76.21,67.87,60.04,43.93,7.54,35.42,63.65,58.6,63.0,18.11,20.97,39.72,28.96,46.32,35.73,50.42,60.94,53.33,59.61,50.84,6.18,35.4,4.0,36.17,71.95,46.52,62.45,15.67,20.14,38.69,27.5,44.6,19.77,34.4,47.16,38.6,3.84,40.06,48.25,21.75,59.16,14.91,3.7,27.71,-3.24,49.96,25.58,44.11,62.22,58.79,0.01,37.74,54.7,38.7,7.9,24.82,60.81,46.59,31.12,64.29,74.6,63.0,72.9,30.63,32.37,48.63,53.32,64.3,56.49,70.39,58.69,45.79,30.04,62.58,66.01,36.36,69.07,28.5,32.49,48.62,55.4,65.83,69.68,67.92,61.14,53.13,32.57,65.57,87.24,75.82,68.14,25.56,40.73,54.65,79.38,84.41,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-v0.1 (few-shot),2.55,2.91,7242.0,32.0,32768,2657.24,True,False,43.16,54.53,45.42,32.66,8.79,38.38,64.55,59.43,66.47,22.11,53.26,64.5,58.26,71.56,18.53,37.79,80.0,79.8,53.34,40.48,4.61,34.51,64.65,58.99,64.87,19.3,35.52,51.52,19.67,38.98,47.25,64.53,52.0,43.55,55.12,45.34,8.66,38.87,6.8,39.72,70.86,46.86,63.49,16.48,27.78,45.76,10.88,32.43,33.2,48.48,50.69,41.9,3.97,48.88,51.14,27.11,56.76,13.19,10.25,32.89,1.99,54.48,25.47,45.73,62.63,57.85,2.84,42.62,60.4,44.06,7.94,31.02,58.15,40.78,25.41,61.11,73.16,62.56,64.24,17.54,35.49,51.51,19.88,39.13,54.27,68.13,55.37,44.65,23.12,57.81,59.77,31.89,68.24,25.71,35.63,51.69,26.4,43.98,68.17,70.74,63.4,56.92,30.92,63.79,84.54,73.45,69.11,23.7,47.74,60.63,34.96,49.62,0.0.0,0.0.0,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,9.1.2,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,9.1.2,9.1.2,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.5.1,11.0.0,9.1.2,9.1.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.1.0,13.3.0,9.1.2,9.1.2,13.0.0,9.1.2,9.1.2,9.1.2,12.5.1,11.0.0,9.2.0,9.2.0,9.1.2,9.1.2,9.1.2,12.5.1,11.0.0,9.1.2,9.2.0,9.1.2,9.1.2,9.1.2,12.5.1,11.0.0,9.2.0,9.2.0,9.1.2
ibm-granite/granite-3.0-8b-base (few-shot),2.55,2.65,8171.0,49.0,4096,5116.13,True,False,47.16,64.63,44.58,33.5,19.2,53.44,63.32,58.41,65.64,21.12,32.05,47.54,47.42,65.02,28.73,46.04,75.92,75.77,44.8,34.91,24.84,59.88,62.01,56.71,63.65,18.25,26.71,44.61,30.43,47.06,53.27,66.73,49.94,46.49,52.17,46.44,17.22,50.42,12.01,47.98,69.52,45.04,63.01,15.82,24.31,42.68,30.34,47.38,2.6,15.68,37.82,32.97,-0.12,33.78,47.09,21.59,62.35,16.15,6.54,28.63,1.83,49.23,31.99,50.94,61.47,58.6,1.44,34.71,58.9,41.54,13.72,39.38,53.21,42.13,40.85,67.34,74.19,62.41,66.7,19.34,39.74,54.61,54.37,65.48,61.7,74.22,52.61,42.68,23.89,57.16,62.41,33.72,70.32,31.24,39.82,54.72,53.82,64.95,68.88,70.64,53.37,49.01,37.17,67.71,83.72,69.02,68.38,24.5,51.0,62.95,78.18,83.3,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-v0.3 (few-shot),2.58,2.9,7248.0,33.0,32768,1364.05,True,False,45.92,61.91,43.6,32.17,15.43,46.2,64.43,59.13,66.33,22.03,53.81,64.81,61.06,73.89,20.64,39.21,79.08,78.81,49.18,39.25,11.06,38.96,64.79,58.98,64.79,19.3,34.51,50.46,20.84,39.88,44.61,62.22,50.56,44.38,52.65,46.48,12.1,43.27,9.3,46.11,68.61,45.15,63.13,16.19,28.31,45.93,13.59,33.95,34.59,51.03,46.73,38.01,1.9,48.24,50.14,25.17,55.71,12.57,7.21,30.37,2.09,55.37,23.3,39.8,61.32,59.28,1.3,45.1,62.38,44.98,7.02,26.4,56.52,41.84,23.41,59.14,72.49,61.9,64.37,17.69,34.93,51.02,23.73,41.93,52.58,67.52,55.41,48.39,24.1,59.47,60.03,31.52,68.96,28.26,35.06,51.2,28.85,45.83,67.29,70.81,61.02,55.65,30.1,62.99,84.31,73.59,69.04,23.86,47.63,60.45,35.63,49.72,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.4,12.10.4,14.0.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,13.3.0,12.10.4,12.10.4,13.0.0,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,14.0.3
utter-project/EuroLLM-9B-Instruct (few-shot),2.6,2.5,9152.0,128.0,4096,5762.51,False,False,53.97,68.4,34.0,25.49,32.21,56.97,63.73,57.1,67.55,23.77,80.75,85.31,74.77,83.14,36.86,51.61,76.02,77.86,40.59,28.19,33.98,57.44,63.97,56.98,66.33,20.77,40.09,54.78,36.27,50.67,52.62,68.1,40.91,33.22,42.91,35.61,9.7,36.58,11.98,39.37,72.71,47.36,65.77,19.35,36.97,52.08,37.64,51.95,9.76,26.68,24.92,23.09,0.15,33.01,54.08,28.18,64.67,18.74,11.1,33.53,0.89,51.27,34.21,43.22,49.32,47.58,0.16,33.3,65.02,46.06,11.95,33.4,43.06,30.5,40.85,68.94,74.62,63.42,69.33,23.01,41.9,56.09,36.69,50.85,56.53,69.48,40.85,34.64,24.74,56.6,67.94,38.2,69.44,28.76,39.43,54.28,37.67,51.67,62.54,68.78,44.81,39.51,28.1,62.46,84.31,71.71,69.27,25.38,45.95,59.04,43.97,56.43,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),2.66,2.95,7242.0,32.0,32768,633.64,False,False,48.09,65.4,44.89,29.13,19.06,58.77,60.81,51.56,66.84,21.21,51.6,63.5,35.85,52.62,22.21,40.78,62.9,70.61,47.92,33.0,19.95,56.49,61.42,52.51,66.11,19.64,25.6,43.53,21.75,40.57,38.79,53.72,53.42,42.63,54.34,41.06,17.06,56.51,11.0,53.26,64.27,35.74,64.43,16.11,20.37,39.32,21.16,39.85,17.64,40.55,34.8,24.03,5.46,51.42,45.06,12.66,61.79,8.78,5.49,28.73,0.24,38.95,32.07,51.69,61.28,54.02,1.68,50.06,59.78,39.0,12.37,37.37,55.56,39.56,21.5,59.1,66.54,50.77,67.99,19.54,22.86,41.71,24.8,42.93,47.69,64.93,55.1,41.89,24.14,60.83,57.64,23.93,67.51,22.63,26.06,44.13,31.09,47.48,59.91,68.92,62.11,52.36,30.66,64.32,77.85,58.27,69.75,24.71,34.93,50.71,44.91,58.07,9.2.0,9.2.0,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.2,9.2.0,9.2.0,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,9.2.0,9.2.0,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,12.10.8,12.1.0,13.3.0,9.2.0,9.3.1,13.0.0,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,9.2.0,9.3.1,9.3.1,12.4.0,12.4.0,9.3.2,9.3.2,12.9.0
microsoft/xlm-align-base,2.67,999.0,278.0,250.0,512,14744.17,True,False,47.83,65.49,70.36,65.91,11.87,48.82,35.11,29.87,,,,,,,,,73.67,68.61,78.6,73.04,15.41,53.29,37.13,32.41,,,,,,,54.46,68.25,90.07,87.56,85.65,82.4,12.16,50.55,8.99,48.57,64.35,49.24,,,,,,,38.76,56.09,78.01,79.2,5.92,46.95,43.32,10.47,,,,,,,2.54,19.42,85.97,86.52,0.02,44.65,1.0,0.72,11.8,33.49,78.85,83.35,14.56,53.64,51.94,42.08,,,,,,,58.58,72.09,79.38,79.33,15.34,52.99,32.33,16.58,,,,,,,11.09,33.19,88.62,88.44,8.46,51.98,62.02,49.64,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.71,3.05,7242.0,32.0,32768,5053.68,True,False,47.82,63.19,42.43,29.3,16.51,52.73,62.2,56.95,65.43,20.36,50.76,62.66,50.82,66.66,14.47,34.86,80.14,80.19,44.14,29.77,34.23,65.29,62.52,57.07,65.15,18.72,33.24,49.69,25.5,43.44,49.05,63.94,48.97,39.15,51.52,40.17,14.37,47.8,9.96,48.97,68.49,44.07,63.32,16.33,25.07,43.13,15.56,35.85,16.08,34.46,36.47,30.33,2.54,50.66,38.73,18.66,63.68,16.38,5.12,28.85,8.3,57.35,15.18,36.01,58.96,52.2,0.0,33.26,54.89,39.2,8.43,24.23,54.56,37.86,10.99,50.46,66.78,55.91,57.88,12.36,25.12,43.5,10.65,31.51,54.79,68.79,50.66,39.89,20.17,58.67,54.38,27.86,65.53,19.46,27.04,44.99,17.47,36.7,68.41,70.85,59.1,51.31,25.43,60.79,82.99,71.89,67.99,22.12,44.09,56.37,32.29,45.16,12.5.3,12.5.3,12.5.3,12.5.3,12.6.1,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,13.3.0,12.5.3,12.5.3,12.5.3,12.5.3,12.10.8,12.5.3,13.3.0,12.5.3,12.5.3,13.0.0,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
ibm-granite/granite-8b-code-base-4k (few-shot),2.73,3.41,8055.0,49.0,4096,2312.61,True,False,39.07,56.85,48.44,36.99,9.72,46.85,56.54,51.18,63.93,17.49,33.11,49.31,18.96,46.29,9.03,31.42,74.45,72.26,59.77,45.71,3.97,34.79,56.07,50.18,62.61,17.92,14.34,35.93,7.4,30.2,42.0,59.9,68.4,62.53,65.15,60.39,5.2,36.33,3.32,37.81,60.94,37.51,61.27,13.34,12.42,34.82,8.32,30.87,9.18,27.61,50.89,35.75,0.5,33.77,41.32,17.43,59.94,12.62,5.52,28.97,1.73,50.89,26.68,47.93,66.82,65.84,-0.36,37.57,51.89,36.47,13.81,36.99,63.29,52.18,8.16,44.29,66.29,56.64,63.08,15.69,16.86,37.54,6.24,29.25,49.75,65.93,59.07,51.0,14.71,53.75,56.14,29.45,67.78,26.66,16.39,37.35,10.68,32.52,62.35,67.34,72.76,67.49,21.57,59.22,81.37,69.8,67.73,23.48,25.63,44.26,16.44,36.73,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
Twitter/twhin-bert-base,2.73,999.0,279.0,250.0,512,11513.72,True,False,42.17,61.25,60.01,56.13,29.43,62.08,34.82,29.79,,,,,,,,,66.62,61.9,70.17,64.19,46.72,72.15,35.79,31.38,,,,,,,37.02,47.88,84.11,81.35,77.22,73.67,35.42,66.3,6.87,50.7,36.16,25.98,,,,,,,40.22,58.56,70.38,72.0,11.09,51.6,30.52,7.67,,,,,,,3.05,27.7,84.0,84.83,1.94,46.27,0.02,0.02,9.53,32.06,74.03,80.59,39.12,68.36,12.9,7.71,,,,,,,55.03,69.65,70.35,69.09,43.87,69.71,10.15,2.81,,,,,,,41.09,48.17,87.77,87.83,32.26,61.2,44.98,35.15,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.75,999.0,278.0,250.0,512,20154.46,True,False,46.39,63.97,61.17,58.41,38.61,67.08,25.77,19.9,,,,,,,,,71.33,65.44,70.22,63.97,39.6,66.6,24.75,18.65,,,,,,,49.93,62.37,81.26,77.69,74.05,69.84,38.26,66.01,25.17,61.27,0.0,0.0,,,,,,,33.26,52.59,65.15,67.5,1.15,49.6,27.88,9.56,,,,,,,12.97,31.99,80.92,81.63,1.19,43.13,0.0,0.0,21.37,40.62,70.59,78.25,45.86,71.32,10.4,5.2,,,,,,,57.94,71.92,69.45,68.02,21.81,58.13,3.03,0.33,,,,,,,54.92,52.65,84.05,84.48,45.85,71.78,10.53,4.13,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/stsb-xlm-r-multilingual,2.77,999.0,278.0,250.0,512,15039.9,True,False,42.26,61.41,58.52,55.04,34.8,64.51,25.68,19.6,,,,,,,,,72.77,68.13,68.94,62.54,40.21,67.11,25.99,20.09,,,,,,,52.16,66.79,80.08,75.93,74.59,70.26,36.3,65.52,14.21,52.78,0.0,0.0,,,,,,,37.79,56.1,66.23,67.76,0.04,45.96,28.66,10.04,,,,,,,18.07,39.76,82.97,83.62,2.93,46.51,0.0,0.0,20.56,39.67,66.85,72.84,35.56,66.0,10.13,5.04,,,,,,,52.85,68.48,67.47,66.34,29.59,60.98,4.35,0.73,,,,,,,57.35,54.82,82.39,83.07,47.29,71.85,10.53,4.29,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.8,2.9,3213.0,128.0,131073,10423.76,False,False,42.77,54.7,41.12,32.5,11.52,49.37,60.18,51.14,65.19,18.34,49.78,62.29,45.88,63.96,21.89,41.16,76.98,71.38,43.74,34.37,16.01,51.83,57.83,48.38,64.98,17.53,29.44,47.21,22.42,41.45,44.13,60.09,49.66,39.31,51.98,42.48,0.67,33.81,1.11,33.03,56.91,28.62,60.5,10.91,26.82,45.32,20.98,40.34,10.07,28.32,27.57,22.52,-1.39,34.4,50.74,22.98,62.0,14.4,13.33,35.42,0.74,50.92,13.76,33.66,58.24,47.44,1.77,45.44,64.71,45.13,12.87,37.23,43.66,40.23,17.94,55.88,64.44,47.77,66.74,18.33,33.8,50.3,21.02,40.27,50.52,62.39,55.52,46.18,9.87,42.2,47.02,20.2,66.4,21.21,33.58,50.27,28.97,46.45,66.0,70.47,68.44,56.8,32.04,65.62,75.26,49.54,69.23,24.84,45.5,58.96,46.5,59.43,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.81,3.06,7242.0,32.0,32768,633.64,False,False,44.49,60.64,37.93,23.54,14.09,42.43,58.78,51.38,65.8,19.91,45.07,58.18,35.36,55.82,14.85,35.26,73.33,76.19,45.01,27.59,11.59,40.89,59.29,52.12,63.1,18.05,24.03,42.32,15.37,35.78,43.65,60.88,50.08,34.52,51.27,33.37,14.09,44.91,8.28,47.22,63.67,37.23,62.39,14.24,20.44,39.51,15.87,35.89,12.93,30.4,36.04,24.74,-0.36,33.94,42.57,18.06,62.8,15.23,5.44,28.13,6.35,50.49,15.85,36.28,55.42,46.41,1.11,36.79,50.8,33.54,7.91,27.82,52.72,33.51,18.14,55.42,67.15,52.75,64.77,16.55,26.06,44.08,14.26,35.14,47.26,63.48,47.19,33.02,22.32,56.73,54.61,24.36,67.75,25.91,26.79,44.58,20.33,39.63,61.44,69.47,57.58,47.94,34.92,66.67,81.9,65.38,69.62,24.65,38.4,53.43,35.72,49.69,9.3.1,9.3.1,9.3.1,12.4.0,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,13.3.0,9.3.1,9.3.1,12.4.0,12.4.0,12.10.8,12.1.0,13.3.0,9.3.1,9.3.1,13.0.0,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,9.3.1,9.3.1,9.3.1,12.4.0,12.4.0,9.3.1,9.3.1,12.9.0
