model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.59@@1.59,14768307200.0,151936.0,40960.0,✓,✗,93.68 ± 0.57 / 96.84 ± 0.28@@93.68066958303736,69.21 ± 1.87 / 66.13 ± 1.86@@69.21346155813774,36.63 ± 1.57 / 59.16 ± 1.21@@36.62560722469205,72.25 ± 0.60 / 42.84 ± 0.64@@72.25414352042904,65.56 ± 0.10 / 15.13 ± 0.17@@65.55887752823764,75.30 ± 1.02 / 81.48 ± 0.77@@75.29630494776526,60.97 ± 0.61 / 70.53 ± 0.48@@60.96660279077983,15.7.2.dev0@@150702,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.60@@1.60,,,131072.0,✓,✗,96.47 ± 1.25 / 98.23 ± 0.63@@96.47349425357905,66.38 ± 3.26 / 55.47 ± 3.30@@66.37580594284607,39.96 ± 3.45 / 67.07 ± 1.70@@39.95526092740086,65.50 ± 0.93 / 30.06 ± 1.24@@65.49873847998774,66.33 ± 0.18 / 15.36 ± 0.27@@66.32503910921514,69.45 ± 2.08 / 76.60 ± 1.65@@69.45083375545607,69.01 ± 2.49 / 76.33 ± 1.95@@69.00696757418771,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.60@@1.60,70553706496.0,128256.0,131072.0,✓,✗,94.57 ± 0.52 / 97.26 ± 0.26@@94.57282534437083,69.69 ± 1.62 / 67.86 ± 1.53@@69.69336775723679,43.94 ± 2.30 / 69.51 ± 1.28@@43.93531993101627,76.72 ± 1.46 / 47.78 ± 1.33@@76.71758484827859,66.90 ± 0.74 / 21.74 ± 1.26@@66.90376555023249,63.16 ± 0.72 / 72.15 ± 0.54@@63.15781646663374,51.96 ± 3.91 / 61.48 ± 3.36@@51.96446030529793,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.60@@1.60,,,200000.0,✓,✗,96.01 ± 1.00 / 97.99 ± 0.50@@96.00751483703499,67.91 ± 3.44 / 58.41 ± 3.41@@67.91356063112259,35.38 ± 3.57 / 56.23 ± 2.66@@35.37929829964286,65.28 ± 1.06 / 34.50 ± 1.56@@65.28136353453598,65.74 ± 0.09 / 14.97 ± 0.12@@65.74184813769534,82.76 ± 1.81 / 87.30 ± 1.32@@82.76437921030515,62.63 ± 2.30 / 71.02 ± 1.81@@62.62530798745409,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.60@@1.60,27432406640.0,262144.0,,✓,✗,95.00 ± 0.43 / 97.50 ± 0.22@@95.00464563929289,62.81 ± 1.89 / 58.35 ± 2.41@@62.8056551043548,44.39 ± 2.70 / 69.69 ± 1.90@@44.394849362399555,68.46 ± 0.79 / 35.92 ± 1.19@@68.45535204874268,66.26 ± 0.10 / 16.87 ± 0.24@@66.25960101402598,64.97 ± 0.66 / 73.60 ± 0.52@@64.96745719012272,69.64 ± 1.23 / 77.03 ± 0.92@@69.64014808784232,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",📝,1.62@@1.62,27400000000.0,262144.0,128000.0,✓,✗,96.63 ± 0.76 / 98.30 ± 0.38@@96.62864458766333,68.30 ± 3.34 / 64.43 ± 3.36@@68.30138233237764,40.01 ± 5.74 / 67.68 ± 3.25@@40.00567411868835,68.19 ± 1.48 / 34.74 ± 0.86@@68.1914714496519,66.77 ± 0.20 / 18.04 ± 0.28@@66.77088749129325,57.80 ± 3.20 / 68.44 ± 2.40@@57.797195786575784,65.91 ± 2.28 / 73.95 ± 1.88@@65.91321877249109,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,1.62@@1.62,14700000000.0,100352.0,16384.0,✓,✗,95.39 ± 1.56 / 97.68 ± 0.79@@95.38758352596497,64.43 ± 4.03 / 62.07 ± 3.64@@64.43460591624034,43.62 ± 3.29 / 64.93 ± 2.80@@43.61549682972877,71.88 ± 1.98 / 37.20 ± 2.92@@71.88310588602049,66.47 ± 0.17 / 15.32 ± 0.24@@66.47308412473649,59.76 ± 1.89 / 69.73 ± 1.47@@59.76049713673339,62.33 ± 2.50 / 71.09 ± 2.20@@62.33235945900686,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.63@@1.63,70553706496.0,128256.0,8192.0,✓,✗,94.07 ± 0.33 / 97.01 ± 0.17@@94.0666795660911,65.43 ± 2.55 / 58.78 ± 2.87@@65.43078651391114,40.16 ± 1.09 / 65.14 ± 1.19@@40.16387721359611,68.57 ± 0.70 / 35.58 ± 0.66@@68.57216024964944,67.14 ± 0.11 / 19.88 ± 0.29@@67.13926104595885,64.69 ± 0.80 / 73.47 ± 0.61@@64.68790941642555,63.35 ± 1.18 / 71.84 ± 0.94@@63.34984643075432,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.66@@1.66,70553706496.0,128256.0,131072.0,✓,✗,94.57 ± 0.33 / 97.27 ± 0.16@@94.56820257294866,53.68 ± 2.22 / 38.19 ± 1.96@@53.6765559947751,42.21 ± 1.10 / 66.64 ± 0.77@@42.20857945463413,70.02 ± 0.58 / 37.42 ± 1.03@@70.01768213896415,64.65 ± 0.13 / 16.30 ± 0.13@@64.64790045516565,68.88 ± 0.67 / 76.63 ± 0.51@@68.88098907575856,74.56 ± 1.34 / 80.82 ± 1.01@@74.5564991132562,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.66@@1.66,,256128.0,1048576.0,✓,✗,92.97 ± 1.29 / 96.39 ± 0.68@@92.96892581508898,67.20 ± 1.98 / 61.03 ± 2.18@@67.20168230823896,34.57 ± 2.97 / 65.78 ± 1.39@@34.572839865088426,67.22 ± 1.11 / 33.51 ± 1.44@@67.2188294903079,66.51 ± 0.15 / 16.18 ± 0.22@@66.51030988665298,71.92 ± 1.53 / 79.18 ± 1.16@@71.91850146756457,65.30 ± 2.11 / 73.28 ± 1.58@@65.29853541441233,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
