model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,1.94@@1.94,10305653760.0,131072.0,32768.0,✓,✗,93.22 ± 0.70 / 96.54 ± 0.37@@93.21918674679938,52.33 ± 1.96 / 51.24 ± 2.03@@52.32677843992325,32.97 ± 2.93 / 65.95 ± 1.29@@32.9708994160015,74.82 ± 2.12 / 47.81 ± 1.63@@74.82395474883927,66.55 ± 1.20 / 21.66 ± 1.43@@66.55409131053602,52.30 ± 1.08 / 64.05 ± 0.81@@52.30156187626112,44.79 ± 2.05 / 57.31 ± 1.71@@44.794501202670226,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,1.94@@1.94,34980831232.0,256000.0,8192.0,✗,✗,94.84 ± 0.53 / 97.41 ± 0.27@@94.83755599254138,64.39 ± 1.57 / 57.23 ± 1.97@@64.38665986553048,16.74 ± 3.62 / 42.42 ± 3.72@@16.73835608605627,74.52 ± 0.79 / 47.29 ± 0.76@@74.52133382125524,67.91 ± 0.32 / 23.43 ± 0.65@@67.9101747594541,38.80 ± 1.19 / 53.82 ± 0.99@@38.7950833119319,58.45 ± 2.90 / 67.76 ± 2.45@@58.44797884774351,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.97@@1.97,9241705984.0,256000.0,8192.0,✓,✗,94.46 ± 0.47 / 97.22 ± 0.24@@94.460853913898,32.12 ± 1.36 / 27.47 ± 1.76@@32.12155845608082,39.48 ± 1.70 / 64.27 ± 1.18@@39.48051491379949,71.07 ± 1.00 / 40.11 ± 0.46@@71.07083194154575,66.53 ± 0.08 / 18.25 ± 0.21@@66.52531754982192,54.23 ± 0.62 / 65.54 ± 0.47@@54.22619094512614,61.45 ± 0.94 / 70.93 ± 0.69@@61.44684426316868,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,1.98@@1.98,8414105600.0,131072.0,8192.0,✓,✗,92.51 ± 0.68 / 96.17 ± 0.36@@92.51066222684115,58.36 ± 2.11 / 53.88 ± 2.00@@58.35821189566144,30.60 ± 1.94 / 60.68 ± 2.08@@30.596351874733312,73.29 ± 1.59 / 47.51 ± 1.11@@73.28998293209054,66.21 ± 1.07 / 20.62 ± 1.44@@66.20678822713671,44.63 ± 0.73 / 57.98 ± 0.53@@44.62659478193081,39.39 ± 1.89 / 51.43 ± 1.93@@39.388905128548906,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,🧠,1.99@@1.99,46997647360.0,67993.0,32768.0,✓,✗,93.28 ± 0.71 / 96.62 ± 0.36@@93.28338252313782,51.13 ± 2.08 / 47.86 ± 2.38@@51.12587501749275,37.26 ± 2.01 / 65.48 ± 2.17@@37.26430203436317,73.09 ± 0.80 / 41.62 ± 1.81@@73.09428099341382,67.50 ± 0.29 / 23.47 ± 0.38@@67.50155167712364,45.64 ± 1.14 / 58.94 ± 0.90@@45.639446489789634,36.95 ± 1.20 / 52.52 ± 0.93@@36.9518612141067,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,2.00@@2.00,27227128320.0,256000.0,8192.0,✓,✗,94.89 ± 0.68 / 97.41 ± 0.36@@94.88893549901748,23.62 ± 1.70 / 25.99 ± 2.15@@23.616625757330787,41.73 ± 2.72 / 69.44 ± 1.44@@41.72621729486073,75.88 ± 2.54 / 48.21 ± 1.80@@75.87586583706887,67.77 ± 0.84 / 24.16 ± 1.18@@67.76855986623559,58.52 ± 0.99 / 68.55 ± 0.76@@58.516428255768695,50.22 ± 3.32 / 60.58 ± 2.88@@50.21694240880071,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,📝,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,93.83 ± 0.46 / 96.90 ± 0.24@@93.82905700572593,49.92 ± 2.30 / 47.18 ± 2.30@@49.91569453413636,41.73 ± 2.11 / 68.18 ± 1.74@@41.72884056707414,67.10 ± 1.62 / 36.35 ± 1.31@@67.10465441889318,66.27 ± 0.10 / 16.14 ± 0.18@@66.26643516210606,37.94 ± 0.77 / 52.94 ± 0.67@@37.93502021899234,40.34 ± 1.11 / 54.34 ± 0.88@@40.341507323138536,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,📝,2.01@@2.01,8028033024.0,256000.0,4096.0,✗,✗,92.56 ± 0.75 / 96.24 ± 0.39@@92.56278525820049,53.91 ± 2.41 / 40.73 ± 2.59@@53.90768109879757,31.72 ± 3.09 / 62.86 ± 2.22@@31.716399154984785,71.42 ± 1.35 / 42.56 ± 0.78@@71.41738222542246,66.44 ± 0.11 / 17.68 ± 0.21@@66.43828802567441,44.42 ± 0.96 / 58.11 ± 0.78@@44.42034471233458,43.68 ± 0.95 / 57.37 ± 0.71@@43.68288767077772,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,93.29 ± 0.53 / 96.61 ± 0.27@@93.28618526159497,47.25 ± 1.86 / 45.54 ± 2.04@@47.25091502058797,43.58 ± 2.09 / 70.91 ± 1.16@@43.579676333093154,68.66 ± 2.61 / 40.71 ± 1.61@@68.65616964643839,66.24 ± 0.10 / 15.88 ± 0.19@@66.2442984993686,39.71 ± 0.71 / 54.61 ± 0.54@@39.705282053241234,42.30 ± 1.04 / 56.37 ± 0.77@@42.30091876599052,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,93.41 ± 0.55 / 96.67 ± 0.28@@93.41074146786474,48.96 ± 1.83 / 47.23 ± 1.94@@48.96027125164727,43.80 ± 2.23 / 71.09 ± 1.27@@43.80495962314992,69.92 ± 2.32 / 41.07 ± 1.44@@69.92383030704566,66.20 ± 0.09 / 15.73 ± 0.12@@66.2014915337204,39.41 ± 0.99 / 54.27 ± 0.75@@39.41133764891906,42.09 ± 1.07 / 56.24 ± 0.80@@42.08797524720546,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,🧠,2.03@@2.03,8028033024.0,256000.0,8192.0,✗,✗,95.12 ± 0.49 / 97.56 ± 0.25@@95.11634339614105,49.10 ± 3.13 / 34.00 ± 2.16@@49.10348231396558,32.60 ± 1.47 / 65.66 ± 0.99@@32.59617478175841,69.30 ± 1.02 / 40.25 ± 0.50@@69.29501756558915,66.86 ± 0.72 / 19.68 ± 0.64@@66.86412185168592,38.99 ± 0.95 / 54.20 ± 0.74@@38.98920835481746,47.00 ± 1.30 / 59.79 ± 1.06@@46.995700018067495,15.3.1.dev0@@150301,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.03@@2.03,7241732096.0,32000.0,4096.0,✗,✗,91.64 ± 1.36 / 95.69 ± 0.74@@91.63982487860564,54.69 ± 1.97 / 51.14 ± 1.56@@54.69243126080079,31.87 ± 2.90 / 63.41 ± 1.74@@31.871066803768883,68.13 ± 2.48 / 36.69 ± 1.36@@68.13484010524601,67.00 ± 0.21 / 21.14 ± 0.75@@66.99962939717807,35.88 ± 0.50 / 51.71 ± 0.41@@35.87751285024876,47.81 ± 0.91 / 60.27 ± 0.85@@47.80889541779264,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.03@@2.03,7455550464.0,131072.0,32768.0,✓,✗,93.15 ± 0.79 / 96.53 ± 0.40@@93.1540050231105,50.56 ± 1.92 / 46.39 ± 2.24@@50.55806069977036,36.47 ± 3.67 / 66.66 ± 2.44@@36.470911336593005,69.44 ± 2.62 / 43.51 ± 1.85@@69.44319879988234,66.28 ± 0.98 / 21.13 ± 1.22@@66.28010513522895,44.33 ± 0.93 / 57.82 ± 0.73@@44.32833933589431,35.98 ± 2.38 / 50.21 ± 2.30@@35.981538108285896,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/nvidia/Mistral-NeMo-Minitron-8B-Base'>nvidia/Mistral-NeMo-Minitron-8B-Base (few-shot)</a>,🧠,2.04@@2.04,8414105600.0,131072.0,8192.0,✓,✗,91.95 ± 0.64 / 95.87 ± 0.33@@91.94810040537558,56.25 ± 2.30 / 51.26 ± 2.73@@56.246877788804674,32.11 ± 1.95 / 63.15 ± 2.11@@32.11479792701944,73.34 ± 1.60 / 47.58 ± 1.12@@73.33527568555712,66.08 ± 1.12 / 20.48 ± 1.55@@66.07854270783719,44.52 ± 0.86 / 57.86 ± 0.59@@44.52041668070614,33.81 ± 1.95 / 46.76 ± 1.66@@33.80580219276581,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.0@@150800
<a href='https://huggingface.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta (few-shot)</a>,📝,2.04@@2.04,7241748480.0,32002.0,4096.0,✗,✗,93.84 ± 0.48 / 96.91 ± 0.24@@93.84234581481303,52.03 ± 1.51 / 37.86 ± 2.27@@52.028028788610335,31.69 ± 1.59 / 62.45 ± 1.42@@31.692332755442802,71.90 ± 0.58 / 38.13 ± 0.96@@71.90480229198204,66.15 ± 0.10 / 16.33 ± 0.14@@66.1479415197391,32.67 ± 1.46 / 49.10 ± 1.09@@32.6671330293474,54.83 ± 1.29 / 65.72 ± 0.99@@54.83442678313958,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,2.04@@2.04,9241705984.0,256000.0,8192.0,✓,✗,93.67 ± 0.71 / 96.78 ± 0.37@@93.67323049988477,38.32 ± 5.24 / 35.61 ± 4.56@@38.32169273546694,32.92 ± 1.46 / 60.96 ± 2.05@@32.91929228761261,73.09 ± 1.78 / 44.65 ± 1.30@@73.09423147890467,67.27 ± 0.86 / 23.46 ± 1.15@@67.2735687540262,52.94 ± 0.82 / 64.51 ± 0.65@@52.9442167604986,47.24 ± 4.52 / 58.99 ± 3.72@@47.23966123249956,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.04@@2.04,46997647360.0,67993.0,32768.0,✓,✗,94.09 ± 0.60 / 97.03 ± 0.30@@94.08546592039487,50.65 ± 1.98 / 46.30 ± 2.48@@50.651839783273914,33.15 ± 3.83 / 62.84 ± 3.99@@33.15483264712813,74.03 ± 1.59 / 47.13 ± 1.03@@74.02781632141928,66.85 ± 0.70 / 21.85 ± 1.06@@66.85223364882404,44.13 ± 1.13 / 57.26 ± 0.96@@44.12885595274389,30.62 ± 1.29 / 46.83 ± 1.25@@30.624425720650393,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,2.07@@2.07,34980831232.0,256000.0,8192.0,✗,✗,92.32 ± 0.58 / 96.08 ± 0.30@@92.32238149255801,55.95 ± 1.62 / 47.87 ± 2.08@@55.94866827969215,29.35 ± 1.80 / 63.65 ± 1.04@@29.353250336926408,63.35 ± 1.05 / 31.55 ± 2.11@@63.34687680142247,66.69 ± 0.15 / 18.71 ± 0.43@@66.69296750245849,43.74 ± 1.07 / 57.44 ± 0.82@@43.74133451134311,44.78 ± 1.29 / 58.20 ± 0.98@@44.784630759529094,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.08@@2.08,8030261248.0,128256.0,131072.0,✓,✗,92.16 ± 0.79 / 95.98 ± 0.42@@92.16471236547743,57.60 ± 2.49 / 55.45 ± 2.32@@57.60051802470581,30.98 ± 1.59 / 62.94 ± 2.58@@30.978757285518142,74.36 ± 1.83 / 48.69 ± 1.42@@74.3614369682979,65.97 ± 1.01 / 19.94 ± 1.43@@65.97343002154958,36.39 ± 1.09 / 51.73 ± 0.89@@36.39003682318332,29.98 ± 1.99 / 46.38 ± 1.67@@29.97802742698302,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.11@@2.11,8030261248.0,128256.0,131072.0,✓,✗,93.52 ± 0.29 / 96.74 ± 0.15@@93.5150590050902,52.56 ± 2.64 / 49.04 ± 2.67@@52.559852491019065,31.48 ± 2.52 / 63.06 ± 3.39@@31.48492748509433,68.62 ± 1.38 / 37.82 ± 0.98@@68.6235782510224,66.58 ± 0.09 / 17.58 ± 0.33@@66.57648015563609,36.44 ± 0.65 / 51.82 ± 0.51@@36.443516854147646,34.29 ± 2.11 / 49.79 ± 1.63@@34.2925985296655,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.11@@2.11,8000000000.0,256128.0,1048576.0,✓,✗,90.74 ± 1.46 / 95.34 ± 0.74@@90.74460239772598,53.74 ± 1.96 / 40.51 ± 1.92@@53.73712028442383,29.85 ± 3.81 / 64.52 ± 1.81@@29.854670803824735,64.41 ± 1.11 / 33.28 ± 1.40@@64.40977691939253,66.42 ± 0.14 / 15.73 ± 0.17@@66.4162775198929,50.67 ± 3.20 / 61.68 ± 2.55@@50.67082968491825,33.79 ± 3.41 / 47.54 ± 2.62@@33.7884982173765,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.13@@2.13,27432406640.0,262144.0,,✓,✗,89.95 ± 0.61 / 94.91 ± 0.32@@89.94843098740904,37.97 ± 0.94 / 26.38 ± 0.56@@37.966222867086486,28.07 ± 1.35 / 63.81 ± 0.66@@28.06909190576452,62.67 ± 0.42 / 31.07 ± 0.47@@62.672425535822846,65.35 ± 0.09 / 14.67 ± 0.10@@65.34664738719584,64.21 ± 0.57 / 73.05 ± 0.43@@64.20544046805249,51.85 ± 1.02 / 62.66 ± 0.80@@51.84668510239678,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.13@@2.13,8030261248.0,128256.0,131072.0,✓,✗,93.55 ± 0.59 / 96.76 ± 0.30@@93.5546986952189,51.78 ± 2.71 / 46.76 ± 3.00@@51.78214978097677,26.04 ± 2.26 / 52.60 ± 2.82@@26.04419069783833,64.96 ± 0.96 / 32.46 ± 0.97@@64.96111291761213,66.80 ± 0.09 / 19.03 ± 0.47@@66.79819833312649,42.45 ± 1.05 / 56.71 ± 0.77@@42.44784028562895,44.67 ± 1.39 / 58.46 ± 1.09@@44.67340301209767,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.13@@2.13,8019808256.0,131072.0,32768.0,✓,✗,92.81 ± 0.61 / 96.35 ± 0.32@@92.8057637098911,59.05 ± 1.64 / 53.26 ± 1.85@@59.04966634080745,7.82 ± 2.13 / 34.92 ± 0.70@@7.821174029648437,69.74 ± 1.40 / 40.14 ± 0.88@@69.73908441681951,66.46 ± 0.10 / 16.94 ± 0.20@@66.45815813593799,38.44 ± 0.85 / 53.00 ± 0.69@@38.443075583182484,62.98 ± 1.40 / 71.67 ± 1.04@@62.98087371401546,15.0.0@@150000,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.16@@2.16,8030261248.0,128256.0,8192.0,✓,✗,94.00 ± 0.55 / 96.99 ± 0.28@@93.99866107315674,51.73 ± 2.12 / 48.93 ± 2.32@@51.72836065339808,30.18 ± 1.52 / 59.37 ± 1.74@@30.183398354983066,63.73 ± 1.04 / 31.30 ± 1.14@@63.7315928489136,66.56 ± 0.08 / 17.99 ± 0.20@@66.55538102204446,38.18 ± 0.77 / 53.34 ± 0.61@@38.17597466208188,38.56 ± 1.27 / 53.44 ± 1.01@@38.562902290932776,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.16@@2.16,,,1047576.0,✓,✗,89.38 ± 1.41 / 94.57 ± 0.73@@89.38276511375311,42.14 ± 2.21 / 23.16 ± 0.94@@42.143866228695,31.08 ± 2.61 / 62.04 ± 1.42@@31.078459462352175,61.75 ± 1.19 / 31.06 ± 1.41@@61.752794308562635,66.23 ± 0.13 / 15.54 ± 0.19@@66.23330826871097,48.90 ± 2.49 / 60.20 ± 1.86@@48.90237142317976,42.47 ± 3.13 / 56.13 ± 2.40@@42.465339487300405,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.19@@2.19,8030261248.0,128256.0,8192.0,✓,✗,92.13 ± 0.86 / 95.96 ± 0.46@@92.12673466456799,52.20 ± 2.99 / 51.15 ± 2.57@@52.19586220983389,27.42 ± 3.05 / 59.35 ± 3.71@@27.42270246738047,72.66 ± 2.64 / 47.51 ± 1.89@@72.66061910358805,65.71 ± 1.16 / 19.46 ± 1.51@@65.70682697143639,35.63 ± 1.19 / 51.43 ± 0.92@@35.63090575330619,26.53 ± 3.65 / 43.95 ± 2.91@@26.529081352421073,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.19@@2.19,4300079472.0,262144.0,,✓,✗,91.62 ± 0.46 / 95.79 ± 0.23@@91.61659154388416,51.33 ± 1.81 / 49.99 ± 1.81@@51.325220439489286,33.08 ± 2.04 / 65.09 ± 1.27@@33.08137920101429,63.51 ± 0.83 / 32.57 ± 0.72@@63.51114414340744,65.85 ± 0.08 / 16.03 ± 0.20@@65.85042219725437,36.50 ± 0.65 / 51.87 ± 0.45@@36.50010299626965,33.69 ± 1.67 / 49.33 ± 1.40@@33.69461023777652,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.20@@2.20,8170835968.0,49152.0,4096.0,✓,✗,92.91 ± 0.99 / 96.40 ± 0.52@@92.91403084876958,39.17 ± 1.56 / 36.63 ± 1.75@@39.17032998684457,32.53 ± 2.14 / 64.26 ± 2.00@@32.526067139892284,74.64 ± 1.22 / 46.85 ± 0.98@@74.64325350874137,66.95 ± 0.80 / 22.99 ± 1.09@@66.95461057272041,33.72 ± 1.22 / 49.97 ± 0.91@@33.71598252268496,32.43 ± 1.45 / 48.11 ± 1.33@@32.431383809224975,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.22@@2.22,,,200000.0,✓,✗,53.45 ± 2.44 / 76.07 ± 1.28@@53.45477678268298,65.75 ± 2.00 / 54.78 ± 2.17@@65.75374226916762,18.01 ± 4.70 / 44.72 ± 2.66@@18.008900031386986,61.90 ± 0.77 / 23.91 ± 1.34@@61.8970767929211,66.68 ± 0.11 / 15.83 ± 0.20@@66.6815359168686,48.80 ± 2.77 / 60.08 ± 2.19@@48.799608144599496,49.18 ± 1.67 / 60.94 ± 1.55@@49.175295642093424,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.25@@2.25,8170848256.0,49155.0,4096.0,✓,✗,90.20 ± 2.55 / 95.05 ± 1.31@@90.2031877157967,41.76 ± 1.83 / 36.24 ± 1.91@@41.75592183327435,27.60 ± 3.08 / 60.17 ± 3.19@@27.599909740654706,72.15 ± 1.57 / 45.88 ± 1.10@@72.14634042662485,66.82 ± 0.11 / 19.77 ± 0.22@@66.81760755251162,34.73 ± 0.66 / 50.70 ± 0.53@@34.73286965867852,32.95 ± 1.24 / 48.66 ± 1.25@@32.94565646025032,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.26@@2.26,9152319488.0,128000.0,4096.0,✓,✗,93.97 ± 0.45 / 96.97 ± 0.22@@93.96752988135762,48.47 ± 2.33 / 42.64 ± 1.45@@48.474704169515945,25.81 ± 3.71 / 52.83 ± 4.69@@25.808178886735895,71.25 ± 1.48 / 43.59 ± 0.67@@71.25278333386704,67.43 ± 0.39 / 23.16 ± 0.55@@67.42590260138968,31.65 ± 0.73 / 48.46 ± 0.56@@31.650109286825423,23.25 ± 1.88 / 40.74 ± 1.72@@23.24836222232156,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.26@@2.26,3880099328.0,,131072.0,✓,✗,90.58 ± 0.73 / 95.21 ± 0.40@@90.58361575476545,56.62 ± 1.46 / 48.32 ± 1.60@@56.621735540975656,33.36 ± 2.09 / 64.54 ± 1.37@@33.36365502470661,61.49 ± 0.98 / 31.93 ± 0.72@@61.48688828820351,65.69 ± 0.09 / 16.66 ± 0.22@@65.69385221519042,28.51 ± 0.94 / 44.70 ± 0.76@@28.51327730631449,20.09 ± 2.40 / 38.84 ± 2.28@@20.08831135516063,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
