model,nlu_rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,fosent_version,fone_version,scala_fo_version,foqa_version,speed_version
CohereForAI/aya-expanse-8b (few-shot),3.38,8028.0,256.0,8192,1017.6,False,False,28.57,50.22,64.72,47.25,5.12,51.09,56.89,38.83,14.0.4,14.0.4,14.0.4,14.0.4,14.0.4
utter-project/EuroLLM-9B-Instruct (few-shot),3.39,9152.0,128.0,4096,5762.51,False,False,35.84,48.22,49.32,47.58,0.16,33.3,65.02,46.06,14.0.4,13.1.0,13.1.0,13.1.0,13.1.0
intfloat/multilingual-e5-large,3.42,560.0,250.0,512,6731.95,True,False,18.28,39.08,88.39,88.75,2.85,48.43,43.72,31.03,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
mhenrichsen/hestenettetLM (few-shot),3.42,7242.0,32.0,4096,1395.65,True,False,25.2,45.63,62.82,58.05,4.96,43.4,60.5,44.02,13.3.0,12.5.2,12.3.2,13.0.0,14.0.3
Mabeck/Heidrun-Mistral-7B-chat (few-shot),3.43,7242.0,32.0,4096,1418.7,False,False,26.9,39.87,63.4,59.96,2.16,39.38,57.5,40.73,13.3.0,12.7.0,12.7.0,13.0.0,14.0.3
ltg/norbert3-base,3.46,124.0,50.0,512,11405.28,True,False,8.32,28.14,86.94,87.58,12.35,53.0,34.06,24.57,13.3.0,12.7.0,12.7.0,13.0.0,0.0.0
ibm-granite/granite-3.0-8b-instruct (few-shot),3.47,8171.0,49.0,4096,5090.05,True,False,28.33,49.72,59.96,58.61,2.24,41.32,57.16,39.52,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
mideind/IceBERT-xlmr-ic3,3.47,278.0,250.0,512,11004.24,True,False,7.8,24.52,87.79,88.46,22.51,55.58,16.82,11.16,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0
mistralai/Mistral-7B-v0.1 (few-shot),3.47,7242.0,32.0,4096,1445.59,True,False,25.47,45.73,62.63,57.85,2.84,42.62,60.4,44.06,13.3.0,9.1.2,9.1.2,13.0.0,14.0.3
ibm-granite/granite-8b-code-base-4k (few-shot),3.5,8055.0,49.0,4096,2312.61,True,False,26.68,47.93,66.82,65.84,-0.36,37.57,51.89,36.47,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0
NbAiLab/nb-sbert-base,3.51,178.0,120.0,512,17756.84,True,False,19.12,41.88,86.2,86.91,11.8,53.06,11.22,7.47,13.3.0,12.10.5,12.10.5,13.0.0,12.10.5
mistralai/Mistral-7B-v0.3 (few-shot),3.52,7248.0,33.0,32768,1364.05,True,False,23.3,39.8,61.32,59.28,1.3,45.1,62.38,44.98,13.3.0,12.10.4,12.10.4,13.0.0,14.0.3
meta-llama/Meta-Llama-3-8B (few-shot),3.53,8030.0,128.0,8192,1046.19,True,False,19.96,31.78,61.11,58.55,2.02,39.88,71.74,50.34,13.3.0,12.6.1,12.6.1,13.0.0,14.0.2
