model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.22@@2.22,27432406640.0,262144.0,,✓,✗,90.31 ± 0.56 / 95.04 ± 0.30@@90.31328920000841,41.88 ± 0.57 / 21.77 ± 0.37@@41.87769455031791,16.05 ± 1.20 / 54.73 ± 0.64@@16.05261688383707,60.76 ± 0.40 / 39.50 ± 0.50@@60.763256047715366,63.32 ± 0.05 / 8.89 ± 0.04@@63.3174398491974,54.99 ± 0.92 / 65.90 ± 0.71@@54.98804245629574,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,2.23@@2.23,14659507200.0,100352.0,16384.0,✓,✗,92.07 ± 0.62 / 95.99 ± 0.32@@92.0666328438237,59.21 ± 1.88 / 37.37 ± 2.70@@59.21374357993656,33.19 ± 2.38 / 65.10 ± 1.42@@33.19002337053526,31.90 ± 1.09 / 0.14 ± 0.06@@31.895563808343724,62.63 ± 0.04 / 7.74 ± 0.09@@62.626744859881,37.82 ± 1.39 / 52.78 ± 1.00@@37.823301935221934,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,2.23@@2.23,32296476672.0,256000.0,8192.0,✗,✗,90.78 ± 0.87 / 95.31 ± 0.46@@90.78163905350263,57.33 ± 1.97 / 34.77 ± 2.80@@57.33430184874464,8.24 ± 3.31 / 49.38 ± 4.52@@8.235618520216423,71.18 ± 0.82 / 50.46 ± 1.27@@71.1802649590839,63.21 ± 0.11 / 9.41 ± 0.26@@63.21390131430235,25.33 ± 1.18 / 43.46 ± 0.85@@25.328503930564878,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.26@@2.26,,256128.0,1048576.0,✓,✗,88.87 ± 1.32 / 94.24 ± 0.68@@88.8673898972127,42.56 ± 1.25 / 32.72 ± 1.48@@42.559342238864,17.87 ± 4.49 / 55.24 ± 2.60@@17.87397345522546,61.08 ± 0.71 / 46.55 ± 0.73@@61.0824475383781,63.34 ± 0.13 / 8.36 ± 0.22@@63.339656963944435,39.13 ± 0.94 / 52.73 ± 1.04@@39.128190450963864,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.27@@2.27,8030261248.0,128256.0,131072.0,✓,✗,92.48 ± 0.39 / 96.23 ± 0.19@@92.47536489072614,56.09 ± 1.59 / 31.56 ± 2.52@@56.08986214644543,14.21 ± 4.45 / 51.11 ± 6.53@@14.212467028509504,74.07 ± 1.51 / 56.96 ± 2.08@@74.07165680487547,62.05 ± 2.17 / 10.31 ± 0.97@@62.05458589538466,13.06 ± 1.55 / 34.44 ± 1.23@@13.059026876298754,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.27@@2.27,8030261248.0,128256.0,8192.0,✓,✗,92.20 ± 0.65 / 96.06 ± 0.34@@92.20003202933192,57.38 ± 1.29 / 30.57 ± 2.19@@57.37513857900893,15.78 ± 2.55 / 51.56 ± 4.45@@15.784773026423506,74.51 ± 1.65 / 57.95 ± 1.96@@74.50694013282656,61.93 ± 2.77 / 10.58 ± 1.20@@61.93237697050791,12.25 ± 1.84 / 33.51 ± 1.29@@12.246637260172925,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1 (few-shot)</a>,🧠,2.28@@2.28,51570323328.0,65536.0,262144.0,✓,✗,92.03 ± 0.50 / 95.99 ± 0.25@@92.0257175643576,55.01 ± 1.96 / 27.04 ± 1.55@@55.006580560941956,12.90 ± 2.02 / 52.79 ± 2.86@@12.899103752166772,71.08 ± 1.68 / 54.49 ± 2.02@@71.07683902960723,63.49 ± 0.25 / 11.77 ± 0.36@@63.48845786837046,13.27 ± 1.44 / 33.55 ± 0.93@@13.273630381984319,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B (few-shot)</a>,🤔,2.29@@2.29,4022468096.0,151936.0,40960.0,✓,✗,89.32 ± 0.54 / 94.62 ± 0.27@@89.3164729917214,52.99 ± 1.84 / 29.45 ± 1.24@@52.98738497544582,18.44 ± 2.36 / 58.35 ± 1.43@@18.43903551606259,60.97 ± 0.87 / 48.23 ± 0.80@@60.97245826544014,62.13 ± 0.31 / 7.38 ± 0.08@@62.126266667546595,30.42 ± 1.15 / 47.76 ± 0.89@@30.41813606632897,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.30@@2.30,8030261248.0,128256.0,131072.0,✓,✗,91.68 ± 0.63 / 95.83 ± 0.32@@91.67504196665928,50.68 ± 1.35 / 32.46 ± 1.52@@50.68187796526998,13.17 ± 2.63 / 54.94 ± 1.67@@13.174231003388732,64.17 ± 1.20 / 43.07 ± 1.51@@64.1718012935102,64.60 ± 0.12 / 11.97 ± 0.24@@64.59637398816994,18.52 ± 1.12 / 38.51 ± 0.84@@18.521067166076826,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/LumiOpen/Poro-34B'>LumiOpen/Poro-34B (few-shot)</a>,🧠,2.33@@2.33,34216949760.0,128000.0,,✓,✗,92.71 ± 0.53 / 96.34 ± 0.26@@92.71311189323507,43.14 ± 3.67 / 21.36 ± 1.91@@43.13786835825438,18.51 ± 2.96 / 55.77 ± 3.05@@18.512817423863357,70.99 ± 1.61 / 54.13 ± 2.40@@70.98586524205628,64.26 ± 1.46 / 13.39 ± 1.44@@64.26228533506219,4.80 ± 1.07 / 26.69 ± 0.64@@4.801710369077374,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
