model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.06@@3.06,1656850432.0,128000.0,4096.0,✓,✗,81.74 ± 4.76 / 90.10 ± 3.01@@81.74171039769395,21.13 ± 2.94 / 18.86 ± 2.17@@21.125438120447747,2.59 ± 1.12 / 37.91 ± 2.57@@2.5853135699454253,58.51 ± 1.22 / 40.78 ± 1.74@@58.50667418187736,61.70 ± 0.31 / 8.43 ± 0.36@@61.70334806665778,0.52 ± 0.70 / 23.83 ± 0.93@@0.522038910132482,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,3.06@@3.06,7452725248.0,250680.0,4096.0,✓,✗,53.13 ± 9.76 / 70.07 ± 7.85@@53.130940508189504,34.98 ± 2.17 / 22.26 ± 1.75@@34.97533472521778,1.73 ± 1.08 / 44.49 ± 1.57@@1.7262371263995089,54.85 ± 2.45 / 36.95 ± 1.82@@54.85059243505841,63.50 ± 0.18 / 10.11 ± 0.18@@63.49829033839342,9.75 ± 1.11 / 27.84 ± 0.97@@9.747771719513922,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B (few-shot)</a>,🧠,3.14@@3.14,7550013440.0,131072.0,4096.0,✓,✗,91.09 ± 0.43 / 95.53 ± 0.21@@91.09294498406462,32.42 ± 1.83 / 19.56 ± 1.80@@32.42342109190758,3.54 ± 2.20 / 42.41 ± 4.66@@3.535160508014512,63.09 ± 1.79 / 48.81 ± 1.55@@63.09493651121038,55.58 ± 1.31 / 6.35 ± 0.62@@55.57868302319549,-0.99 ± 1.26 / 24.23 ± 1.19@@-0.9937533768911455,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.14@@3.14,,128000.0,4096.0,✓,✗,85.58 ± 1.50 / 92.61 ± 0.88@@85.57890796034027,22.45 ± 2.88 / 19.85 ± 2.60@@22.450467003106954,0.08 ± 2.03 / 40.08 ± 4.63@@0.0781554370333497,58.64 ± 2.23 / 44.31 ± 2.45@@58.6381640701008,60.15 ± 1.09 / 8.02 ± 0.32@@60.15311338589526,0.47 ± 0.88 / 25.00 ± 0.73@@0.46525240360175324,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B (few-shot)</a>,📝,3.21@@3.21,8028033024.0,256000.0,8192.0,✗,✗,84.33 ± 1.76 / 91.93 ± 0.99@@84.33135089999288,36.96 ± 1.69 / 26.45 ± 2.30@@36.964836498005084,0.32 ± 0.62 / 33.32 ± 0.28@@0.31510491534269097,56.44 ± 1.14 / 39.26 ± 1.58@@56.442100284641654,55.84 ± 0.53 / 5.72 ± 0.38@@55.84074815727945,0.25 ± 1.12 / 25.10 ± 0.91@@0.24794497601534501,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,3.21@@3.21,751632384.0,151936.0,40960.0,✓,✗,70.41 ± 1.99 / 84.90 ± 1.12@@70.40990069908497,26.84 ± 1.97 / 18.01 ± 1.39@@26.838729412708684,2.19 ± 1.30 / 44.98 ± 0.99@@2.1891384048140035,49.17 ± 1.12 / 32.51 ± 1.71@@49.169645833292506,60.82 ± 0.18 / 6.45 ± 0.10@@60.81841774335771,1.39 ± 1.38 / 26.36 ± 0.96@@1.388828348457004,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2 (few-shot)</a>,📝,3.22@@3.22,7241732096.0,32000.0,32768.0,✗,✗,85.41 ± 0.47 / 92.65 ± 0.25@@85.41042837289783,38.53 ± 1.39 / 20.08 ± 0.96@@38.52949292823216,4.21 ± 0.91 / 48.92 ± 0.99@@4.213268953742151,32.17 ± 1.77 / 4.33 ± 1.08@@32.17104756191119,57.94 ± 0.63 / 3.75 ± 0.68@@57.936195631336886,7.05 ± 1.27 / 30.32 ± 0.94@@7.050524303171477,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.30@@3.30,999885952.0,262144.0,32768.0,✓,✗,89.68 ± 0.73 / 94.82 ± 0.37@@89.67872091536509,18.21 ± 1.54 / 16.69 ± 1.53@@18.20889851714013,0.47 ± 1.98 / 38.95 ± 3.70@@0.4681099178516011,50.22 ± 4.13 / 34.54 ± 3.94@@50.221070555405724,56.88 ± 1.65 / 7.30 ± 0.75@@56.882246471141116,-1.98 ± 1.32 / 25.12 ± 0.54@@-1.9841222523528153,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B (few-shot)</a>,📝,3.30@@3.30,7615616512.0,152064.0,4096.0,✓,✗,83.21 ± 1.58 / 91.58 ± 0.79@@83.20610827007681,30.05 ± 2.69 / 20.82 ± 1.79@@30.046557382590773,3.10 ± 2.08 / 34.53 ± 0.87@@3.1046929695652463,45.29 ± 4.86 / 20.07 ± 6.18@@45.28580107919373,55.68 ± 1.97 / 5.56 ± 0.56@@55.68301729945233,4.10 ± 1.17 / 27.08 ± 1.16@@4.100758392435068,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.31@@3.31,1235814400.0,128256.0,131072.0,✓,✗,84.55 ± 1.62 / 92.21 ± 0.88@@84.55039874863752,24.05 ± 4.66 / 20.23 ± 4.12@@24.054225330635408,1.62 ± 2.22 / 41.96 ± 4.00@@1.6207463579702572,57.18 ± 1.84 / 37.81 ± 2.64@@57.179821052300724,55.61 ± 1.03 / 6.04 ± 0.28@@55.605147478345316,-0.31 ± 1.51 / 24.56 ± 1.12@@-0.3135962176584798,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.39@@3.39,1711376384.0,49152.0,8192.0,✓,✗,73.00 ± 2.38 / 86.25 ± 1.33@@73.00258313240138,26.52 ± 1.53 / 16.79 ± 1.75@@26.517490336226157,0.22 ± 2.10 / 43.01 ± 2.96@@0.2183054727294174,38.86 ± 3.40 / 24.06 ± 3.01@@38.8557306566152,58.13 ± 0.66 / 7.05 ± 0.46@@58.12692878957023,1.19 ± 0.50 / 25.94 ± 0.28@@1.1948125425503806,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,3.39@@3.39,1711376384.0,49152.0,8192.0,✓,✗,61.14 ± 3.71 / 77.91 ± 3.20@@61.14267058418239,26.92 ± 1.83 / 14.58 ± 1.26@@26.91615881765147,1.68 ± 1.61 / 41.16 ± 3.77@@1.683498498627256,44.99 ± 2.77 / 27.58 ± 2.79@@44.99351705165002,60.10 ± 0.41 / 6.76 ± 0.16@@60.10101597828908,0.28 ± 1.06 / 25.51 ± 0.79@@0.27643920108998965,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning (few-shot)</a>,🤔,3.42@@3.42,14659507200.0,100352.0,32768.0,✓,✗,7.66 ± 10.08 / 43.52 ± 4.84@@7.662756143976841,31.75 ± 6.38 / 24.50 ± 4.49@@31.751175247062786,0.04 ± 1.37 / 33.58 ± 0.42@@0.042103206172487764,70.57 ± 0.92 / 50.62 ± 1.67@@70.57015016933147,59.19 ± 4.43 / 6.09 ± 1.02@@59.19418807570764,19.55 ± 2.05 / 37.26 ± 1.75@@19.552835005410177,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1 (few-shot)</a>,📝,3.55@@3.55,7241732096.0,32000.0,32768.0,✓,✗,43.36 ± 2.36 / 65.13 ± 2.07@@43.361038142976895,19.71 ± 2.16 / 13.80 ± 0.73@@19.709502557027747,3.21 ± 2.45 / 43.96 ± 3.20@@3.212863895159157,49.09 ± 3.52 / 31.00 ± 4.42@@49.09248512342016,60.16 ± 0.48 / 6.44 ± 0.36@@60.155261403560864,-0.33 ± 1.15 / 25.86 ± 0.59@@-0.3277129614123715,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,3.56@@3.56,1235814400.0,128256.0,131072.0,✓,✗,31.12 ± 10.75 / 51.86 ± 8.86@@31.1193786600085,27.70 ± 1.89 / 17.52 ± 2.14@@27.695131573685057,2.50 ± 1.11 / 43.57 ± 2.71@@2.4974361946987296,45.18 ± 1.86 / 32.92 ± 2.18@@45.17877222031824,61.27 ± 0.46 / 7.95 ± 0.22@@61.26524073886686,1.40 ± 1.23 / 24.20 ± 0.97@@1.4003728588088011,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning (few-shot)</a>,🤔,3.79@@3.79,3836021760.0,200064.0,131072.0,✓,✗,60.90 ± 6.45 / 78.25 ± 5.21@@60.89701191260997,33.48 ± 1.90 / 25.81 ± 1.56@@33.4826704407824,4.17 ± 1.76 / 45.03 ± 3.28@@4.174152603561883,7.66 ± 1.44 / 0.00 ± 0.00@@7.662075755410454,55.58 ± 0.28 / 3.29 ± 0.08@@55.58085450233193,6.38 ± 1.43 / 29.66 ± 0.94@@6.375182760581691,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/mradermacher/Ahma-7B-Instruct-GGUF (few-shot)</a>,📝,3.85@@3.85,7002664960.0,,2048.0,✗,✗,76.01 ± 9.18 / 86.02 ± 6.62@@76.01453051067641,2.46 ± 1.02 / 2.28 ± 0.96@@2.4609326253096975,0.22 ± 1.02 / 33.34 ± 0.29@@0.2209134851483942,19.43 ± 0.84 / 0.00 ± 0.00@@19.42942499455109,57.60 ± 0.38 / 4.74 ± 0.15@@57.59545693814289,-1.52 ± 1.70 / 24.17 ± 1.35@@-1.5215615312817912,15.10.0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview (few-shot)</a>,📝,4.01@@4.01,2061162016.0,128000.0,,✓,✗,14.03 ± 1.98 / 37.78 ± 0.94@@14.02909278727716,22.41 ± 2.78 / 20.36 ± 2.00@@22.40561637342428,3.33 ± 1.77 / 45.59 ± 3.65@@3.327505971282064,23.57 ± 0.73 / 0.02 ± 0.02@@23.56622189818631,59.92 ± 0.23 / 6.37 ± 0.20@@59.916525605513016,1.19 ± 1.20 / 24.79 ± 0.94@@1.1902523203516344,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/mradermacher/Ahma-3B-Instruct-GGUF (few-shot)</a>,📝,4.41@@4.41,3632918400.0,,2048.0,✗,✗,6.81 ± 5.72 / 41.66 ± 7.16@@6.813840220225578,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.51 ± 1.62 / 34.57 ± 2.27@@0.5122759372527509,16.60 ± 0.78 / 0.00 ± 0.00@@16.600366958177464,58.67 ± 0.67 / 4.89 ± 0.34@@58.67143390889395,0.31 ± 1.28 / 25.93 ± 0.73@@0.3053878714650235,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,4.42@@4.42,361821120.0,49152.0,8192.0,✓,✗,-0.26 ± 7.50 / 36.17 ± 4.09@@-0.2556034364404563,12.14 ± 1.51 / 11.39 ± 1.39@@12.141518525704113,0.40 ± 1.01 / 38.58 ± 4.68@@0.3951967214971902,14.75 ± 3.23 / 5.62 ± 2.31@@14.750818160964604,57.54 ± 2.51 / 5.28 ± 0.94@@57.54203380827676,0.62 ± 1.10 / 25.57 ± 0.81@@0.6184118993136147,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Finnish-NLP/llama-7b-finnish'>Finnish-NLP/llama-7b-finnish (few-shot)</a>,🧠,4.42@@4.42,7002656768.0,64256.0,2048.0,✓,✗,90.07 ± 1.08 / 94.95 ± 0.57@@90.0702747471547,8.21 ± 4.89 / 7.02 ± 4.14@@8.210040509012453,0.63 ± 1.70 / 36.98 ± 2.23@@0.6310345904764096,11.64 ± 1.30 / 0.03 ± 0.02@@11.64097950110145,43.72 ± 1.22 / 3.10 ± 0.22@@43.72425684654445,-1.54 ± 1.09 / 23.80 ± 0.75@@-1.5423756275000768,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,4.59@@4.59,361821120.0,49152.0,8192.0,✓,✗,7.94 ± 7.63 / 40.41 ± 6.02@@7.9447682095861465,9.82 ± 1.13 / 9.36 ± 1.23@@9.817546873040026,-0.04 ± 0.98 / 33.96 ± 1.25@@-0.04347089407726261,15.25 ± 3.53 / 9.18 ± 2.91@@15.253788658333832,50.93 ± 1.95 / 5.00 ± 0.55@@50.92521199592739,-0.14 ± 0.96 / 25.05 ± 0.77@@-0.14162093167707213,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,4.61@@4.61,1543714304.0,151936.0,4096.0,✓,✗,0.65 ± 1.64 / 33.62 ± 0.43@@0.6519574286271639,16.69 ± 1.68 / 11.28 ± 1.19@@16.68671287680424,0.14 ± 1.59 / 46.69 ± 2.19@@0.14218062741962648,14.73 ± 2.19 / 0.05 ± 0.05@@14.732453883826636,51.92 ± 2.78 / 4.24 ± 0.76@@51.92448886227794,1.66 ± 1.17 / 26.87 ± 0.52@@1.6632738961528608,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,4.66@@4.66,134515008.0,49152.0,8192.0,✓,✗,6.54 ± 6.17 / 39.74 ± 4.47@@6.5424717831564365,11.68 ± 1.50 / 12.14 ± 1.27@@11.67761459048369,0.37 ± 1.33 / 34.31 ± 1.70@@0.3699050492921381,9.93 ± 2.31 / 1.76 ± 1.02@@9.928255321229054,52.67 ± 1.41 / 4.34 ± 0.41@@52.66572531290876,1.65 ± 1.48 / 25.81 ± 0.75@@1.6464731462133613,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,4.67@@4.67,134515008.0,49152.0,8192.0,✓,✗,3.88 ± 7.80 / 39.45 ± 7.29@@3.8815771756522297,12.22 ± 1.62 / 11.93 ± 1.41@@12.22003942299664,-0.87 ± 0.94 / 34.62 ± 1.36@@-0.8671867562786751,10.00 ± 3.44 / 5.17 ± 2.45@@9.998695068432182,51.75 ± 3.41 / 4.16 ± 0.74@@51.74655831309792,0.90 ± 0.70 / 26.35 ± 0.43@@0.8966851651751966,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B (few-shot)</a>,🤔,4.73@@4.73,1777088000.0,151936.0,131072.0,✓,✗,31.72 ± 3.15 / 65.07 ± 1.82@@31.715640028360546,11.63 ± 1.49 / 9.87 ± 1.21@@11.63236481097234,-0.84 ± 1.20 / 35.99 ± 0.76@@-0.8430432795885708,7.04 ± 0.56 / 0.02 ± 0.02@@7.03992928628756,47.50 ± 0.55 / 1.26 ± 0.27@@47.50426881888416,0.65 ± 1.24 / 25.78 ± 0.27@@0.6545516155178901,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,87.13 ± 0.75 / 93.55 ± 0.37@@87.13211964740071,62.15 ± 2.77 / 62.37 ± 2.26@@62.148644677637165,0.76 ± 1.66 / 48.67 ± 2.13@@0.7622681621932355,27.90 ± 1.01 / 13.25 ± 1.24@@27.895432436637076,-@@-1,3.70 ± 1.85 / 27.96 ± 1.31@@3.7004431461319256,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,62.52 ± 2.40 / 81.24 ± 1.20@@62.522368228478456,64.81 ± 1.35 / 64.20 ± 1.48@@64.8065719248345,0.95 ± 1.87 / 42.64 ± 4.31@@0.9497792326579528,30.20 ± 0.31 / 16.84 ± 0.64@@30.197045750389265,-@@-1,-2.95 ± 2.18 / 22.81 ± 1.48@@-2.953126939020341,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,-@@100,2506172416.0,256000.0,8192.0,✓,✗,89.49 ± 0.91 / 94.72 ± 0.47@@89.48511123193282,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Finnish-NLP/roberta-large-finnish-v2'>Finnish-NLP/roberta-large-finnish-v2</a>,🔍,-@@100,354313218.0,50265.0,514.0,✓,✗,81.66 ± 2.09 / 90.67 ± 1.16@@81.65624706742098,78.11 ± 2.07 / 76.88 ± 1.54@@78.11233876611853,7.18 ± 4.44 / 52.99 ± 2.32@@7.184745083168123,35.41 ± 0.90 / 20.56 ± 1.20@@35.40561990148901,-@@-1,-0.16 ± 2.21 / 24.85 ± 1.71@@-0.16452557183211514,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,81.43 ± 1.25 / 90.69 ± 0.63@@81.42898611953997,58.91 ± 0.77 / 59.16 ± 1.15@@58.910504500775986,0.58 ± 1.23 / 41.71 ± 4.01@@0.5794250653278041,26.95 ± 0.56 / 10.58 ± 0.80@@26.946623137200447,-@@-1,3.00 ± 4.04 / 27.31 ± 3.09@@2.9990827591370572,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,84.22 ± 2.41 / 92.08 ± 1.22@@84.22130648957186,79.53 ± 1.25 / 78.53 ± 1.04@@79.53350391577435,17.22 ± 6.63 / 57.62 ± 3.34@@17.217283380131306,48.40 ± 1.83 / 30.02 ± 1.41@@48.40177145827385,-@@-1,1.93 ± 2.01 / 26.47 ± 1.57@@1.9255370417619968,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,61.61 ± 1.84 / 80.74 ± 0.92@@61.60708211101179,27.23 ± 9.17 / 29.02 ± 9.69@@27.230815039595107,-1.74 ± 1.96 / 44.64 ± 3.01@@-1.742207013505963,19.31 ± 1.20 / 5.45 ± 0.63@@19.31497022881897,-@@-1,-0.64 ± 2.48 / 24.37 ± 1.64@@-0.6435773805764305,15.10.0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,-@@100,574594434.0,250300.0,512.0,✓,✗,83.29 ± 2.69 / 91.61 ± 1.36@@83.29168108689512,73.55 ± 0.91 / 70.65 ± 1.02@@73.54742505898366,6.53 ± 7.07 / 47.75 ± 6.65@@6.52909126508086,54.42 ± 2.08 / 33.88 ± 2.31@@54.423893299548375,-@@-1,-0.13 ± 2.32 / 24.79 ± 1.71@@-0.13169736935624904,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,85.59 ± 0.63 / 92.79 ± 0.31@@85.59262275838556,51.20 ± 1.80 / 51.16 ± 2.01@@51.202262844406874,0.45 ± 2.06 / 48.28 ± 1.87@@0.44885694653434344,23.87 ± 1.25 / 8.79 ± 1.20@@23.869578077281183,-@@-1,1.67 ± 3.31 / 26.29 ± 2.42@@1.6701493668849592,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,81.38 ± 1.26 / 90.67 ± 0.63@@81.37923522305428,58.89 ± 0.79 / 59.13 ± 1.15@@58.892004193612735,0.40 ± 1.49 / 41.05 ± 3.79@@0.3965443529632476,26.90 ± 0.56 / 10.52 ± 0.82@@26.896307481144326,-@@-1,2.76 ± 3.98 / 27.19 ± 3.05@@2.7648123412413277,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/Finnish-NLP/roberta-large-finnish'>Finnish-NLP/roberta-large-finnish</a>,🔍,-@@100,354313218.0,50265.0,514.0,✓,✗,80.25 ± 3.54 / 89.99 ± 1.82@@80.2521082479246,77.14 ± 1.38 / 76.18 ± 1.21@@77.1420188022255,14.95 ± 9.22 / 55.94 ± 4.47@@14.954063915495336,39.70 ± 3.56 / 23.55 ± 3.37@@39.704718436252335,-@@-1,2.17 ± 2.57 / 26.59 ± 1.84@@2.1740428091282302,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0.dev0@@151000
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,83.98 ± 1.45 / 91.97 ± 0.73@@83.98120464588466,66.60 ± 2.34 / 67.11 ± 2.06@@66.60074760149838,0.97 ± 1.54 / 45.13 ± 3.77@@0.9675720834681162,27.52 ± 0.78 / 13.37 ± 1.18@@27.51676859633788,-@@-1,1.43 ± 4.74 / 26.29 ± 3.57@@1.4315737625132976,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0.dev0@@151000,-@@0,15.10.0@@151000
<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot)</a>,🧠,-@@100,2253490176.0,256000.0,8192.0,✓,✗,88.87 ± 0.75 / 94.34 ± 0.42@@88.87140957373063,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.10.0@@151000,-@@0,-@@0,-@@0,-@@0,-@@0
