model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
google/gemma-2-9b-it (few-shot),1.77,1.53,9242.0,256.0,8193,2062.05,True,False,52.26,64.13,49.05,30.91,58.38,78.98,64.41,55.34,67.67,23.18,80.62,85.41,75.37,83.59,66.17,74.39,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"meta-llama/Llama-2-70b-hf (few-shot, val)",1.78,1.71,68977.0,32.0,4094,1891.65,True,False,53.24,67.81,58.06,50.1,39.71,65.9,67.47,62.51,67.39,23.85,84.43,88.28,71.35,80.47,54.31,65.2,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.82,1.47,,200.0,8191,784.26,True,False,56.91,71.25,59.96,41.55,67.13,83.05,33.63,17.52,65.32,15.39,91.7,93.79,88.38,92.19,71.08,78.12,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.1,14.0.1,14.0.1,14.0.1
pere/roberta-debug-8,1.83,999.0,278.0,250.0,512,15103.14,True,False,49.77,66.38,71.34,66.53,64.31,80.7,37.0,31.86,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"gpt-4-1106-preview (zero-shot, val)",1.83,1.51,,100.0,8191,436.04,True,False,53.69,67.91,35.79,25.86,62.98,81.27,64.87,51.96,64.56,13.61,87.34,90.59,98.11,98.75,67.56,75.47,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3
NbAiLab/nb-roberta-base-scandi-1e4,1.84,999.0,278.0,250.0,512,15073.66,True,False,51.7,67.54,72.16,68.01,62.03,80.01,35.36,29.95,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-bert-base,1.84,999.0,178.0,120.0,512,14050.04,True,False,46.32,64.13,70.36,66.92,66.41,82.44,41.53,36.42,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
vesteinn/FoBERT,1.85,999.0,124.0,50.0,512,15623.28,True,False,49.18,65.94,69.65,65.8,65.45,81.55,37.33,32.4,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NbAiLab/nb-sbert-base,1.87,999.0,178.0,120.0,512,17756.84,True,False,47.83,65.23,70.12,65.8,63.25,80.82,41.01,36.51,,,,,,,,,12.10.5,12.10.5,12.10.5,12.10.5,0.0.0,0.0.0,0.0.0,0.0.0,12.10.5
vesteinn/ScandiBERT-no-faroese,1.87,999.0,124.0,50.0,512,15435.6,True,False,47.73,64.85,69.79,65.2,68.28,83.52,37.07,31.9,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
