model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
occiglot/occiglot-7b-eu5-instruct (few-shot),2.68,2.72,7242.0,32.0,32768,2087.8,False,False,42.31,59.29,40.19,29.73,1.14,33.83,63.95,57.89,66.68,22.38,44.3,57.0,48.76,65.51,15.44,35.82,12.2.0,12.5.2,12.3.1,12.4.0,12.6.1,12.3.1,12.3.1,12.3.1,12.3.1
DDSC/roberta-base-scandinavian,2.69,999.0,125.0,50.0,512,14490.87,True,False,44.48,62.62,43.9,41.25,30.37,63.92,33.71,28.89,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-3B (few-shot),2.69,2.97,3213.0,128.0,131073,3713.14,True,False,38.9,44.34,41.13,27.15,9.6,44.34,62.25,56.85,63.35,15.11,45.46,57.79,46.77,64.61,12.19,33.27,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2.69,999.0,118.0,250.0,512,29200.68,True,False,44.48,63.11,56.75,53.43,26.74,62.19,25.53,17.89,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
Qwen/Qwen1.5-4B-Chat (few-shot),2.7,3.05,3950.0,152.0,32768,4347.23,False,False,42.04,60.76,35.96,28.58,8.65,49.56,59.73,53.68,63.22,16.73,37.79,52.64,29.62,52.29,16.87,37.41,10.0.1,12.5.2,12.1.0,12.5.2,12.6.1,12.1.0,12.1.0,12.1.0,9.3.2
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.7,3.32,8055.0,49.0,4096,5616.81,True,False,37.11,56.47,45.9,33.0,11.7,50.31,55.71,50.11,63.86,18.38,32.44,46.63,7.46,39.41,5.62,28.71,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/gpt-sw3-40b (few-shot),2.71,3.04,39927.0,64.0,1793,408.99,True,False,47.81,64.26,26.57,17.35,11.13,51.34,60.13,53.78,66.21,21.48,33.48,46.04,29.86,49.82,6.67,29.53,12.9.0,12.9.0,12.9.0,12.9.0,12.9.0,12.9.1,12.9.1,12.9.1,12.9.1
distilbert/distilbert-base-multilingual-cased,2.71,999.0,135.0,120.0,512,26354.74,True,False,32.53,54.09,58.12,54.97,35.53,66.86,32.96,28.19,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-25lang-cased,2.71,999.0,109.0,85.0,512,26098.8,True,False,31.81,53.25,58.44,55.32,34.13,65.98,32.18,27.6,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-da-cased,2.71,999.0,61.0,23.0,512,28949.94,True,False,32.13,53.89,58.36,55.3,34.75,65.89,32.16,27.5,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Geotrend/distilbert-base-en-no-cased,2.71,999.0,69.0,33.0,512,26597.05,True,False,32.95,54.57,57.53,54.43,33.63,65.69,32.05,27.21,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
microsoft/Phi-3-mini-4k-instruct (few-shot),2.72,2.97,3821.0,32.0,4096,5224.17,True,False,42.6,61.52,41.37,24.64,6.52,45.01,57.75,50.57,64.55,19.26,38.64,53.92,42.12,61.23,13.66,35.16,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
Maltehb/aelaectra-danish-electra-small-uncased,2.72,999.0,14.0,32.0,128,5995.22,True,False,34.45,51.4,62.52,57.14,65.15,82.32,2.75,2.51,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
occiglot/occiglot-7b-eu5 (few-shot),2.72,2.83,7242.0,32.0,32768,2219.46,True,False,44.62,62.62,37.93,29.5,0.28,33.48,62.89,58.05,66.05,21.82,38.54,53.57,45.89,63.14,12.38,33.54,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.2.0,12.2.0
Maltehb/aelaectra-danish-electra-small-cased,2.73,999.0,14.0,32.0,128,4592.9,True,False,32.72,49.84,63.31,58.18,67.74,83.32,0.0,0.0,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.4.0
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),2.74,2.93,7242.0,32.0,32768,5172.48,False,False,40.65,57.47,37.02,27.64,7.48,46.56,59.07,52.71,64.46,14.29,47.26,60.38,49.54,66.15,9.02,30.79,12.3.2,12.5.2,12.3.2,12.4.0,12.6.1,12.3.2,12.3.2,12.3.2,12.3.2
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",2.74,3.06,7242.0,32.0,32768,2460.88,True,True,48.49,63.06,30.16,25.03,5.52,38.81,57.22,52.44,64.24,18.43,43.57,56.56,35.6,50.86,6.76,28.91,10.0.1,10.0.1,10.0.1,10.0.1,12.6.1,10.0.1,10.0.1,10.0.1,10.0.1
NorwAI/NorwAI-Mistral-7B (few-shot),2.76,2.9,7537.0,68.0,4065,3034.67,True,False,48.39,64.51,21.47,16.98,12.46,52.33,58.49,52.51,66.53,21.82,36.65,48.7,49.97,65.62,5.64,28.33,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
meta-llama/Llama-2-7b-hf (few-shot),2.76,3.11,6738.0,32.0,3841,930.05,True,False,43.91,61.54,31.77,22.31,0.31,33.43,63.54,58.44,65.5,19.96,20.18,38.69,35.69,57.05,7.93,29.76,9.2.0,9.2.0,9.2.0,12.5.1,12.6.1,10.0.1,10.0.1,9.2.0,12.9.0
meta-llama/Llama-2-13b-hf (few-shot),2.76,2.67,13016.0,32.0,4096,2898.43,True,False,23.01,36.55,41.28,31.98,23.5,58.11,65.52,60.29,66.28,21.69,50.3,61.85,56.24,70.27,15.43,35.31,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4
LumiOpen/Viking-13B (few-shot),2.77,3.64,14030.0,131.0,4097,839.52,True,False,48.71,60.9,28.6,20.29,2.3,37.21,58.96,53.85,64.05,16.99,0.55,24.15,0.0,35.66,0.36,25.24,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
KBLab/megatron-bert-base-swedish-cased-125k,2.77,999.0,135.0,64.0,512,15762.86,True,False,36.31,57.37,53.93,52.04,23.46,58.91,34.34,27.85,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),2.81,2.74,8030.0,128.0,131072,2840.83,True,False,37.08,54.37,27.6,25.68,10.84,49.05,63.61,58.67,63.45,17.77,38.31,53.54,46.65,63.48,28.92,44.79,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
norallm/normistral-7b-warm (few-shot),2.82,3.54,7248.0,33.0,2048,3174.78,True,False,40.51,55.84,37.8,24.74,3.35,44.6,55.58,49.08,65.81,21.55,-0.9,23.1,3.61,35.1,0.4,25.12,11.0.0,11.0.0,11.0.0,11.0.0,12.6.1,11.0.0,11.0.0,11.0.0,11.0.0
Qwen/Qwen1.5-4B (few-shot),2.83,3.08,3950.0,152.0,32768,3247.86,True,False,39.62,56.09,32.28,23.24,5.38,36.31,60.63,54.16,62.74,16.48,37.49,51.62,29.21,52.4,15.58,36.33,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
flax-community/swe-roberta-wiki-oscar,2.84,999.0,125.0,50.0,512,15436.87,True,False,36.66,57.48,55.98,52.41,22.69,59.46,29.08,24.81,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NorwAI/NorwAI-Llama2-7B (few-shot),2.84,3.19,7033.0,68.0,4096,4437.75,True,False,45.89,63.12,16.72,15.96,11.25,51.88,59.3,53.17,66.51,22.13,14.84,33.02,27.95,48.55,2.41,26.59,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
google/gemma-7b-it (few-shot),2.87,2.9,8538.0,256.0,8192,1792.03,False,False,29.21,52.86,43.83,34.03,12.96,55.83,56.52,49.76,65.36,19.65,41.3,54.09,31.26,52.68,15.02,34.38,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
mideind/IceBERT-xlmr-ic3,2.88,999.0,278.0,250.0,512,11004.24,True,False,37.47,56.94,58.49,56.15,6.71,45.62,35.52,30.6,,,,,,,,,12.7.0,12.7.0,12.7.0,12.7.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
HPLT/gpt-33b-nordic-prerelease (few-shot),2.9,3.75,33119.0,131.0,4097,501.12,True,False,44.7,60.56,25.35,17.77,1.43,34.16,58.32,52.29,62.23,14.6,-1.01,23.28,1.33,33.83,-0.19,25.04,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0
ibm-granite/granite-3b-code-base-2k (few-shot),2.93,3.43,3483.0,49.0,2048,2731.51,True,False,35.47,52.7,38.62,27.71,5.07,43.91,50.96,45.21,62.5,15.45,13.46,33.24,15.31,43.65,6.0,29.24,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
stabilityai/stablelm-2-1_6b (few-shot),2.97,3.75,1645.0,100.0,4096,7258.53,True,False,39.09,45.25,28.45,22.9,1.43,37.98,57.34,51.67,57.67,11.58,11.94,32.3,18.18,45.98,2.67,26.59,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8,12.10.8
AI-Sweden-Models/gpt-sw3-20b (few-shot),2.98,3.38,20918.0,64.0,2046,1875.24,True,False,30.23,41.05,27.41,19.03,11.34,46.62,59.56,52.8,64.47,18.39,11.04,29.26,22.71,46.5,3.03,26.49,12.10.0,9.3.1,9.3.1,9.3.1,9.3.1,12.9.0,12.9.0,9.3.1,12.9.0
KBLab/bert-base-swedish-cased-new,2.98,999.0,135.0,64.0,512,15932.9,True,False,38.46,58.57,59.37,57.15,4.61,49.7,28.47,23.13,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
meta-llama/Llama-3.2-1B-Instruct (few-shot),2.98,3.5,1236.0,128.0,131073,7435.78,False,False,36.94,49.24,35.45,30.39,1.12,44.63,53.34,44.61,61.33,15.38,27.14,43.89,18.57,46.35,3.16,26.86,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ltg/norbert3-xs,2.98,999.0,15.0,50.0,512,14208.46,True,False,39.16,58.91,59.94,58.86,2.16,48.93,28.57,24.69,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
HPLT/gpt-13b-nordic-prerelease (few-shot),3.0,3.67,14030.0,131.0,4097,3519.54,True,False,37.19,53.63,28.72,20.53,2.96,46.67,54.83,49.53,61.62,14.33,1.17,24.76,11.38,38.52,-0.16,25.19,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.0,3.35,3374.0,49.0,4096,10246.27,True,False,31.44,48.96,37.37,26.81,5.27,40.63,55.05,48.41,63.82,18.09,18.25,38.38,19.54,46.35,2.64,26.88,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
allenai/OLMo-1.7-7B-hf (few-shot),3.01,3.3,6888.0,50.0,4096,3371.43,True,False,31.57,46.48,33.8,25.32,2.76,44.96,59.5,54.2,64.19,17.67,17.75,35.7,28.24,52.5,4.5,27.33,12.10.4,12.10.5,12.10.4,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4
ibm-granite/granite-3.0-2b-base (few-shot),3.02,3.17,2534.0,49.0,4097,10186.88,True,False,29.5,42.61,32.34,24.48,3.89,37.29,59.15,53.67,64.48,19.25,24.4,42.44,31.93,54.43,10.0,32.31,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.03,3.63,3483.0,49.0,2048,9058.91,True,False,31.54,50.61,37.21,27.74,6.3,49.09,51.51,44.86,61.56,13.64,17.92,37.22,10.79,40.86,1.7,26.14,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
LumiOpen/Viking-7B (few-shot),3.03,3.74,7550.0,131.0,4096,4968.72,True,False,38.74,49.48,23.98,17.18,1.04,33.67,56.29,50.17,61.96,13.71,-0.06,23.97,-1.04,34.9,0.73,25.11,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
Addedk/kbbert-distilled-cased,3.04,999.0,82.0,50.0,512,29698.43,True,False,31.18,53.05,57.84,54.75,13.25,53.61,27.5,22.73,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
Addedk/mbert-swedish-distilled-cased,3.04,999.0,135.0,120.0,512,26091.07,True,False,31.16,52.25,56.36,53.98,21.08,56.96,23.61,19.63,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.04,3.8,6738.0,32.0,4096,6275.17,True,False,29.32,41.08,28.18,24.25,2.9,37.93,62.92,56.48,53.81,9.42,27.86,43.42,34.62,55.21,4.73,27.77,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2-2b (few-shot),3.06,2.9,2614.0,256.0,8193,5235.32,True,False,34.94,42.58,17.29,13.87,6.39,45.03,59.95,54.94,64.82,20.37,48.07,60.5,45.03,63.4,9.1,30.51,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
google/gemma-2b (few-shot),3.07,3.34,2506.0,256.0,8192,6087.12,True,False,40.21,46.73,19.97,16.51,2.27,38.71,56.27,50.55,63.07,16.98,15.04,35.51,30.63,50.02,4.9,28.18,12.1.0,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
birgermoell/roberta-swedish-scandi,3.08,999.0,125.0,50.0,512,15384.84,True,False,33.51,54.93,49.22,47.83,12.08,54.24,28.88,24.49,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.09,999.0,135.0,120.0,512,33753.4,True,False,36.6,56.93,54.48,52.85,8.84,51.76,21.36,15.42,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.12,3.5,1657.0,128.0,4096,15008.58,True,False,37.92,46.23,19.61,17.44,2.81,38.15,56.82,50.05,63.91,18.26,2.54,25.25,17.85,40.98,0.52,25.6,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/quora-distilbert-multilingual,3.13,999.0,135.0,120.0,512,26458.45,True,False,36.6,56.93,54.48,52.85,8.84,51.76,19.76,13.97,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
HPLT/gpt-7b-nordic-prerelease (few-shot),3.14,3.98,7550.0,131.0,4096,1382.06,True,False,37.77,55.35,21.98,18.42,1.26,34.03,52.54,46.03,58.21,11.61,0.0,24.0,-0.87,35.7,0.0,25.18,12.3.2,12.5.2,12.3.2,12.3.2,12.6.1,12.3.2,12.3.2,12.3.2,14.0.3
ibm-granite/granite-7b-base (few-shot),3.15,3.43,6738.0,32.0,2048,4405.37,True,False,31.65,51.95,24.93,22.23,0.06,34.3,57.0,51.47,62.67,17.33,16.13,36.8,24.21,49.43,1.27,25.59,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.8,12.10.8,12.10.8
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.18,999.0,20918.0,64.0,1793,1830.86,True,False,32.78,47.79,15.94,14.05,7.86,41.91,60.27,52.16,68.0,23.97,,,,,7.99,29.85,9.3.1,9.3.1,9.3.1,9.3.1,9.3.1,0.0.0,0.0.0,9.3.1,12.7.0
meta-llama/Llama-3.2-1B (few-shot),3.18,3.91,1236.0,128.0,131073,7577.45,True,False,35.97,49.88,19.82,17.2,2.14,44.16,51.92,46.59,58.65,11.57,2.65,25.17,9.51,40.41,-0.88,24.79,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
EuropeanParliament/EUBERT,3.2,999.0,94.0,66.0,512,20070.41,True,False,27.33,49.78,41.09,40.4,21.58,59.41,26.68,20.68,,,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
google/gemma-2b-it (few-shot),3.2,3.48,2506.0,256.0,8192,6470.59,False,False,34.03,52.42,24.44,17.37,2.25,42.33,49.76,42.12,62.41,17.66,15.16,31.61,12.67,41.99,2.67,26.82,12.1.0,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
microsoft/Phi-3-mini-128k-instruct (few-shot),3.2,2.94,3821.0,32.0,130817,7311.73,True,False,40.85,59.79,4.51,3.71,5.43,46.21,58.44,51.76,64.64,19.18,37.45,52.86,36.39,56.5,17.42,38.06,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
ibm-granite/granite-7b-instruct (few-shot),3.22,3.53,6738.0,32.0,4096,3136.16,True,False,31.21,50.13,23.87,20.19,2.04,45.31,54.08,47.36,62.33,16.36,17.68,37.53,17.54,45.41,1.72,25.87,13.0.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
allenai/OLMo-7B (few-shot),3.25,4.3,6888.0,50.0,2049,5402.86,True,False,30.76,44.83,26.76,19.46,0.55,39.4,52.49,45.65,50.86,9.46,0.26,23.32,6.94,37.66,-0.11,24.99,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
mhenrichsen/danskgpt-tiny-chat (few-shot),3.26,3.49,1100.0,32.0,2048,1744.69,False,False,34.05,52.43,22.31,19.3,0.7,40.47,48.91,41.82,65.27,17.79,6.27,27.63,6.25,37.75,2.11,26.0,9.1.2,9.1.2,9.1.2,12.4.0,12.6.1,10.0.1,10.0.1,9.1.2,9.1.2
01-ai/Yi-1.5-6B (few-shot),3.27,2.87,6061.0,64.0,4097,2867.41,True,False,12.73,22.69,35.21,23.65,4.75,35.71,61.53,55.95,64.28,18.81,46.17,59.04,36.46,57.64,18.01,38.12,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
dbmdz/bert-base-historic-multilingual-cased,3.27,999.0,111.0,32.0,512,20046.97,True,False,24.17,43.75,47.61,45.91,8.14,51.78,30.51,25.19,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
dbmdz/bert-medium-historic-multilingual-cased,3.28,999.0,42.0,32.0,512,24291.12,True,False,27.93,50.86,49.88,46.74,5.42,48.29,28.62,22.93,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
NLPnorth/snakmodel-7b-base (few-shot),3.29,3.29,6738.0,32.0,4096,3083.32,True,False,44.71,54.12,23.74,16.59,21.24,57.23,19.32,0.0,58.05,10.44,47.83,58.23,55.62,69.71,5.51,27.63,13.1.0,13.2.0,13.1.0,13.1.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot),3.3,3.36,7111.0,64.0,2048,2350.93,True,False,18.07,27.21,20.84,16.93,10.54,48.37,57.23,51.22,65.15,18.96,6.34,28.14,18.0,45.08,5.57,28.66,9.2.0,9.2.0,9.2.0,12.5.1,12.6.1,10.0.1,10.0.1,9.2.0,9.2.0
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),3.39,3.51,1445.0,64.0,2048,4544.34,True,False,27.14,42.34,14.73,14.44,2.65,40.63,54.18,46.38,65.48,19.58,0.32,23.38,7.0,37.91,0.13,25.04,9.3.1,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
AI-Sweden-Models/gpt-sw3-6.7b (few-shot),3.39,3.53,7111.0,64.0,2048,2285.21,True,False,22.71,35.11,18.23,14.77,5.03,49.0,55.56,49.11,64.58,18.26,1.11,24.85,8.76,37.32,1.7,26.17,11.0.0,11.0.0,11.0.0,11.0.0,12.6.1,11.0.0,11.0.0,11.0.0,11.0.0
NorwAI/NorwAI-Mistral-7B-instruct (few-shot),3.4,3.03,7537.0,68.0,4065,3027.1,False,False,42.16,45.21,13.78,11.9,3.52,39.81,31.67,20.02,65.03,18.0,40.74,53.17,43.43,61.76,4.5,26.55,12.10.4,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
sentence-transformers/distiluse-base-multilingual-cased-v1,3.41,999.0,135.0,120.0,512,34041.87,True,False,27.78,49.38,46.78,44.41,3.04,46.85,23.22,15.52,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.41,3.52,1711.0,49.0,8192,15970.88,True,False,18.49,35.29,29.44,20.31,1.73,38.18,50.4,44.39,61.76,15.33,22.03,37.29,12.61,41.82,2.06,26.03,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.42,3.73,1837.0,152.0,32768,8303.55,False,False,26.58,45.88,18.0,14.88,0.63,33.42,49.4,41.66,57.19,11.87,22.17,39.97,12.85,42.13,7.01,30.16,11.0.0,12.5.2,12.1.0,12.5.0,12.6.1,12.1.0,12.1.0,12.1.0,9.3.2
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.44,3.8,1335.0,49.0,4096,7964.03,True,False,22.35,44.97,30.63,20.55,1.95,46.94,43.95,37.3,59.66,13.59,2.78,25.53,11.15,38.81,-1.22,24.33,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),3.45,3.7,471.0,64.0,2048,5854.62,True,False,34.94,49.66,11.28,11.02,2.08,45.41,42.03,36.59,63.38,15.95,-0.09,23.32,-0.76,35.04,0.28,25.19,9.3.2,12.5.2,12.1.0,12.4.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
NbAiLab/nb-gpt-j-6B-alpaca (few-shot),3.47,3.59,6055.0,50.0,1024,2606.86,False,False,27.68,46.61,12.95,11.68,1.65,47.94,47.4,38.6,63.32,16.03,4.49,27.32,12.81,37.83,-0.68,25.0,10.0.1,9.3.1,10.0.1,12.4.0,12.6.1,10.0.1,10.0.1,10.0.1,9.3.2
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),3.5,3.75,1445.0,64.0,2048,4607.55,True,False,28.65,47.83,8.8,8.63,2.84,49.21,51.59,45.34,62.17,14.96,-1.31,24.58,3.02,36.58,-0.33,24.65,9.3.1,9.3.1,9.3.1,12.5.1,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
Qwen/Qwen1.5-1.8B (few-shot),3.5,3.78,1837.0,152.0,32768,5665.51,True,False,29.03,46.75,9.83,8.97,0.56,33.34,53.2,46.43,56.43,11.67,14.86,33.52,17.56,45.31,4.78,27.73,10.0.1,12.5.2,12.1.0,12.1.0,12.6.1,12.1.0,12.1.0,12.1.0,12.1.0
AI-Sweden-Models/gpt-sw3-356m (few-shot),3.53,3.84,471.0,64.0,2048,5757.63,True,False,27.61,39.77,16.13,14.9,1.96,38.4,39.67,34.79,59.05,12.41,1.0,23.91,4.85,36.78,0.28,25.19,9.3.1,9.3.1,9.3.2,12.5.1,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.56,3.46,3374.0,49.0,4096,10504.04,True,False,6.85,19.42,31.8,23.06,0.97,36.48,55.19,49.83,63.43,16.85,15.97,36.37,17.19,45.23,3.07,27.05,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
dbmdz/bert-mini-historic-multilingual-cased,3.59,999.0,12.0,32.0,512,47121.63,True,False,26.03,48.46,41.7,38.74,2.19,49.8,20.76,13.82,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
mhenrichsen/danskgpt-tiny (few-shot),3.62,3.7,1100.0,32.0,2048,8596.74,True,False,26.31,44.07,14.13,12.15,-0.54,44.56,38.99,32.12,62.61,15.12,-2.76,22.41,5.08,35.14,-0.7,24.83,0.0.0,0.0.0,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,0.0.0,0.0.0
allenai/OLMo-7B-Twin-2T (few-shot),3.62,4.24,6888.0,50.0,2049,5484.4,True,False,18.3,27.62,7.52,6.6,3.23,45.74,51.37,46.35,53.01,10.72,2.17,23.73,0.22,35.08,-0.65,24.75,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.63,3.52,1711.0,49.0,8192,16248.88,True,False,9.93,23.57,24.47,18.7,1.22,35.31,47.54,42.09,61.62,14.36,19.65,36.46,19.01,46.27,1.34,25.88,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
