model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,📝,1.69@@1.69,28410968576.0,256000.0,8192.0,✓,✗,49.23 ± 2.42 / 63.29 ± 2.22@@49.231788227564195,45.84 ± 1.57 / 39.26 ± 2.12@@45.842144201955726,34.24 ± 1.54 / 61.87 ± 1.39@@34.24189465300118,61.96 ± 0.71 / 32.99 ± 1.86@@61.9556038936076,62.93 ± 0.18 / 13.28 ± 0.54@@62.92805835531908,61.78 ± 0.78 / 71.27 ± 0.58@@61.77674574814167,70.51 ± 0.87 / 77.76 ± 0.68@@70.50886644950471,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (few-shot, val)</a>",📝,1.70@@1.70,8000000000.0,256128.0,1048576.0,✓,✗,46.84 ± 2.34 / 59.65 ± 2.03@@46.84407041615009,62.69 ± 2.50 / 56.54 ± 1.99@@62.69447145252238,28.73 ± 5.66 / 60.70 ± 3.61@@28.726229422643485,62.89 ± 1.11 / 28.70 ± 1.45@@62.891700388468735,62.71 ± 0.11 / 13.04 ± 0.24@@62.70810086512938,59.46 ± 2.51 / 69.18 ± 1.88@@59.46160416088355,55.98 ± 2.00 / 66.17 ± 1.65@@55.983506668031346,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,1.70@@1.70,,,1047576.0,✓,✗,42.63 ± 2.64 / 57.81 ± 2.39@@42.63253597273485,66.90 ± 1.48 / 55.39 ± 2.05@@66.89603064026002,33.11 ± 3.87 / 63.00 ± 2.64@@33.10576422746283,62.18 ± 2.63 / 30.00 ± 3.27@@62.18333384310991,62.70 ± 0.14 / 11.84 ± 0.25@@62.69960883073509,51.56 ± 2.14 / 63.32 ± 1.58@@51.56465385999244,58.06 ± 2.23 / 68.20 ± 1.63@@58.0617099332931,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B (few-shot)</a>,🤔,1.72@@1.72,4022468096.0,151936.0,40960.0,✓,✗,47.57 ± 1.71 / 64.10 ± 1.23@@47.572186805888336,68.30 ± 1.46 / 50.01 ± 1.56@@68.30134847742501,27.77 ± 0.88 / 59.01 ± 0.78@@27.76549510050502,59.56 ± 0.56 / 35.78 ± 1.11@@59.555788640571336,62.30 ± 0.07 / 10.47 ± 0.13@@62.299058428761775,59.70 ± 13.04 / 69.48 ± 10.32@@59.697705909431065,51.02 ± 1.37 / 63.22 ± 1.04@@51.01757048142278,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B (few-shot)</a>,🧠,1.73@@1.73,34388917248.0,64000.0,4096.0,✓,✗,35.23 ± 5.50 / 53.47 ± 6.62@@35.23296978572718,66.65 ± 1.56 / 62.73 ± 1.60@@66.64976917704072,27.26 ± 4.82 / 54.82 ± 5.15@@27.26124089363873,69.63 ± 0.86 / 44.47 ± 2.23@@69.63284148799727,62.80 ± 0.36 / 18.99 ± 0.71@@62.802545985905454,53.88 ± 0.73 / 65.44 ± 0.55@@53.875959624504,67.86 ± 0.70 / 75.86 ± 0.53@@67.86152649295997,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.75@@1.75,,256128.0,1048576.0,✓,✗,46.20 ± 2.03 / 58.54 ± 1.65@@46.195915144117954,56.57 ± 1.82 / 38.23 ± 1.60@@56.5739336011874,23.95 ± 4.83 / 60.76 ± 2.44@@23.95215226429545,60.83 ± 0.97 / 24.38 ± 1.01@@60.83074750397526,62.44 ± 0.16 / 11.13 ± 0.19@@62.444230002583936,67.74 ± 1.71 / 75.55 ± 1.28@@67.73965756780429,64.80 ± 1.44 / 73.20 ± 1.11@@64.8042824206802,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.76@@1.76,,256128.0,1048576.0,✓,✗,42.99 ± 2.02 / 57.76 ± 1.69@@42.9884946519173,47.47 ± 1.92 / 36.53 ± 1.36@@47.47133443811505,30.56 ± 3.44 / 59.37 ± 2.25@@30.562294857809647,61.57 ± 1.09 / 34.90 ± 0.84@@61.565656522401795,61.53 ± 0.19 / 9.20 ± 0.16@@61.52858062647283,79.92 ± 1.52 / 84.84 ± 1.13@@79.92155721390705,54.94 ± 2.26 / 66.05 ± 1.77@@54.944502164868524,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.77@@1.77,8030261248.0,128256.0,131072.0,✓,✗,43.55 ± 2.04 / 57.79 ± 1.89@@43.549195678042615,63.07 ± 1.39 / 55.02 ± 1.93@@63.07437001440995,22.46 ± 3.28 / 59.51 ± 2.00@@22.462675518038576,62.57 ± 0.74 / 35.36 ± 1.52@@62.565295435098236,62.98 ± 0.08 / 13.20 ± 0.26@@62.97977135822293,54.08 ± 0.95 / 65.59 ± 0.72@@54.081979888227224,64.63 ± 0.78 / 73.36 ± 0.60@@64.63405200308718,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,1.78@@1.78,27227128320.0,256000.0,8192.0,✓,✗,44.75 ± 3.28 / 61.21 ± 2.99@@44.74891984547914,48.05 ± 2.11 / 45.21 ± 2.03@@48.04943030876423,31.07 ± 2.28 / 64.44 ± 1.46@@31.0652546329857,69.34 ± 1.43 / 44.99 ± 2.75@@69.33581207772684,62.34 ± 0.52 / 19.09 ± 0.84@@62.34209502217709,60.98 ± 0.80 / 70.59 ± 0.63@@60.975443230235385,50.82 ± 3.32 / 61.16 ± 2.96@@50.81592463345338,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,1.81@@1.81,11168796672.0,32128.0,32768.0,✓,✓,44.69 ± 2.97 / 62.12 ± 2.31@@44.68993960311698,64.73 ± 1.86 / 57.36 ± 1.83@@64.73075261865485,21.23 ± 1.92 / 59.44 ± 1.33@@21.233867719260992,68.15 ± 1.00 / 40.24 ± 2.36@@68.14757000809398,63.22 ± 0.06 / 12.91 ± 0.12@@63.21697617182508,42.65 ± 1.04 / 57.02 ± 0.79@@42.6455656836505,62.00 ± 1.14 / 71.27 ± 0.86@@62.00462091910952,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
