model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,1.96@@1.96,,,200000.0,✓,✗,36.97 ± 2.37 / 47.15 ± 1.39@@36.96530061363526,60.03 ± 1.64 / 41.47 ± 1.81@@60.03282312792724,17.97 ± 4.79 / 49.09 ± 2.58@@17.967588058956295,58.16 ± 1.09 / 24.63 ± 0.91@@58.16386754645107,62.39 ± 0.16 / 11.40 ± 0.24@@62.38902145647444,60.74 ± 1.36 / 70.04 ± 1.01@@60.73865149977075,55.71 ± 1.63 / 65.98 ± 1.20@@55.71439553656461,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,1.96@@1.96,9241705984.0,256000.0,8192.0,✓,✗,43.12 ± 2.98 / 59.06 ± 4.01@@43.11536798149183,44.17 ± 2.44 / 40.54 ± 1.85@@44.17122162115096,28.81 ± 3.99 / 63.16 ± 2.32@@28.805022593869538,65.37 ± 1.54 / 37.94 ± 2.79@@65.36680999295449,62.61 ± 0.39 / 19.19 ± 0.67@@62.61150609134347,53.13 ± 0.79 / 64.67 ± 0.64@@53.13064785028024,42.42 ± 3.13 / 54.67 ± 2.73@@42.42381278439912,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,1.96@@1.96,46702792704.0,32000.0,32768.0,✓,✗,43.58 ± 2.54 / 61.67 ± 1.88@@43.57534619106245,59.04 ± 1.64 / 54.09 ± 1.45@@59.043502177376325,22.40 ± 4.08 / 58.44 ± 2.96@@22.398876477048184,66.30 ± 3.41 / 41.38 ± 4.46@@66.29512446243817,62.30 ± 1.06 / 18.38 ± 1.02@@62.302964523696566,48.48 ± 0.79 / 61.18 ± 0.56@@48.475069880965464,34.06 ± 1.85 / 49.15 ± 1.59@@34.06065042744959,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B (few-shot)</a>,📝,1.97@@1.97,8030326784.0,128264.0,131072.0,✓,✗,45.54 ± 2.42 / 63.28 ± 1.81@@45.53596502225689,61.33 ± 1.33 / 58.03 ± 1.17@@61.32755287620586,24.51 ± 3.12 / 59.77 ± 2.97@@24.51147549272313,60.50 ± 1.38 / 31.16 ± 2.81@@60.503731797757744,63.02 ± 0.07 / 12.84 ± 0.64@@63.02027717363672,39.43 ± 0.97 / 54.08 ± 0.83@@39.42721600089745,42.58 ± 0.98 / 56.18 ± 0.71@@42.5819116027635,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,1.98@@1.98,34980831232.0,256000.0,8192.0,✗,✗,45.06 ± 1.44 / 60.89 ± 1.62@@45.05758158323515,65.38 ± 0.67 / 56.19 ± 1.56@@65.37743697652644,21.77 ± 1.77 / 59.37 ± 0.96@@21.774143676443785,57.50 ± 1.81 / 26.71 ± 2.95@@57.498798528685924,63.11 ± 0.09 / 13.95 ± 0.33@@63.1077568269393,44.25 ± 0.91 / 57.91 ± 0.67@@44.24507266973913,41.25 ± 1.16 / 55.23 ± 0.83@@41.24893074698976,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,1.99@@1.99,27432406640.0,262144.0,,✓,✗,43.29 ± 1.58 / 57.83 ± 1.24@@43.29096319036043,57.65 ± 0.38 / 39.59 ± 0.45@@57.65152503577209,19.49 ± 1.11 / 58.62 ± 0.56@@19.488018451719746,57.53 ± 0.28 / 30.76 ± 0.57@@57.528350365579364,61.87 ± 0.06 / 10.60 ± 0.03@@61.86865064606536,64.88 ± 0.67 / 73.65 ± 0.51@@64.87638276491332,42.40 ± 0.85 / 53.07 ± 0.76@@42.398421160326976,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B (few-shot)</a>,📝,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,44.51 ± 2.45 / 62.49 ± 1.62@@44.51266140951154,60.39 ± 1.34 / 55.85 ± 1.33@@60.393104670970246,17.68 ± 3.75 / 56.25 ± 1.96@@17.676443544669272,63.29 ± 0.95 / 39.04 ± 1.30@@63.288425647297075,62.93 ± 0.11 / 12.09 ± 0.35@@62.928042142011684,39.25 ± 0.72 / 54.12 ± 0.54@@39.25041422117437,46.52 ± 1.42 / 58.90 ± 1.20@@46.51805265473311,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot)</a>,📝,2.01@@2.01,8030326784.0,128264.0,131072.0,✓,✗,45.55 ± 2.25 / 63.34 ± 1.53@@45.54577037103457,60.58 ± 1.31 / 56.93 ± 1.21@@60.57542892481611,16.36 ± 3.48 / 55.55 ± 2.01@@16.362424620986477,63.89 ± 0.70 / 38.19 ± 1.69@@63.88816938902979,62.91 ± 0.09 / 11.90 ± 0.28@@62.914539410121506,38.86 ± 0.65 / 53.75 ± 0.46@@38.863550287977084,46.48 ± 1.54 / 58.98 ± 1.25@@46.48076616770429,15.4.2@@150402,15.5.0.dev0@@150500,15.4.2@@150402,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,2.01@@2.01,68976653312.0,32000.0,4096.0,✓,✗,38.17 ± 5.92 / 57.91 ± 3.97@@38.1686087379816,66.38 ± 1.74 / 62.00 ± 1.50@@66.38189937136978,16.99 ± 5.24 / 45.54 ± 5.31@@16.991655520600098,68.79 ± 1.82 / 42.37 ± 3.18@@68.79489830161887,62.58 ± 0.47 / 19.32 ± 0.70@@62.58498840754327,47.21 ± 0.86 / 60.29 ± 0.64@@47.20996244257374,36.54 ± 2.49 / 49.39 ± 2.48@@36.54174338091315,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.01@@2.01,8000000000.0,256128.0,1048576.0,✓,✗,48.70 ± 2.17 / 60.31 ± 1.63@@48.69837911793665,63.59 ± 1.19 / 40.43 ± 1.07@@63.58516634224978,17.35 ± 5.49 / 58.03 ± 2.67@@17.35234389879254,60.57 ± 1.32 / 28.99 ± 1.25@@60.57362641270551,61.86 ± 0.35 / 11.00 ± 0.16@@61.864193876972415,52.31 ± 2.52 / 63.05 ± 2.14@@52.310977408691386,27.35 ± 2.01 / 39.57 ± 1.40@@27.350850937053046,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,2.02@@2.02,12187325040.0,262144.0,,✓,✗,34.36 ± 2.67 / 55.15 ± 1.95@@34.36168710850874,52.86 ± 2.41 / 48.64 ± 1.85@@52.85703223589826,20.53 ± 6.45 / 52.67 ± 7.31@@20.53184501522649,67.45 ± 1.05 / 43.14 ± 1.99@@67.44878090454054,62.84 ± 0.37 / 19.32 ± 0.65@@62.84270295102032,58.53 ± 0.44 / 68.81 ± 0.34@@58.53358662432282,41.92 ± 4.36 / 54.30 ± 3.89@@41.923416007769426,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B (few-shot)</a>,🧠,2.04@@2.04,8829407232.0,64000.0,4096.0,✓,✗,42.81 ± 2.13 / 59.55 ± 1.65@@42.81378301328706,61.37 ± 1.88 / 53.05 ± 1.44@@61.36760453590154,19.50 ± 2.56 / 52.33 ± 3.21@@19.495974208835232,66.85 ± 1.04 / 41.09 ± 2.32@@66.8478022329621,62.02 ± 0.35 / 18.11 ± 0.69@@62.02156669663964,40.68 ± 0.81 / 55.57 ± 0.63@@40.679508229499184,31.88 ± 1.11 / 48.32 ± 0.94@@31.87678633504652,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.06@@2.06,8030261248.0,128256.0,8192.0,✓,✗,45.09 ± 1.60 / 61.56 ± 1.45@@45.087157100361765,66.43 ± 1.56 / 61.82 ± 1.35@@66.4313334368703,18.95 ± 2.76 / 56.29 ± 1.43@@18.95154266625873,55.12 ± 0.62 / 20.80 ± 1.46@@55.12258124779489,63.41 ± 0.07 / 14.18 ± 0.24@@63.40631305836724,36.81 ± 0.72 / 51.94 ± 0.59@@36.81172689160889,36.34 ± 1.49 / 51.52 ± 1.17@@36.33530292066158,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta (few-shot)</a>,📝,2.06@@2.06,7241748480.0,32002.0,8192.0,✗,✗,46.53 ± 1.37 / 63.33 ± 1.04@@46.534472903780774,61.34 ± 1.74 / 41.78 ± 2.43@@61.343728448033175,16.51 ± 1.81 / 53.16 ± 3.02@@16.509985096552025,56.72 ± 3.91 / 23.10 ± 4.92@@56.719008221259934,63.10 ± 0.06 / 12.51 ± 0.12@@63.1018594870693,34.90 ± 0.90 / 50.83 ± 0.72@@34.89680461794814,52.57 ± 0.99 / 63.45 ± 0.92@@52.56655908795441,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.8.0@@150800,15.8.0.dev0@@150800,15.8.0.dev0@@150800
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.08@@2.08,8170835968.0,49152.0,4096.0,✓,✗,46.12 ± 2.67 / 62.68 ± 3.08@@46.11908888194084,50.55 ± 0.80 / 44.30 ± 1.54@@50.548849274431284,25.47 ± 2.40 / 59.60 ± 3.39@@25.468347929407013,65.01 ± 2.12 / 38.39 ± 3.63@@65.01086114679103,62.62 ± 0.36 / 18.93 ± 0.74@@62.61768491152907,34.06 ± 0.89 / 50.41 ± 0.75@@34.05795116545526,34.31 ± 3.28 / 49.13 ± 2.79@@34.30759590451825,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,📝,2.10@@2.10,8414105600.0,131072.0,8192.0,✓,✗,48.90 ± 1.39 / 64.92 ± 1.12@@48.899157425135,62.90 ± 1.18 / 53.85 ± 1.98@@62.904178000872655,28.35 ± 2.34 / 62.37 ± 1.32@@28.351882909361535,21.57 ± 0.94 / 0.02 ± 0.02@@21.56821508767601,61.45 ± 0.14 / 8.87 ± 0.33@@61.449791707709664,46.02 ± 1.14 / 59.52 ± 0.86@@46.023016461125685,51.97 ± 2.09 / 62.76 ± 1.69@@51.9692474619364,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.10@@2.10,7241732096.0,32000.0,32768.0,✗,✗,45.49 ± 2.12 / 62.89 ± 1.53@@45.48797045350724,64.53 ± 1.35 / 58.72 ± 1.73@@64.52539641970287,8.09 ± 2.14 / 41.09 ± 2.22@@8.089711289184578,58.92 ± 2.38 / 27.18 ± 3.93@@58.92006718992955,63.34 ± 0.23 / 18.73 ± 0.40@@63.34486375009873,36.81 ± 0.60 / 52.24 ± 0.43@@36.80878640014745,49.19 ± 1.78 / 61.62 ± 1.34@@49.18739212070275,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.10@@2.10,7455550464.0,131072.0,32768.0,✓,✗,41.57 ± 3.11 / 59.21 ± 2.52@@41.573073579558546,57.51 ± 1.79 / 50.82 ± 1.41@@57.51068402882943,19.22 ± 3.74 / 56.34 ± 3.04@@19.21907709336519,65.37 ± 0.93 / 41.95 ± 1.59@@65.37404818874991,61.77 ± 0.74 / 17.57 ± 0.98@@61.770339837385116,44.27 ± 1.42 / 57.61 ± 1.15@@44.27315884250212,35.17 ± 1.25 / 48.84 ± 1.21@@35.172923091705556,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,2.11@@2.11,8414105600.0,131072.0,8192.0,✓,✗,34.56 ± 2.67 / 49.07 ± 3.51@@34.56420544366583,60.55 ± 2.14 / 54.96 ± 1.45@@60.548655235576156,14.34 ± 3.06 / 46.16 ± 4.49@@14.342763797214733,66.71 ± 1.33 / 42.34 ± 2.52@@66.70971003911663,62.50 ± 0.33 / 16.84 ± 1.09@@62.504070722643526,44.83 ± 1.10 / 58.16 ± 0.81@@44.82772040595108,39.68 ± 3.05 / 51.92 ± 2.77@@39.683379751838544,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.12@@2.12,4300079472.0,262144.0,,✓,✗,42.62 ± 1.48 / 58.49 ± 1.39@@42.62286245771765,54.72 ± 1.27 / 48.63 ± 1.47@@54.723671468060175,22.40 ± 2.88 / 60.38 ± 1.65@@22.399527416805583,58.47 ± 0.56 / 29.65 ± 1.24@@58.4725470350798,62.40 ± 0.58 / 11.20 ± 1.23@@62.40067127509974,36.10 ± 1.06 / 51.50 ± 0.79@@36.10268248344667,36.85 ± 1.70 / 51.45 ± 1.44@@36.846055770138584,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/nvidia/Mistral-NeMo-Minitron-8B-Base'>nvidia/Mistral-NeMo-Minitron-8B-Base (few-shot)</a>,🧠,2.13@@2.13,8414105600.0,131072.0,8192.0,✓,✗,34.51 ± 2.54 / 48.08 ± 3.83@@34.508142157086226,60.40 ± 2.21 / 54.84 ± 1.54@@60.403296595305825,15.94 ± 3.36 / 47.56 ± 4.11@@15.943089156016727,66.77 ± 1.36 / 42.39 ± 2.56@@66.77024575640753,62.49 ± 0.38 / 16.53 ± 0.88@@62.493520826246815,44.40 ± 0.55 / 58.04 ± 0.45@@44.40361985050863,37.57 ± 1.34 / 50.26 ± 0.96@@37.57316869582318,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.14@@2.14,8170848256.0,49155.0,4096.0,✓,✗,48.18 ± 1.55 / 63.78 ± 1.48@@48.1755910419306,52.51 ± 1.58 / 42.86 ± 1.82@@52.50827527529462,17.07 ± 1.61 / 56.32 ± 1.24@@17.067689624480447,64.53 ± 1.20 / 40.88 ± 1.02@@64.53060535961444,63.31 ± 0.11 / 15.30 ± 0.40@@63.31191881894483,32.65 ± 0.92 / 48.75 ± 0.79@@32.647712707614495,34.63 ± 1.15 / 50.34 ± 0.98@@34.632626093929915,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.16@@2.16,2031739904.0,151936.0,40960.0,✓,✗,42.57 ± 1.90 / 60.99 ± 1.26@@42.56968340756194,51.50 ± 2.39 / 44.17 ± 1.56@@51.497438020906635,20.47 ± 1.59 / 56.46 ± 0.79@@20.470654846567683,56.50 ± 0.72 / 36.27 ± 0.66@@56.49785619008387,62.24 ± 0.07 / 9.91 ± 0.12@@62.24228560298798,48.52 ± 2.87 / 61.26 ± 2.17@@48.51976356207765,28.23 ± 1.50 / 44.82 ± 1.09@@28.232366231250495,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.17@@2.17,3606752256.0,128256.0,131072.0,✓,✗,36.06 ± 2.42 / 50.05 ± 2.27@@36.063609210128355,57.51 ± 0.87 / 46.06 ± 1.04@@57.51346334823451,19.42 ± 1.84 / 52.95 ± 1.04@@19.421545466250855,58.31 ± 1.05 / 35.07 ± 1.36@@58.306872214288454,62.71 ± 0.09 / 12.71 ± 0.24@@62.71056621641037,37.82 ± 1.05 / 53.05 ± 0.90@@37.81723566371743,42.09 ± 1.32 / 56.04 ± 1.10@@42.09322714113408,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,🧠,2.19@@2.19,46997647360.0,67993.0,32768.0,✓,✗,33.19 ± 3.51 / 49.92 ± 3.26@@33.189572418115766,55.66 ± 2.22 / 51.98 ± 1.80@@55.663918220158195,12.88 ± 4.77 / 40.82 ± 3.54@@12.88165454648516,64.13 ± 3.67 / 36.32 ± 5.20@@64.13142417390738,62.77 ± 0.25 / 19.74 ± 0.57@@62.768865441757946,45.98 ± 0.73 / 59.34 ± 0.60@@45.98497731398947,37.50 ± 1.46 / 52.54 ± 1.15@@37.49819548941545,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.21@@2.21,8030261248.0,128256.0,131072.0,✓,✗,45.89 ± 1.46 / 63.13 ± 1.18@@45.89252863724641,60.78 ± 1.83 / 52.70 ± 2.13@@60.77804791963837,7.13 ± 1.21 / 39.21 ± 3.08@@7.130776083821953,59.77 ± 2.04 / 30.97 ± 3.64@@59.76558755954839,63.45 ± 0.08 / 13.54 ± 0.24@@63.449472927750314,36.21 ± 0.63 / 51.55 ± 0.47@@36.21080282009719,34.68 ± 1.07 / 49.60 ± 0.77@@34.68206086431311,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.22@@2.22,46997647360.0,67993.0,32768.0,✓,✗,28.20 ± 3.85 / 44.15 ± 4.01@@28.19956036641956,57.16 ± 2.75 / 53.77 ± 2.18@@57.158801213554355,18.75 ± 4.12 / 49.91 ± 4.38@@18.74759398738664,64.85 ± 4.29 / 41.06 ± 5.37@@64.84962195048486,62.17 ± 0.70 / 17.58 ± 0.89@@62.17012386841816,43.94 ± 0.87 / 57.20 ± 0.75@@43.94064087692483,30.77 ± 1.24 / 46.50 ± 1.00@@30.771134832470842,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.24@@2.24,9152319488.0,128000.0,4096.0,✓,✗,42.11 ± 2.31 / 60.16 ± 1.74@@42.10958351765862,52.02 ± 2.29 / 44.90 ± 1.57@@52.0169246381903,15.57 ± 3.26 / 45.99 ± 3.93@@15.572339615618919,67.85 ± 0.83 / 44.13 ± 1.41@@67.84774187181394,62.85 ± 0.45 / 19.17 ± 0.38@@62.853772037342424,31.85 ± 0.89 / 48.37 ± 0.73@@31.846317937036638,22.14 ± 1.75 / 37.98 ± 0.99@@22.14338925920017,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,📝,2.25@@2.25,9152319488.0,128000.0,4096.0,✗,✗,44.58 ± 1.58 / 62.38 ± 1.19@@44.58348506897442,39.12 ± 1.48 / 32.75 ± 1.41@@39.12025233809885,20.83 ± 0.91 / 58.44 ± 1.43@@20.83092906957318,62.71 ± 1.76 / 41.46 ± 1.29@@62.714426871860404,62.95 ± 0.08 / 12.12 ± 0.31@@62.947598106838996,34.25 ± 0.93 / 50.67 ± 0.73@@34.25332791719686,30.50 ± 3.01 / 46.78 ± 2.58@@30.498257846467325,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.26@@2.26,3880099328.0,,131072.0,✓,✗,44.43 ± 2.70 / 59.52 ± 2.37@@44.427335485640064,55.61 ± 2.42 / 47.67 ± 1.63@@55.60575125617102,20.88 ± 3.11 / 58.60 ± 1.69@@20.877837551019365,57.36 ± 0.83 / 30.84 ± 0.65@@57.364571970487816,61.79 ± 0.62 / 10.96 ± 1.31@@61.78568454808555,27.31 ± 1.24 / 43.41 ± 0.93@@27.307499652312494,21.08 ± 2.18 / 39.41 ± 1.92@@21.07841318625115,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.26@@2.26,8030261248.0,128256.0,8192.0,✓,✗,37.44 ± 3.94 / 56.31 ± 3.14@@37.438758275288365,58.23 ± 2.39 / 54.74 ± 2.00@@58.22724136750409,8.66 ± 4.33 / 45.81 ± 3.15@@8.655457408725058,65.70 ± 1.46 / 42.18 ± 2.44@@65.69658792276883,62.49 ± 0.35 / 17.09 ± 0.95@@62.490156598360045,38.92 ± 0.78 / 53.77 ± 0.67@@38.92028747751065,28.42 ± 2.53 / 45.42 ± 2.17@@28.42426877270855,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (few-shot)</a>,📝,2.27@@2.27,3212749824.0,128256.0,131072.0,✓,✗,41.41 ± 1.85 / 57.42 ± 1.64@@41.411206143242666,60.63 ± 1.09 / 50.32 ± 1.40@@60.625982191475025,15.04 ± 1.72 / 56.65 ± 0.91@@15.036183689736255,52.14 ± 0.75 / 23.17 ± 1.70@@52.14137289174214,63.00 ± 0.11 / 13.98 ± 0.60@@62.99817386927315,31.08 ± 0.80 / 47.85 ± 0.60@@31.082752239797383,26.03 ± 1.85 / 43.41 ± 1.62@@26.033613075376273,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.28@@2.28,8030261248.0,128256.0,131072.0,✓,✗,34.67 ± 3.39 / 51.87 ± 3.27@@34.670487940340415,61.21 ± 2.31 / 57.38 ± 2.09@@61.20809334012927,9.47 ± 3.97 / 48.66 ± 3.91@@9.468054595131036,64.74 ± 2.16 / 39.24 ± 3.69@@64.73745735067048,62.38 ± 0.41 / 16.95 ± 0.85@@62.376056910507025,38.30 ± 0.98 / 53.31 ± 0.77@@38.304759212954444,27.10 ± 1.96 / 43.93 ± 1.63@@27.101081549038756,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
