model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
"claude-3-5-haiku-20241022 (zero-shot, val)",2.67,,,200000,199.99,📝,✓,✗,3.97 ± 1.70 / 32.77 ± 0.95@@3.973457114200856,69.39 ± 2.58 / 47.10 ± 3.14@@69.38691831437063,62.76 ± 2.10 / 42.75 ± 2.27@@62.76362861792697,31.65 ± 2.14 / 54.96 ± 1.11@@31.65355209817037,5.86 ± 3.28 / 38.81 ± 1.69@@5.857109551982685,66.51 ± 0.83 / 36.65 ± 1.08@@66.50596909149958,62.53 ± 0.18 / 10.78 ± 0.12@@62.52736140508205,47.65 ± 2.64 / 60.86 ± 1.98@@47.651984012056744,76.64 ± 4.74 / 80.94 ± 3.84@@76.63706215591861,14.0.2@@140002,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-7b (few-shot),2.67,8537680896.0,256000.0,8192,2244.73,🧠,✓,✗,32.72 ± 1.12 / 36.80 ± 0.93@@32.71981530654485,43.14 ± 2.45 / 37.92 ± 3.28@@43.13726458398578,44.63 ± 2.93 / 36.46 ± 2.39@@44.626236642094625,22.52 ± 4.50 / 46.81 ± 3.46@@22.517366825299966,19.55 ± 2.82 / 49.20 ± 3.88@@19.547451915787082,72.19 ± 4.11 / 49.02 ± 5.75@@72.18784537182009,62.96 ± 2.74 / 17.26 ± 2.17@@62.96469145643642,34.94 ± 1.49 / 49.09 ± 1.27@@34.937216113286254,59.11 ± 1.72 / 66.78 ± 1.46@@59.105734977257576,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
utter-project/EuroLLM-9B-Instruct (few-shot),2.7,9152319488.0,128000.0,4096,954.97,📝,✗,✗,34.73 ± 0.68 / 38.45 ± 0.64@@34.732217527738065,54.89 ± 1.41 / 33.48 ± 2.28@@54.894834985497575,55.10 ± 1.17 / 36.46 ± 3.25@@55.099878143286155,17.48 ± 3.77 / 40.85 ± 2.94@@17.484121111563027,6.94 ± 1.70 / 35.38 ± 0.92@@6.939961202393348,65.74 ± 3.21 / 38.90 ± 3.10@@65.74338151417912,62.96 ± 0.08 / 11.72 ± 0.10@@62.9575262106664,31.29 ± 1.44 / 48.89 ± 1.11@@31.288183988996472,60.17 ± 1.57 / 67.59 ± 1.41@@60.16829699583772,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
BSC-LT/salamandra-7b-instruct (few-shot),2.71,7768117248.0,256000.0,8192,3958.96,📝,✓,✗,33.75 ± 1.43 / 35.69 ± 1.24@@33.748898378233804,53.17 ± 1.72 / 39.19 ± 2.37@@53.174084753956585,52.47 ± 1.16 / 40.02 ± 2.28@@52.47173369507867,16.18 ± 2.22 / 47.74 ± 2.93@@16.176874692982842,13.00 ± 1.70 / 43.46 ± 1.99@@13.003564435644199,71.06 ± 1.41 / 45.52 ± 1.91@@71.06115322591566,63.88 ± 0.35 / 15.03 ± 0.68@@63.881017548555974,27.65 ± 1.18 / 46.27 ± 0.93@@27.64854733602604,53.12 ± 1.67 / 61.94 ± 1.40@@53.11981915358865,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
bineric/NorskGPT-Mistral-7b (few-shot),2.73,7241732096.0,32000.0,4096,1440.19,📝,✗,✗,35.47 ± 0.80 / 38.01 ± 0.57@@35.469767443758684,62.98 ± 1.81 / 46.61 ± 3.01@@62.9796466163971,60.12 ± 1.27 / 43.49 ± 2.87@@60.12189820557629,15.15 ± 1.99 / 45.37 ± 3.71@@15.14684286651442,9.49 ± 1.78 / 43.92 ± 3.35@@9.490958345985181,49.25 ± 4.63 / 27.06 ± 2.88@@49.24796120486585,64.52 ± 0.21 / 16.96 ± 0.28@@64.51514412139659,28.43 ± 1.00 / 47.25 ± 0.59@@28.426101479585995,61.44 ± 1.55 / 68.88 ± 1.24@@61.444513654205004,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
bineric/NorskGPT-Llama3-8b (few-shot),2.74,8030261248.0,128256.0,8192,3381.51,📝,✗,✗,35.60 ± 0.91 / 38.71 ± 0.43@@35.5988451527012,64.34 ± 2.67 / 57.96 ± 2.14@@64.34274530670055,59.50 ± 3.79 / 56.59 ± 3.46@@59.49533573025404,31.69 ± 2.05 / 64.62 ± 0.78@@31.68637453363653,24.58 ± 1.68 / 59.41 ± 2.26@@24.582533988030846,28.89 ± 5.58 / 0.10 ± 0.05@@28.890408274647466,61.95 ± 0.98 / 13.77 ± 1.67@@61.952847869397374,29.93 ± 1.68 / 48.22 ± 1.37@@29.92555888513737,63.13 ± 2.02 / 70.04 ± 1.82@@63.1256473364345,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.2.0.dev0@@150200,15.2.0.dev0@@150200
CohereForAI/aya-expanse-8b (few-shot),2.74,8028033024.0,256000.0,8192,1341.64,🧠,✗,✗,31.97 ± 1.24 / 36.41 ± 0.75@@31.97449060325374,60.42 ± 1.32 / 36.53 ± 1.77@@60.41921991934143,59.78 ± 0.98 / 37.39 ± 1.85@@59.77904526440911,15.80 ± 2.22 / 51.42 ± 3.79@@15.796156293666511,12.30 ± 2.38 / 51.96 ± 3.31@@12.296868772556069,71.49 ± 2.01 / 43.26 ± 2.53@@71.48773003247119,64.48 ± 0.61 / 17.46 ± 0.76@@64.47969141067006,24.64 ± 0.78 / 43.12 ± 0.60@@24.635456855782405,46.07 ± 1.72 / 56.46 ± 1.38@@46.06551912202384,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
timpal0l/Llama-3-8B-flashback-v1 (few-shot),2.74,8030261248.0,128256.0,8192,3003.73,🧠,✓,✗,47.58 ± 1.91 / 64.35 ± 1.95@@47.577326073384484,59.09 ± 1.89 / 52.82 ± 2.60@@59.093130169791344,60.02 ± 1.44 / 52.04 ± 2.63@@60.02444405109907,10.52 ± 4.67 / 46.13 ± 6.95@@10.522714544812366,6.67 ± 4.53 / 40.61 ± 5.40@@6.669506171333536,71.90 ± 4.09 / 49.89 ± 4.89@@71.90366293341566,58.88 ± 1.42 / 10.65 ± 1.13@@58.87771838737535,26.30 ± 1.49 / 44.24 ± 1.22@@26.29623500436321,40.52 ± 1.97 / 51.69 ± 1.79@@40.52455833082395,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),2.75,6738415616.0,32000.0,4096,5384.08,📝,✗,✗,50.94 ± 1.41 / 66.55 ± 1.06@@50.9389970534001,56.18 ± 3.05 / 49.39 ± 2.78@@56.18318187146545,56.96 ± 1.64 / 48.30 ± 5.46@@56.9601604399083,8.19 ± 1.95 / 45.17 ± 3.69@@8.186594768893615,5.55 ± 1.71 / 48.92 ± 2.94@@5.546760732747924,69.72 ± 2.52 / 41.35 ± 2.33@@69.71925813197832,64.21 ± 0.23 / 15.54 ± 0.49@@64.20728600205621,19.07 ± 0.72 / 39.29 ± 0.63@@19.074338749720226,35.26 ± 1.55 / 47.26 ± 1.23@@35.25737090883618,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mhenrichsen/hestenettetLM (few-shot),2.78,7241732096.0,32000.0,4096,1150.9,🧠,✓,✗,48.23 ± 3.31 / 65.51 ± 3.01@@48.23017310624379,52.52 ± 1.85 / 43.46 ± 2.21@@52.5206202144185,55.60 ± 3.22 / 45.25 ± 4.20@@55.602441984582555,8.53 ± 3.72 / 38.61 ± 3.22@@8.527707145626625,6.65 ± 1.40 / 39.32 ± 2.51@@6.647503469413224,70.96 ± 2.84 / 46.89 ± 3.29@@70.9606294513665,63.53 ± 1.47 / 16.54 ± 1.59@@63.53309683749103,24.79 ± 1.49 / 44.01 ± 0.98@@24.78760259746421,28.04 ± 3.07 / 41.53 ± 2.52@@28.040600330928196,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,15.2.0.dev0@@150200,15.2.0.dev0@@150200
nvidia/mistral-nemo-minitron-8b-instruct (few-shot),2.79,8414105600.0,131072.0,8192,3160.57,📝,✓,✗,34.35 ± 0.92 / 37.57 ± 0.55@@34.35067657555319,63.70 ± 0.98 / 39.82 ± 2.02@@63.69557648347908,62.53 ± 1.64 / 40.20 ± 2.22@@62.529659879082075,31.53 ± 1.91 / 64.14 ± 1.52@@31.525353902380193,22.71 ± 2.23 / 57.77 ± 2.48@@22.70687113418457,26.09 ± 1.72 / 0.06 ± 0.04@@26.09162741888564,61.42 ± 0.09 / 8.33 ± 0.10@@61.4225062247715,33.81 ± 1.42 / 50.98 ± 1.01@@33.81139219911842,60.52 ± 2.16 / 68.25 ± 1.74@@60.52333584314374,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-2-2b-it (few-shot),2.79,2614341888.0,256000.0,8193,5373.87,📝,✓,✗,46.84 ± 2.20 / 63.22 ± 1.89@@46.843706965190876,35.56 ± 1.33 / 28.84 ± 2.19@@35.56426516146933,37.70 ± 3.04 / 30.22 ± 2.39@@37.70386365030344,17.15 ± 2.01 / 55.59 ± 2.04@@17.146327825362178,14.38 ± 1.96 / 54.95 ± 1.73@@14.381173995331345,63.79 ± 1.50 / 29.75 ± 1.52@@63.786065498501614,64.58 ± 0.33 / 17.00 ± 0.45@@64.58093577908585,21.14 ± 0.67 / 40.63 ± 0.49@@21.140234841643498,48.91 ± 1.52 / 58.92 ± 1.17@@48.906651748791894,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),2.82,7241748480.0,32002.0,32768,3005.72,📝,✗,✗,50.39 ± 1.38 / 66.42 ± 1.20@@50.38514877721955,51.99 ± 1.85 / 37.40 ± 2.95@@51.98888530692373,52.74 ± 1.13 / 36.83 ± 1.95@@52.740018906831,0.99 ± 1.03 / 33.56 ± 0.25@@0.9923011543580869,1.27 ± 1.30 / 34.04 ± 0.45@@1.2660933627008064,72.60 ± 2.57 / 47.95 ± 3.19@@72.60260943686697,64.20 ± 0.44 / 16.28 ± 0.55@@64.19884928589454,23.48 ± 1.45 / 41.13 ± 1.28@@23.479287282335513,27.24 ± 0.95 / 39.65 ± 0.80@@27.24357547698536,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
alpindale/Mistral-7B-v0.2-hf (few-shot),2.85,7241732096.0,32000.0,32768,1841.12,🧠,✓,✗,44.05 ± 2.51 / 61.80 ± 2.28@@44.05280161110497,50.63 ± 2.12 / 44.59 ± 1.80@@50.63264621480707,52.69 ± 2.30 / 46.51 ± 3.63@@52.691778238586906,11.60 ± 4.10 / 43.01 ± 5.07@@11.602639021925858,9.26 ± 1.14 / 46.28 ± 3.60@@9.264693787797478,68.68 ± 3.29 / 45.23 ± 3.73@@68.68092816931616,63.11 ± 1.66 / 16.14 ± 1.73@@63.110027946386246,22.64 ± 1.33 / 41.86 ± 1.08@@22.635542113184275,28.29 ± 3.16 / 41.02 ± 2.58@@28.28980569787316,12.5.1@@120501,12.5.2@@120502,12.5.2@@120502,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-8b-instruct (few-shot),2.86,8170848256.0,49155.0,4096,1279.43,📝,✓,✗,34.03 ± 0.59 / 37.49 ± 0.45@@34.02707495177516,55.07 ± 1.45 / 39.78 ± 1.63@@55.06835132769313,55.28 ± 1.25 / 41.75 ± 3.00@@55.278753082909425,15.52 ± 2.15 / 50.21 ± 3.50@@15.519675123019857,10.47 ± 2.11 / 46.27 ± 3.23@@10.468125881061134,72.95 ± 1.45 / 48.35 ± 2.58@@72.95016095486385,62.40 ± 1.11 / 13.68 ± 1.61@@62.403513112294604,24.67 ± 0.57 / 43.54 ± 0.45@@24.668184137165312,34.84 ± 1.39 / 46.65 ± 1.15@@34.84059084408442,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Mabeck/Heidrun-Mistral-7B-base (few-shot),2.87,7241732096.0,32000.0,32768,3822.53,🧠,✓,✗,48.64 ± 2.14 / 66.06 ± 1.47@@48.64166524125634,50.10 ± 2.16 / 41.80 ± 2.77@@50.09792125668283,54.81 ± 1.88 / 45.95 ± 3.21@@54.80586894587901,10.31 ± 3.46 / 43.68 ± 5.10@@10.306850689479976,1.11 ± 2.48 / 36.52 ± 2.31@@1.1103364582511241,65.18 ± 2.86 / 42.20 ± 3.02@@65.17548946022505,62.29 ± 1.37 / 14.65 ± 1.36@@62.290040141379,24.12 ± 1.35 / 42.97 ± 0.97@@24.120422888231786,25.07 ± 1.95 / 38.72 ± 1.76@@25.074301399945508,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-2-13b-hf (few-shot),2.9,13015866880.0,32000.0,4096,939.56,🧠,✓,✗,29.41 ± 1.09 / 38.10 ± 0.97@@29.408599505431805,57.72 ± 2.26 / 51.45 ± 2.48@@57.72360460118882,56.15 ± 2.95 / 52.26 ± 3.08@@56.15184558976579,15.48 ± 5.90 / 45.00 ± 6.97@@15.478501775692841,6.27 ± 2.51 / 44.78 ± 4.89@@6.271946073317982,70.71 ± 4.35 / 47.50 ± 5.59@@70.70845401254907,64.98 ± 0.64 / 18.35 ± 1.12@@64.9848765796196,23.32 ± 1.20 / 43.13 ± 0.86@@23.32231676010425,32.61 ± 2.18 / 44.58 ± 2.14@@32.61430617358708,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.2-3B-Instruct (few-shot),2.92,3212749824.0,128256.0,131072,5786.18,📝,✗,✗,32.97 ± 0.48 / 36.74 ± 0.46@@32.97096676236885,49.89 ± 2.77 / 39.63 ± 2.64@@49.88514560442848,50.15 ± 1.87 / 39.97 ± 2.24@@50.153402005933856,13.24 ± 1.96 / 49.12 ± 3.17@@13.236735460013177,10.31 ± 2.49 / 48.56 ± 1.90@@10.31083959129115,62.65 ± 1.73 / 39.12 ± 2.02@@62.65154943510743,63.39 ± 0.13 / 13.08 ± 0.28@@63.3875218812318,22.40 ± 1.03 / 40.69 ± 0.77@@22.39736271663336,43.25 ± 0.92 / 54.20 ± 0.67@@43.251156966750564,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),2.96,13015866880.0,32000.0,4096,951.99,📝,✗,✗,31.41 ± 0.91 / 37.39 ± 0.88@@31.409400812831556,58.13 ± 1.94 / 45.75 ± 3.83@@58.13444676269759,59.78 ± 1.79 / 49.82 ± 3.17@@59.77732670687278,6.98 ± 2.15 / 38.92 ± 4.30@@6.976821968524674,5.52 ± 1.61 / 42.42 ± 2.91@@5.516725854313311,63.41 ± 3.80 / 37.81 ± 3.17@@63.41036449156529,64.40 ± 0.77 / 16.90 ± 0.80@@64.39997623485397,19.86 ± 1.14 / 37.43 ± 0.88@@19.85810911021843,36.36 ± 2.01 / 47.20 ± 1.76@@36.35513658381525,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-8b-base (few-shot),2.96,8170835968.0,49152.0,4096,2495.14,🧠,✓,✗,35.04 ± 0.66 / 37.25 ± 0.57@@35.0381165866238,49.83 ± 1.07 / 45.64 ± 2.12@@49.82823593792719,51.84 ± 1.61 / 45.92 ± 3.48@@51.8383071463003,16.78 ± 3.45 / 50.08 ± 4.94@@16.782900800588056,11.14 ± 2.48 / 46.49 ± 3.84@@11.14214260992105,65.79 ± 4.50 / 41.66 ± 4.65@@65.78729534117568,63.55 ± 0.67 / 16.37 ± 0.87@@63.54938019765542,22.68 ± 1.35 / 42.35 ± 1.02@@22.6783087958853,21.85 ± 0.79 / 35.79 ± 0.80@@21.85172327082352,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
bineric/NorskGPT-Llama-13B-v0.1 (few-shot),2.97,13015864320.0,32000.0,4096,2085.01,📝,✗,✗,31.69 ± 0.98 / 38.31 ± 0.66@@31.687943519431137,49.73 ± 1.78 / 29.83 ± 2.26@@49.725801450270765,51.07 ± 1.47 / 33.01 ± 2.45@@51.0687516404962,16.47 ± 2.51 / 45.85 ± 2.82@@16.466796064511442,10.99 ± 1.62 / 51.27 ± 2.18@@10.990497174166244,60.99 ± 2.58 / 35.28 ± 2.08@@60.993526844301,63.25 ± 0.07 / 12.15 ± 0.18@@63.25264503277139,18.44 ± 1.54 / 37.90 ± 1.18@@18.44043785407514,38.88 ± 1.94 / 50.01 ± 1.73@@38.87589101956889,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-7B-v0.1 (few-shot),2.97,7241732096.0,32000.0,4096,2943.8,🧠,✓,✗,29.96 ± 2.47 / 33.32 ± 2.62@@29.964910552633146,54.03 ± 2.25 / 43.60 ± 2.92@@54.02519382218617,55.53 ± 1.63 / 43.31 ± 2.43@@55.52508658179999,12.38 ± 2.73 / 41.83 ± 3.31@@12.382702242397654,5.57 ± 1.96 / 39.92 ± 2.59@@5.567132304922509,67.33 ± 4.80 / 43.97 ± 5.24@@67.3337315748274,64.01 ± 0.90 / 17.13 ± 1.22@@64.00678354359115,24.09 ± 1.60 / 43.35 ± 0.99@@24.091255220073286,28.03 ± 2.82 / 41.39 ± 2.38@@28.028955830463488,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
BSC-LT/salamandra-7b (few-shot),2.99,7768117248.0,256000.0,8192,3123.97,🧠,✓,✗,39.34 ± 4.01 / 58.79 ± 3.15@@39.34390105731469,51.84 ± 1.51 / 45.67 ± 3.55@@51.84288112231913,49.15 ± 2.69 / 43.23 ± 3.18@@49.15254374568313,13.22 ± 3.39 / 38.92 ± 3.00@@13.22311868664427,8.53 ± 2.11 / 36.28 ± 1.54@@8.525527547634837,69.87 ± 3.78 / 47.66 ± 4.86@@69.86847464811389,59.17 ± 3.11 / 13.46 ± 2.48@@59.1688240224903,19.76 ± 1.20 / 36.51 ± 0.96@@19.76091306615358,27.74 ± 2.53 / 38.82 ± 2.25@@27.74156532119158,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mistralai/Mistral-7B-v0.3 (few-shot),3.0,7248023552.0,32768.0,32768,2953.41,🧠,✓,✗,28.76 ± 2.39 / 31.82 ± 2.62@@28.76017836108401,51.97 ± 2.07 / 44.99 ± 2.71@@51.97012639513814,53.35 ± 1.77 / 44.69 ± 2.76@@53.3539985247104,13.20 ± 3.15 / 43.62 ± 5.21@@13.201250688044597,6.37 ± 1.60 / 45.19 ± 4.64@@6.368306752137622,65.84 ± 5.27 / 43.04 ± 5.65@@65.83724900609573,63.49 ± 1.24 / 16.63 ± 1.50@@63.4909692074143,22.64 ± 1.30 / 41.86 ± 1.06@@22.636944730470216,28.22 ± 3.09 / 40.98 ± 2.55@@28.22145459934413,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),3.0,7241732096.0,32000.0,32768,2517.83,📝,✗,✗,38.81 ± 2.67 / 56.39 ± 3.13@@38.81163624851528,57.01 ± 1.93 / 44.65 ± 2.87@@57.008938186124055,56.77 ± 0.98 / 41.67 ± 3.53@@56.76858985181963,14.16 ± 2.24 / 54.43 ± 2.61@@14.155767322796473,9.29 ± 2.65 / 50.59 ± 3.99@@9.294719609793988,59.21 ± 2.11 / 32.75 ± 1.68@@59.206982077173976,62.13 ± 0.30 / 12.18 ± 0.45@@62.12773792896768,18.42 ± 1.31 / 38.21 ± 0.89@@18.42222035752937,21.25 ± 1.26 / 34.52 ± 1.37@@21.254084441871743,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
CohereForAI/aya-23-8B (few-shot),3.05,8028033024.0,256000.0,8192,2706.96,🧠,✗,✗,35.73 ± 1.26 / 50.42 ± 1.67@@35.726428884889046,60.94 ± 2.30 / 53.33 ± 3.53@@60.942386156408126,59.61 ± 1.37 / 50.84 ± 3.99@@59.61458816835595,6.18 ± 1.69 / 35.40 ± 1.06@@6.17606861135611,4.00 ± 1.01 / 36.17 ± 0.94@@3.996088943676025,71.95 ± 1.63 / 46.52 ± 2.15@@71.9517917578863,62.45 ± 1.72 / 15.67 ± 1.26@@62.44971057938529,14.46 ± 1.28 / 36.86 ± 0.88@@14.46350275370126,14.75 ± 3.22 / 29.89 ± 2.65@@14.748480239736935,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot),3.06,7799574528.0,100096.0,4096,1394.74,🧠,✓,✗,50.75 ± 4.03 / 65.74 ± 4.24@@50.75320328644099,48.97 ± 2.42 / 44.13 ± 2.35@@48.965096907935525,45.24 ± 3.81 / 42.67 ± 3.38@@45.23646467747263,11.44 ± 1.45 / 51.97 ± 1.61@@11.44062924583965,11.37 ± 2.44 / 52.15 ± 3.22@@11.374993973911954,67.34 ± 3.76 / 45.44 ± 4.74@@67.33819404663363,62.86 ± 1.73 / 16.20 ± 1.71@@62.85519727898645,8.03 ± 0.98 / 28.63 ± 0.98@@8.032176005986763,6.50 ± 1.68 / 24.42 ± 1.32@@6.503492265284481,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-2b-instruct (few-shot),3.06,2634201088.0,49155.0,4097,10193.87,📝,✓,✗,39.87 ± 1.73 / 55.71 ± 2.40@@39.87275642969878,52.68 ± 2.02 / 46.01 ± 1.94@@52.68155557432716,53.17 ± 0.85 / 47.77 ± 2.12@@53.166066460677385,12.08 ± 2.13 / 51.41 ± 4.09@@12.080085114388215,7.18 ± 2.00 / 48.84 ± 3.17@@7.184175926056691,61.00 ± 2.15 / 36.00 ± 2.29@@61.00418202678647,62.24 ± 0.54 / 14.11 ± 0.65@@62.242721683505806,15.04 ± 0.96 / 35.64 ± 0.68@@15.041247967322196,20.63 ± 1.13 / 34.98 ± 0.96@@20.63060648968169,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
tiiuae/falcon-11B (few-shot),3.08,11102822400.0,65024.0,8192,829.47,🧠,✓,✗,32.25 ± 0.31 / 38.65 ± 0.38@@32.2528849769626,51.37 ± 3.94 / 44.12 ± 2.92@@51.369130660032724,49.37 ± 2.00 / 43.68 ± 1.54@@49.37138386921033,22.69 ± 1.58 / 53.87 ± 2.08@@22.685991195767713,14.33 ± 1.55 / 50.20 ± 2.74@@14.33330527894054,40.50 ± 7.43 / 18.68 ± 5.78@@40.495940873006745,59.84 ± 1.79 / 9.22 ± 0.96@@59.839626314205816,22.89 ± 1.12 / 42.31 ± 0.92@@22.889400423696742,41.18 ± 1.71 / 52.23 ± 1.33@@41.175440177023184,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
01-ai/Yi-1.5-6B (few-shot),3.09,6061035520.0,64000.0,4097,2867.41,🧠,✓,✗,27.86 ± 0.76 / 31.62 ± 0.80@@27.859692683676034,46.02 ± 2.12 / 35.05 ± 2.84@@46.01804312193808,48.72 ± 1.76 / 35.97 ± 2.78@@48.71504761594919,2.41 ± 1.92 / 35.60 ± 2.65@@2.4077755787455333,2.50 ± 2.05 / 34.90 ± 1.27@@2.5021277381858824,67.06 ± 2.85 / 44.70 ± 3.79@@67.06443677495977,60.92 ± 1.45 / 13.73 ± 1.28@@60.92087593126052,22.75 ± 0.76 / 42.64 ± 0.51@@22.753914851768563,39.29 ± 1.68 / 50.76 ± 1.43@@39.28860126646353,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
